name,predict_gender,female_prob,male_prob,country,affiliation,race,black_prob,white_prob,hispanic_prob,api_prob,"Asian,GreaterEastAsian,EastAsian_prob","Asian,GreaterEastAsian,Japanese_prob","Asian,IndianSubContinent_prob","GreaterAfrican,Africans_prob","GreaterAfrican,Muslim_prob","GreaterEuropean,British_prob","GreaterEuropean,EastEuropean_prob","GreaterEuropean,WestEuropean,French_prob","GreaterEuropean,WestEuropean,Germanic_prob","GreaterEuropean,Jewish_prob","GreaterEuropean,WestEuropean,Hispanic_prob","GreaterEuropean,WestEuropean,Italian_prob","GreaterEuropean,WestEuropean,Nordic_prob",race_census
AM,female,0.5004616309491711,0.4995383690508285,AM,AM,"Asian,GreaterEastAsian,EastAsian",0.063181646,0.45894483,0.023814842000000003,0.45405868,0.29263836,0.036910105,0.04670403,0.09251688,0.038669158,0.11020707,0.019590463,0.10379535,0.029589387,0.040793054,0.12227361,0.051785987,0.014526555,white
Ashley,female,0.5899989874919701,0.4100010125080299,Ashley,Ashley,"GreaterEuropean,British",0.14142620000000003,0.8410851,0.012942173999999999,0.004546583,0.0041913595,0.0002624232,0.016761385,0.00429676,0.008978176,0.938564,0.00038823264,0.011755883,0.0033299774,0.004234671,0.004502972,0.0010407087,0.0016935293,white
Chat,male,0.2831801041226014,0.7168198958773986,Chat,Chat,"Asian,GreaterEastAsian,EastAsian",0.005055945,0.05485492,0.017616967,0.9224720999999999,0.74672633,0.005435516,0.015599072,0.0020460915,0.0032439204,0.038753998,0.0016480979,0.12511253,0.008294142,0.004222369,0.019730346,0.028650139,0.0005375045,api
David,male,0.1588811484329548,0.8411188515670452,David,David,"GreaterEuropean,Jewish",0.21697062,0.67576295,0.039968845,0.067297526,0.02144286,0.0032398184,0.053259134,0.063928716,0.03816686,0.19836074,0.023938606,0.10632177,0.00800573,0.39487085,0.03500285,0.016977401,0.036484685,white
George,female,0.7550955466545506,0.24490445334544936,George,George,"GreaterEuropean,British",0.16730034,0.7700376,0.031903453,0.030758534,0.0055789915,0.0007512993,0.19189538,0.037599646,0.0020826024,0.66399163,0.007696042,0.024332654,0.015889538,0.026823472,0.0020212918,0.013398183,0.007939281,white
Jamshaid,male,0.1588811484329548,0.8411188515670452,Jamshaid,Jamshaid,"GreaterEuropean,British",0.21340013,0.74706453,0.02939385,0.010141513000000001,0.024436424,0.001998295,0.089426264,0.067247055,0.28423154,0.43671265,0.00059662596,0.009002832,0.0010642268,0.06914125,0.0044944454,0.0049885516,0.006659828,white
Marin,male,0.4429060588236418,0.5570939411763579,Marin,Marin,"GreaterEuropean,WestEuropean,French",0.009116661,0.087434135,0.889617,0.013832197,0.0024561863,0.0062120957,0.042402957,0.007812399,0.01893973,0.073017456,0.054326262,0.6611058,0.0035955594,0.03903989,0.033035867,0.05630541,0.0017504132,hispanic
Pangdra,female,0.9832163392002976,0.016783660799702234,Pangdra,Pangdra,"Asian,IndianSubContinent",0.020660948000000002,0.80680656,0.028669612,0.1438629,0.030150674,0.013047762,0.31157002,0.19591177,0.0020597212,0.21728018,0.0030032883,0.04937024,0.005372218,0.0039307377,0.07404231,0.0940656,0.00019548781,white
Ritisha,female,0.9832163392002976,0.016783660799702234,Ritisha,Ritisha,"GreaterAfrican,Muslim",0.17927782,0.793046,0.014924027,0.012752191999999999,0.025010014,0.062086806,0.045904033,0.09293379,0.38029578,0.14891982,0.07353681,0.0068878494,0.0066531976,0.08100111,0.058238216,0.01365683,0.0048756977,white
Stephanie,female,0.7550955466545506,0.24490445334544936,Stephanie,Stephanie,"GreaterEuropean,British",0.14069042,0.84045625,0.01658971,0.0022636368,0.0008379551,0.0018066029,0.00085488823,0.007006293,0.00015353665,0.92012376,0.0037494404,0.011380267,0.008967255,0.020657985,0.017300962,0.0058142734,0.0013467133,white
Tendai,female,0.8601043364664513,0.13989566353354882,Tendai,Tendai,"Asian,GreaterEastAsian,Japanese",0.009266854,0.30395436,0.12021981,0.56655896,0.0039911517,0.8704422,0.04331225,0.006146554,0.0029103626,0.008321325,0.0015928837,0.007907739,0.0027355324,0.005159167,0.019777061,0.017744802,0.009959065,api
TerryYeh,female,0.5194826857679209,0.4805173142320795,TerryYeh,TerryYeh,"GreaterAfrican,Africans",0.046714194,0.93418235,0.014566083,0.0045373794,0.00062239304,0.00010874216,0.0033564433,0.3614806,0.28012225,0.12497743,0.021536343,0.0038442195,0.035896093,0.13795438,0.007860667,0.013822742,0.008417742,white
Viera,female,0.9832163392002976,0.016783660799702234,Viera,Viera,"GreaterEuropean,WestEuropean,Hispanic",0.0025434622,0.13979676,0.8301417,0.027517972999999998,0.0011093499,0.0021599042,0.00063980225,0.0033186476,0.0010007385,0.009798268,0.0033208781,0.049202703,0.001974851,0.004285738,0.6107334,0.3109083,0.0015474706,hispanic
Yllin,male,0.4429060588236418,0.5570939411763579,Yllin,Yllin,"GreaterEuropean,WestEuropean,Nordic",0.10643421,0.7020476,0.18272582,0.008792331,0.0017094815,0.0018430302,0.0014171896,0.033760153,0.02816849,0.12971154,0.0050185355,0.12684089,0.19312035,0.048841186,0.11440065,0.013050932,0.30211762,white
Eric,male,0.02003622397286044,0.9799637760271398,Eric,Eric,"GreaterAfrican,Muslim",0.008575428000000001,0.96035165,0.025913993,0.005158961,0.010209138,0.016673122,0.0136903785,0.030512018,0.22313784,0.099532284,0.09474808,0.20707227,0.014227933,0.08934725,0.06770139,0.11974152,0.013406774,white
Najib Abdellaoui,male,0.26821941936612265,0.7317805806338776,Najib Abdellaoui,Najib Abdellaoui,"GreaterAfrican,Muslim",0.10390698,0.7603585999999999,0.07707512400000001,0.05865932,6.8531146e-05,2.1950103e-05,0.0006649533,0.111660585,0.8740443,0.0008211892,0.00031541978,0.010872325,0.0003276158,0.00019879187,0.00040460457,0.00048760689,0.000112131704,white
Mandhri Abeysooriya,female,0.8601043364664513,0.13989566353354882,Mandhri Abeysooriya,Mandhri Abeysooriya,"Asian,IndianSubContinent",0.0058755954,0.09719781599999999,0.26527629999999996,0.6316501999999999,0.0012321591,0.016924938,0.48329532,0.03508226,0.3538523,0.01339071,0.028178418,0.0045334673,0.0012943523,0.05677131,0.004603985,0.00074617425,9.4626244e-05,api
Emmanuel Adamolekun,male,0.4832691227435037,0.5167308772564961,Emmanuel Adamolekun,Emmanuel Adamolekun,"GreaterAfrican,Africans",0.029690875,0.9289719000000001,0.032329093999999996,0.009008155,0.005007091,0.00075813517,0.004585621,0.78840435,0.061500352,0.060236104,0.05168012,0.0047159665,0.005775148,0.009421311,0.0024096346,0.0012683172,0.004237745,white
Enis Afgan,male,0.2853764248283112,0.7146235751716887,Enis Afgan,Enis Afgan,"GreaterEuropean,British",0.01393624,0.7373215,0.019587286000000002,0.22915496,0.008564836,0.037062857,0.021127148,0.0052841688,0.01270572,0.71262914,0.006426311,0.011578171,0.0037873532,0.16181144,0.01025043,0.008322099,0.00045040034,white
Ula Afgan,female,0.9832163392002976,0.016783660799702234,Ula Afgan,Ula Afgan,"GreaterEuropean,British",0.01393624,0.7373215,0.019587286000000002,0.22915496,0.008564836,0.037062857,0.021127148,0.0052841688,0.01270572,0.71262914,0.006426311,0.011578171,0.0037873532,0.16181144,0.01025043,0.008322099,0.00045040034,white
Umar Ahmad,male,0.1863785023882097,0.8136214976117904,Umar Ahmad,Umar Ahmad,"GreaterAfrican,Muslim",0.06518315,0.17053664,0.006974788000000001,0.75730544,0.00093833683,0.00042572228,0.17894909,0.018152386,0.7080882,0.043785173,0.0066914386,0.0017415362,0.008159462,0.01580282,0.013427535,0.00080357475,0.0030346499,api
Mohamed Ahmed,male,0.1588811484329548,0.8411188515670452,Mohamed Ahmed,Mohamed Ahmed,"GreaterAfrican,Muslim",0.06554152,0.1420386,0.013159103,0.7792608,0.00043319477,0.00034285034,0.14920707,0.016718071,0.7804764,0.023492413,0.0011701396,0.0017108702,0.0048546083,0.003596488,0.015461716,0.00038186088,0.0021542883,api
Sunday Segun Alimi,female,0.5899989874919701,0.4100010125080299,Sunday Segun Alimi,Sunday Segun Alimi,"GreaterAfrican,Muslim",0.07241514,0.8274664,0.040838975,0.059279467999999995,0.007480718,0.005689701,0.043451566,0.13976048,0.48698813,0.01558933,0.02297026,0.03388952,0.0025557617,0.106056646,0.033101857,0.09229689,0.0101690935,white
Valli Alla,female,0.8601043364664513,0.13989566353354882,Valli Alla,Valli Alla,"GreaterEuropean,WestEuropean,Italian",0.031460278,0.6867167,0.24514872,0.03667435,0.004756561,0.0035318462,0.04670518,0.06798381,0.19552809,0.04091356,0.021344071,0.043078296,0.0036668607,0.05528231,0.21019995,0.29631183,0.01069764,white
Batool Almarzouq,male,0.4832691227435037,0.5167308772564961,Batool Almarzouq,Batool Almarzouq,"GreaterAfrican,Muslim",0.021675793,0.95168096,0.02546028,0.0011829259,6.0763174e-05,9.758832e-05,0.009855353,0.08436356,0.873919,0.0029086673,0.000777224,0.0133119235,0.0011407371,0.009885036,0.001850929,0.0014584928,0.00037069348,white
Palloma Almeida,female,0.9832163392002976,0.016783660799702234,Palloma Almeida,Palloma Almeida,"GreaterEuropean,WestEuropean,Hispanic",0.008642429,0.32402286,0.64855754,0.018777182,0.00040523254,0.004933945,0.00036918878,0.009020416,0.012340134,0.0052957335,0.005553161,0.010330282,0.0009396177,0.018845703,0.9158619,0.012384551,0.0037202262,hispanic
Wei-Lun Hsu Alterovitz,male,0.4429060588236418,0.5570939411763579,Wei-Lun Hsu Alterovitz,Wei-Lun Hsu Alterovitz,"GreaterEuropean,Jewish",0.0035630462,0.9859235000000001,0.009762821,0.0007505927,0.00028624947,0.0030594664,0.00030878923,0.0008931535,0.006714948,0.021003855,0.06559575,0.033493653,0.029536271,0.7869805,0.030874409,0.015035987,0.0062169726,white
Robert Amos,male,0.2831801041226014,0.7168198958773986,Robert Amos,Robert Amos,"GreaterEuropean,WestEuropean,Hispanic",0.18542452,0.77017915,0.037032586,0.0073637880000000005,0.0062403176,0.043659147,0.012935839,0.026065804,0.0143617615,0.17304936,0.022445774,0.059657976,0.047521256,0.09523795,0.34770748,0.13956761,0.011549721,white
Daniel Alex Anand,male,0.4832691227435037,0.5167308772564961,Daniel Alex Anand,Daniel Alex Anand,"Asian,IndianSubContinent",0.13723783,0.80167955,0.028360807999999998,0.03272179,0.006648152,0.001781835,0.66925067,0.013664719,0.016769541,0.050153043,0.002390204,0.17976804,0.0019349966,0.026573962,0.0146267265,0.0033727377,0.0130653195,white
Walter Arancio,male,0.1863785023882097,0.8136214976117904,Walter Arancio,Walter Arancio,"GreaterEuropean,WestEuropean,Hispanic",0.007241186,0.12240467,0.7743949,0.09595919,9.005606e-05,0.0038787008,0.00076836697,0.0037115002,0.0018423854,0.00509345,0.00030817432,0.038923457,0.00047541258,0.0035161737,0.6395952,0.30175623,4.0778858e-05,hispanic
Dave Arndt,female,0.7550955466545506,0.24490445334544936,Dave Arndt,Dave Arndt,"GreaterEuropean,WestEuropean,Germanic",0.009505074,0.97894645,0.010293464,0.0012549455,0.0021369243,0.003460154,0.00088949525,0.0008674834,0.005344739,0.11808473,0.024395991,0.11030306,0.33873588,0.10682736,0.045350954,0.015274262,0.22832891,white
Nurul Arneida,male,0.4832691227435037,0.5167308772564961,Nurul Arneida,Nurul Arneida,"GreaterEuropean,WestEuropean,Hispanic",0.047451895,0.78964895,0.14156770000000002,0.021331443,0.0006887984,0.017261533,0.0022060042,0.0071354336,0.019964444,0.06817287,0.07450507,0.03254101,0.024886543,0.14760624,0.42809254,0.14470342,0.032236043,white
