name,predict_gender,female_prob,male_prob,country,affiliation,race,black_prob,white_prob,hispanic_prob,api_prob,"Asian,GreaterEastAsian,EastAsian_prob","Asian,GreaterEastAsian,Japanese_prob","Asian,IndianSubContinent_prob","GreaterAfrican,Africans_prob","GreaterAfrican,Muslim_prob","GreaterEuropean,British_prob","GreaterEuropean,EastEuropean_prob","GreaterEuropean,WestEuropean,French_prob","GreaterEuropean,WestEuropean,Germanic_prob","GreaterEuropean,Jewish_prob","GreaterEuropean,WestEuropean,Hispanic_prob","GreaterEuropean,WestEuropean,Italian_prob","GreaterEuropean,WestEuropean,Nordic_prob",race_census
Lincoln Stein,male,0.4411264703893052,0.5588735296106946,Canada,Ontario Institute for Cancer Research,"GreaterEuropean,Jewish",0.020751423999999997,0.9664649,0.010145513,0.0026381342,0.011716499,0.0022453507,0.00060812774,0.001228115,0.007596039,0.17733997,0.08676131,0.03126838,0.0908136,0.55243975,0.006675478,0.0014118569,0.029895434,white
Abigail Cabunoc Mayes,male,0.4961049868702132,0.5038950131297869,United States,Mozilla Foundation,"GreaterEuropean,British",0.2768109,0.7063899,0.012131441000000001,0.0046677655,0.014099523,0.0009371831,0.005985592,0.047639817,0.02235099,0.608913,0.015753914,0.054881983,0.013375294,0.093618296,0.09549263,0.015150579,0.01180117,white
Prashanth N Suravajhala,female,0.5456744045493539,0.4543255954506458,India,Birla Institute of Scientific Research,"Asian,IndianSubContinent",0.0029088112,0.08635476,0.032041,0.8786954,0.00020861515,0.00022415273,0.9902536,0.0012827016,0.0011535219,0.002899734,0.00034157216,0.00023848513,0.00012588155,0.000335857,0.0025888735,0.00033893113,7.96952e-06,api
Sebastien E Ramos-Onsins,male,0.4411264703893052,0.5588735296106946,Spain,Center for Research in Agricultural Genomics CSIC-IRTA-UAB-UB (CRAG),"GreaterEuropean,British",0.15431441,0.6858755999999999,0.01813685,0.14167320000000003,0.0010519166,0.0011315285,0.003985631,0.15552971,0.0021621608,0.6659683,0.002975771,0.0070543783,0.006697593,0.010241107,0.13736239,0.005722898,0.000116606956,white
Vijay Krishna Nagampalli,female,0.5786625849764301,0.42133741502356975,United States,Cleveland Clinic Foundation,"GreaterEuropean,WestEuropean,Italian",0.0011994311,0.16988154,0.017849678,0.81106937,0.0021433143,0.00478751,0.09443985,0.08257776,0.007027141,0.04009803,0.009166256,0.019341296,0.005382744,0.014021335,0.13135378,0.5880368,0.0016241805,api
Enis Afgan,male,0.2957672109366553,0.7042327890633447,United States,Johns Hopkins University,"GreaterEuropean,British",0.01393624,0.7373215,0.019587286000000002,0.22915496,0.008564836,0.037062857,0.021127148,0.0052841688,0.01270572,0.71262914,0.006426311,0.011578171,0.0037873532,0.16181144,0.01025043,0.008322099,0.00045040034,white
Ula Afgan,female,0.9825659675953974,0.017434032404602017,United States,GalaxyWorks,"GreaterEuropean,British",0.01393624,0.7373215,0.019587286000000002,0.22915496,0.008564836,0.037062857,0.021127148,0.0052841688,0.01270572,0.71262914,0.006426311,0.011578171,0.0037873532,0.16181144,0.01025043,0.008322099,0.00045040034,white
Walter Arancio,male,0.20424982548744489,0.7957501745125553,Italy,,"GreaterEuropean,WestEuropean,Hispanic",0.007241186,0.12240467,0.7743949,0.09595919,9.005606e-05,0.0038787008,0.00076836697,0.0037115002,0.0018423854,0.00509345,0.00030817432,0.038923457,0.00047541258,0.0035161737,0.6395952,0.30175623,4.0778858e-05,hispanic
Geraldine Van der Auwera,female,0.7589323620194499,0.24106763798055,United States,Broad Institute,"GreaterAfrican,Africans",0.009661705999999999,0.73684865,0.02436036,0.22912924,0.011976651,0.0025716529,0.11137934,0.43669555,0.022744868,0.06233653,0.027565889,0.055963513,0.007245553,0.0054805554,0.22178137,0.033542838,0.0007155692,white
Artem Babain,male,0.13483243662544891,0.8651675633745514,Canada,University of British Columbia,"GreaterAfrican,Muslim",0.09136126,0.89191324,0.007796806999999999,0.0089287525,0.00247913,0.0012843551,0.13891393,0.045017008,0.5592958,0.026475575,0.00729727,0.15900609,0.0037963456,0.048219264,0.0017783426,0.004215409,0.002221483,white
