name,predict_gender,female_prob,male_prob,country,affiliation,race,black_prob,white_prob,hispanic_prob,api_prob,"Asian,GreaterEastAsian,EastAsian_prob","Asian,GreaterEastAsian,Japanese_prob","Asian,IndianSubContinent_prob","GreaterAfrican,Africans_prob","GreaterAfrican,Muslim_prob","GreaterEuropean,British_prob","GreaterEuropean,EastEuropean_prob","GreaterEuropean,WestEuropean,French_prob","GreaterEuropean,WestEuropean,Germanic_prob","GreaterEuropean,Jewish_prob","GreaterEuropean,WestEuropean,Hispanic_prob","GreaterEuropean,WestEuropean,Italian_prob","GreaterEuropean,WestEuropean,Nordic_prob",race_census
Aaron Darling,male,0.4492969995324755,0.5507030004675243,Australia,Aaron DarlingUniversity of Technology Sydney,"GreaterEuropean,British",0.07788803400000001,0.8914413,0.013437818999999998,0.017232863,0.0043490017,0.0018455621,0.0054696333,0.0042178207,0.0016361575,0.9021931,0.006348323,0.004190363,0.013539099,0.017595923,0.015424947,0.0014295953,0.021760544,white
Aaron Storey,male,0.4492969995324755,0.5507030004675243,United States,,"GreaterEuropean,British",0.072659,0.90455306,0.019159626000000003,0.0036282756,0.014493139,0.00087124895,0.00057134766,0.0051305667,0.0031620744,0.9111957,0.0022211117,0.009701306,0.0013195007,0.036220275,0.009674927,0.004205239,0.0012334738,white
Aaron Tyler,male,0.4492969995324755,0.5507030004675243,,Viracor Europhins,"GreaterEuropean,British",0.3760932,0.6067878000000001,0.013872897,0.0032461109000000003,0.0043801535,0.0024906313,0.044646792,0.0044838637,0.0020623184,0.6819331,0.007839464,0.15884879,0.020439913,0.030127188,0.022845306,0.010913597,0.008988825,white
Aaron Watters,male,0.4492969995324755,0.5507030004675243,United States,,"GreaterEuropean,British",0.10456969999999999,0.87666076,0.015336155,0.0034334294,0.011850712,0.004596694,0.016222332,0.0038324916,0.0027647475,0.88300014,0.002569363,0.026641233,0.0063905017,0.013380875,0.014574031,0.011896357,0.0022804872,white
Aaron Watters,male,0.4492969995324755,0.5507030004675243,,Aaron Wattersflatiron institute,"GreaterEuropean,British",0.10456969999999999,0.87666076,0.015336155,0.0034334294,0.011850712,0.004596694,0.016222332,0.0038324916,0.0027647475,0.88300014,0.002569363,0.026641233,0.0063905017,0.013380875,0.014574031,0.011896357,0.0022804872,white
Aayush Grover,female,0.5145034559796007,0.4854965440203993,Namibia,Aayush GroverInternational Institute of Information Technology Bangalore,"GreaterEuropean,British",0.030967197999999998,0.9502543999999999,0.01660524,0.0021731611,0.0030879804,0.0015735652,0.057830986,0.0073414296,0.0024816357,0.69047433,0.030149138,0.03338684,0.021480957,0.106018156,0.011309439,0.026273226,0.008592378,white
Abbas Roayaei Ardakany,male,0.2887101283064836,0.7112898716935159,,Abbas Roayaei ArdakanyLa Jolla Institute of Immunology,"GreaterAfrican,Muslim",0.045286722,0.9366969999999999,0.015570303999999998,0.0024459143,0.011404748,0.0027366576,0.10959211,0.18201347,0.3773006,0.081573844,0.04701762,0.0669425,0.011563565,0.092287496,0.0061018793,0.0050734193,0.006392077,white
Abhijit Chakraborty,male,0.29859056176846543,0.7014094382315351,,Abhijit ChakrabortyLa Jolla Institute for Immunology,"Asian,IndianSubContinent",0.030318815,0.25840738,0.014803994,0.6964698,0.00017680369,1.0277791e-05,0.99515754,0.00088180864,0.0011448623,0.0016047492,0.0006296595,0.0001792495,5.2380806e-06,0.000115877956,1.8323262e-05,3.0153911e-05,4.547125e-05,api
Abhimanyu Banerjee,male,0.3425185074949017,0.6574814925050978,United States,Abhimanyu BanerjeeStanford University,"Asian,IndianSubContinent",0.014592555,0.21775319,0.076153375,0.69150084,5.1625275e-06,5.8514333e-06,0.9922496,0.001094106,0.0016655495,0.0037490074,0.00010124086,0.0004346188,2.258261e-05,7.346713e-05,0.0004525149,0.00013463934,1.16261945e-05,api
Abigaïl Djossou,male,0.4902247843059303,0.5097752156940696,,Universite de Sherbrooke,"GreaterAfrican,Africans",0.14107259,0.81047887,0.03758613,0.01086238,8.417906e-06,0.00014752745,7.5194024e-05,0.8699615,0.016101887,0.002075458,0.00041524757,0.09552578,0.0012533556,0.0032168643,0.010986546,0.00017948945,5.2558058e-05,white
