name,predict_gender,female_prob,male_prob,country,affiliation,race,black_prob,white_prob,hispanic_prob,api_prob,"Asian,GreaterEastAsian,EastAsian_prob","Asian,GreaterEastAsian,Japanese_prob","Asian,IndianSubContinent_prob","GreaterAfrican,Africans_prob","GreaterAfrican,Muslim_prob","GreaterEuropean,British_prob","GreaterEuropean,EastEuropean_prob","GreaterEuropean,WestEuropean,French_prob","GreaterEuropean,WestEuropean,Germanic_prob","GreaterEuropean,Jewish_prob","GreaterEuropean,WestEuropean,Hispanic_prob","GreaterEuropean,WestEuropean,Italian_prob","GreaterEuropean,WestEuropean,Nordic_prob",race_census
Max Alekseyev,male,0.475461046,0.524538954,United States,The George Washington University,"GreaterEuropean,EastEuropean",0.005982639,0.969981,0.019777404,0.004259002,1.87E-05,1.91E-05,0.000108205,0.000161366,0.021425242,0.000100331,0.9741556,0.000225715,3.01E-05,0.00308368,0.000175969,8.04E-05,0.000415469,white
Pavel Avdeyev,male,0.494698435,0.505301565,United States,The George Washington University,"GreaterEuropean,EastEuropean",0.023089595,0.9479567,0.023618406,0.005335278,1.09E-05,8.34E-05,0.000108488,0.000101472,0.011324903,0.000391131,0.9685281,0.001086975,0.000485646,0.015443432,0.00109138,0.000575713,0.000768478,white
Kamil Cygan,male,0.494698435,0.505301565,United States,"Regeneron Pharmaceuticals, Inc.","GreaterEuropean,British",0.025231471,0.9548257,0.01565101,0.004291738,0.006246669,0.01013978,0.016768724,0.007853191,0.01181405,0.3585707,0.028219305,0.2638048,0.010091647,0.04500803,0.05707878,0.17384523,0.010559124,white
Alexander Zelikovsky,male,0.191727772,0.808272228,United States,Georgia State University,"GreaterEuropean,EastEuropean",0.001278042,0.9963793,0.002200056,0.000142642,4.75E-05,0.00013772,1.83E-05,8.11E-05,0.001249964,0.002907115,0.7387982,0.004412258,0.001771611,0.16372235,0.08448377,0.00203861,0.000331408,white
Taesung Park,male,0.262858058,0.737141942,South Korea,Seoul National University,"Asian,GreaterEastAsian,EastAsian",0.008372783,0.36603665,0.006400044,0.6191905,0.44099382,0.00638269,0.03803394,0.000994874,0.014441139,0.3637235,0.01510123,0.018154869,0.003223375,0.050379187,0.039035413,0.006636878,0.002899086,api
Yijie Wang,female,0.752860915,0.247139085,United States,National Institutes of Health,"Asian,GreaterEastAsian,EastAsian",0.002960575,0.027023744,0.006571591,0.9634442,0.81079745,0.002164217,0.000909726,0.002030478,0.00136196,0.1078304,0.004788589,0.013183014,0.010248409,0.014003211,0.006061662,0.00185277,0.02476811,api
Badri Adhikari,female,0.865432837,0.134567163,United States,University of Missouri - St.Louis,"Asian,IndianSubContinent",0.00344415,0.61101264,0.02670275,0.35884047,0.003601854,0.000537651,0.83471334,0.10047795,0.04295895,0.008037325,0.000839071,0.007097228,0.000157696,0.000934152,0.000295047,0.000227743,0.0001219,white
Nae-Chyun Chen,male,0.44675319,0.55324681,United States,Johns Hopkins University,"Asian,GreaterEastAsian,EastAsian",0.004138276,0.010262096,0.004654848,0.98094475,0.9454943,0.001576148,0.001255082,0.00033948,0.000496807,0.021351635,0.00150475,0.001753924,0.000645378,0.01722373,0.001632564,0.001772066,0.004954245,api
Ernesto Andrianantoandro,male,0.17751844,0.82248156,United States,Cell Press,"GreaterEuropean,WestEuropean,Italian",0.013633684,0.70609146,0.2356172,0.044657663,0.000997252,0.007051334,0.004082437,0.004827216,0.00165364,0.03362341,0.004183712,0.025157906,0.012717075,0.05217726,0.21635859,0.63654333,0.000626873,white
Chih-Hao Hsu,male,0.17751844,0.82248156,United States,FDA,"Asian,GreaterEastAsian,EastAsian",0.000404079,0.007175926,0.001149541,0.9912704,0.9989814,0.0008153,6.33E-06,9.66E-06,1.62E-05,4.07E-05,1.51E-05,2.96E-05,9.51E-06,1.77E-05,2.38E-05,2.73E-05,7.35E-06,api
Raheleh Salari,female,0.540352822,0.459647178,United States,Natera Inc,"GreaterAfrican,Muslim",0.005364814,0.9788086,0.007215375,0.00861124,0.001623653,0.003138695,0.092684485,0.069642246,0.29514444,0.06448904,0.009115101,0.03381262,0.007092436,0.16032994,0.05951694,0.2008642,0.002546112,white
Simon Gravel,male,0.44675319,0.55324681,Canada,McGill University,"GreaterEuropean,WestEuropean,French",0.0336539,0.95069104,0.010591933,0.005063147,0.002551724,0.000320512,0.004446001,0.003037266,0.003477923,0.2654878,0.0380278,0.42772803,0.01715728,0.12279963,0.08700967,0.01923246,0.008724004,white
Prakriti Paul,female,0.865432837,0.134567163,United States,Princeton University,"GreaterEuropean,British",0.17804627,0.76975685,0.03143497,0.020761905,0.16017942,0.005522324,0.18999277,0.007512603,0.011269372,0.25503916,0.0368352,0.16860335,0.019155113,0.0338125,0.039355557,0.05077333,0.02194914,white
Kyle Ellrott,female,0.752860915,0.247139085,United States,Oregon Health & Science University,"GreaterEuropean,British",0.12737091,0.85230964,0.016400462,0.003918936,0.017981809,0.005353389,0.008814327,0.002710448,0.005747668,0.8664253,0.00395736,0.016463008,0.007300597,0.029633563,0.025743589,0.005299385,0.004569425,white
Sofija Miljovska,female,0.983670413,0.016329587,United States,Medidata Solutions,"GreaterEuropean,EastEuropean",0.002109072,0.9738229,0.022335581,0.00173247,0.000376258,0.000215211,0.001182752,0.006183869,0.006947457,0.016284447,0.7859366,0.0544802,0.024711248,0.042755444,0.04026495,0.01815559,0.002505856,white
Mohammed El-Kebir,male,0.14169756,0.85830244,United States,University of Illinois at Urbana-Champaign,"GreaterAfrican,Muslim",0.10315497,0.8710438,0.018476443,0.00732483,1.80E-05,3.32E-05,8.98E-05,0.007022831,0.9579597,0.00508317,0.000286199,0.000243804,0.000392706,0.02329386,0.000221708,0.000194706,0.005160403,white
Jacquelyn Meisel,male,0.44675319,0.55324681,United States,University of Maryland,"GreaterEuropean,WestEuropean,Germanic",0.003295392,0.9363704,0.056800164,0.003534086,0.000495593,0.000472773,0.004623082,0.00635913,0.008236459,0.12097736,0.00738305,0.043840114,0.318388,0.22941092,0.24342693,0.013990246,0.002396458,white
Itsik Pe'er,male,0.050087887,0.949912113,United States,Columbia University,"GreaterEuropean,Jewish",0.12582006,0.85580194,0.013947465,0.004430532,0.008639915,0.001781798,0.001279651,0.004691484,0.05885577,0.03442187,0.035367575,0.07359061,0.002434072,0.50032973,0.08573188,0.19280653,6.92E-05,white
Sharon Browning,male,0.44675319,0.55324681,United States,University of Washington,"GreaterEuropean,British",0.12793706,0.8493299,0.017583303,0.005149707,0.000363483,0.001381851,0.001392641,0.003619855,0.004127851,0.9314946,0.003804784,0.00485548,0.012073764,0.010446007,0.018886287,0.001383793,0.006169672,white
Qiuchen Meng,male,0.44675319,0.55324681,China,Tsinghua University,"Asian,GreaterEastAsian,EastAsian",0.009132214,0.13211162,0.043644484,0.8151117,0.9328059,0.000997998,0.000769215,0.004611422,0.001058787,0.020646535,0.001641287,0.004474934,0.008424085,0.00167169,0.005141781,0.001546626,0.01620959,api
Darya Filippova,female,0.983670413,0.016329587,United States,Grail,"GreaterEuropean,EastEuropean",0.005845777,0.9855267,0.006668947,0.00195857,5.77E-05,0.000185428,0.000309975,0.000216462,0.007844916,0.006892983,0.92494076,0.001043958,0.000501931,0.012177112,0.017391931,0.025356956,0.003080016,white
yue wu,female,0.752860915,0.247139085,United States,UCLA,"Asian,GreaterEastAsian,EastAsian",0.0003789,0.001420714,0.001238517,0.9969619,0.98061085,0.000794322,7.83E-05,0.002668971,4.39E-05,0.01432607,0.000157071,0.000308999,0.000135886,0.00042398,0.000145948,0.000182315,0.000123184,api
Matthew Bendall,male,0.204846418,0.795153582,United States,GWU Computational Biology Institute,"GreaterEuropean,British",0.15139847,0.83222514,0.012561988,0.003814452,0.002831943,0.0012032,0.004289998,0.001567657,0.001771514,0.93203527,0.002947789,0.009738333,0.009697235,0.021020629,0.004067635,0.001227025,0.007601864,white
Michael Waterman,male,0.494698435,0.505301565,United States,University of Southern California,"GreaterEuropean,British",0.09580521,0.8871801,0.014908226,0.002106512,0.004173204,0.000247321,0.010533119,0.002819039,0.001283735,0.84384215,0.013454218,0.012354104,0.011483395,0.08448523,0.012409213,0.002450089,0.000465144,white
Pavel Skums,male,0.494698435,0.505301565,United States,Georgia State University,"GreaterEuropean,British",0.014532199,0.95014316,0.019367296,0.015957309,0.011531447,0.007555894,0.003244105,0.007403685,0.013650328,0.6284895,0.047870923,0.015898407,0.011636338,0.17577185,0.012713322,0.003571552,0.060662672,white
Fei Ji,female,0.865432837,0.134567163,United States,Massachusetts General Hospital,"Asian,GreaterEastAsian,EastAsian",0.008061202,0.05149859,0.010725563,0.92971474,0.9381158,0.043467887,0.006396509,0.000604028,0.005162777,0.00369386,0.000658661,0.000648286,4.01E-05,0.000267257,0.000398367,0.00041845,0.000128046,api
Oliver Snow,male,0.191727772,0.808272228,Canada,Simon Fraser University,"GreaterEuropean,British",0.16817153,0.8171868,0.010225244,0.004416408,0.2378645,0.015619615,0.004307113,0.011233188,0.002439866,0.4776038,0.0120017,0.056265764,0.005046224,0.144193,0.013251013,0.004735769,0.015438521,white
Sriram Sankararaman,male,0.149585673,0.850414327,United States,UCLA,"Asian,IndianSubContinent",0.007384429,0.020280521,0.006343613,0.9659913,8.50E-05,2.64E-05,0.99794203,4.02E-05,0.000992957,0.000316172,0.00019347,0.000158552,2.52E-05,4.95E-05,8.65E-05,6.79E-05,1.60E-05,api
Haluk Resat,male,0.050087887,0.949912113,United States,Haluk Resat,"GreaterEuropean,WestEuropean,French",0.12335282,0.6758651,0.059476443,0.14130566,0.004881211,0.009435871,0.03921428,0.01541528,0.05177465,0.022661172,0.00941157,0.54135656,0.017827302,0.046360165,0.07158952,0.1588806,0.011191734,white
Sorin Istrail,male,0.44675319,0.55324681,United States,Brown University,"GreaterEuropean,WestEuropean,French",0.12920083,0.5645163,0.12637796,0.17990501,0.000858363,0.001965036,0.03312833,0.001068997,0.010397813,0.3592042,0.009430776,0.3652875,0.005350544,0.040674586,0.15677777,0.008317263,0.00753888,white
Sean West,male,0.44675319,0.55324681,United States,University of Nebraska at Omaha,"GreaterEuropean,British",0.15370442,0.8342716,0.011099529,0.000924388,0.013716147,0.003668551,0.003678227,0.001621011,0.002212438,0.9062674,0.006817341,0.008192356,0.019487718,0.017459482,0.012525175,0.001042286,0.003311692,white
Dario Ghersi,male,0.17751844,0.82248156,United States,University of Nebraska,"GreaterEuropean,WestEuropean,Italian",0.011183732,0.9611008,0.017760906,0.009954506,0.004677419,0.003634044,0.036394875,0.10802398,0.16423956,0.09105767,0.008385723,0.098464034,0.005367105,0.04275229,0.05911098,0.37168434,0.006207924,white
Peter Robinson,male,0.191727772,0.808272228,United States,The Jackson Laboratory,"GreaterEuropean,British",0.50197166,0.46399462,0.028504122,0.005529593,0.001047185,0.001832365,0.003338164,0.001957719,0.000260511,0.9039728,0.001023826,0.028924024,0.000647579,0.027391193,0.011146871,0.014765417,0.003692358,black
Hyojung Paik,male,0.262858058,0.737141942,South Korea,KISTI,"Asian,IndianSubContinent",0.006530277,0.7756132,0.01297287,0.20488365,0.03332579,0.008484751,0.63475806,0.004602355,0.100777365,0.089877,0.03051764,0.006432821,0.010097285,0.04605434,0.009046345,0.021185324,0.004840968,white
Jeremy Fisher,female,0.58050454,0.41949546,United States,Becton Dickinson Genomics,"GreaterEuropean,British",0.12303008,0.8528312,0.01757807,0.006560592,0.004408102,0.001672109,0.005576734,0.0018032,0.001326688,0.82056445,0.010968826,0.03210264,0.005049292,0.099739805,0.00572728,0.00760349,0.00345755,white
Jonathan LoTempio,male,0.44675319,0.55324681,United States,Children's National,"GreaterEuropean,WestEuropean,Italian",0.003597132,0.9333445,0.050676204,0.012382221,2.28E-05,0.000730351,0.00055013,0.001232313,0.000578791,0.007826108,0.000119062,0.015201265,0.00155112,0.001677469,0.11760254,0.85274297,0.000165096,white
Jingwen Pei,male,0.44675319,0.55324681,United States,Ancestry,"Asian,GreaterEastAsian,EastAsian",0.030569457,0.010671276,0.011216298,0.9475429,0.5939588,0.10617132,0.052758787,0.018101154,0.010161766,0.026409965,0.008660406,0.017041745,0.002382477,0.014534124,0.081877165,0.057546213,0.010396061,api
Mohamed Gunady,male,0.14169756,0.85830244,United States,University of Maryland,"Asian,IndianSubContinent",0.19427359,0.7548363,0.02940424,0.02148583,5.05E-05,2.17E-05,0.97980875,0.002069525,0.001911415,0.011107633,0.000469203,0.001956492,6.86E-05,0.001807123,0.000421928,0.000281552,2.56E-05,white
Alfonso Valencia,male,0.17751844,0.82248156,Spain,Spanish National Bioinformatics Institute,"GreaterEuropean,WestEuropean,Hispanic",0.006441833,0.06232689,0.8954148,0.035816327,4.51E-05,0.000456909,0.002026151,0.002375288,0.006655355,0.005504047,0.00160207,0.06368483,0.001582097,0.005616583,0.8162391,0.09401987,0.000192605,hispanic
