id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1359765054720245760	1359765054720245760	2021-02-11 02:23:46 Eastern Standard Time	2021-02-11	02:23:46	-0500	253093470	petitalan	Alain Ménez	{'type': 'Point', 'coordinates': [48.88047704, 2.38274574]}	La voie ensoleillée. #petitalan #menezalain #streetphotography #photoofthedays à Parc des Buttes-Chaumont  https://t.co/jFeTnwXx3G	fr	[]	['https://www.instagram.com/p/CLJLaxznlKX/?igshid=9il5hqfoz7wz']	[]	0	0	0	['petitalan', 'menezalain', 'streetphotography', 'photoofthedays']	[]	https://twitter.com/petitalan/status/1359765054720245760	False		0			48.880048,2.385939,1km					[]				
1359610342087811073	1359610342087811073	2021-02-10 16:09:00 Eastern Standard Time	2021-02-10	16:09:00	-0500	1039439085985845248	yousrim19	Yous2Tonsser		🌞  https://t.co/sLq0SAie5J	und	[]	[]	['https://pbs.twimg.com/media/Et5OZOTXMAAGS-V.jpg']	0	0	6	[]	[]	https://twitter.com/YousriM19/status/1359610342087811073	False		1	https://pbs.twimg.com/media/Et5OZOTXMAAGS-V.jpg		48.880048,2.385939,1km					[]				
1359590890004742146	1359590890004742146	2021-02-10 14:51:42 Eastern Standard Time	2021-02-10	14:51:42	-0500	1926502896	54etats	54 ÉTATS	{'type': 'Point', 'coordinates': [48.87221728, 2.38759074]}	USA 🇺🇸   Impeachment  Donald Trump mécontent de la prestation de ses avocats.  #DonaldTrump #USA #Impeachment à United States of America  https://t.co/6PJz72ImUa	fr	[]	['https://www.instagram.com/p/CLH8NrUjra9/?igshid=15vkm9tmb2w42']	[]	0	1	1	['donaldtrump', 'usa', 'impeachment']	[]	https://twitter.com/54ETATS/status/1359590890004742146	False		0			48.880048,2.385939,1km					[]				
1359501006665641985	1359501006665641985	2021-02-10 08:54:32 Eastern Standard Time	2021-02-10	08:54:32	-0500	1926502896	54etats	54 ÉTATS	{'type': 'Point', 'coordinates': [48.87221728, 2.38759074]}	ÉTATS-UNIS 🇺🇸   Le second procès historique en destitution de Donald Trump s'ouvre au Sénat.  #Senat #UnitedStates à United States of America  https://t.co/LyI3dLqqWA	fr	[]	['https://www.instagram.com/p/CLHTVy1DXaR/?igshid=toftc5go75e6']	[]	0	0	0	['senat', 'unitedstates']	[]	https://twitter.com/54ETATS/status/1359501006665641985	False		0			48.880048,2.385939,1km					[]				
1359466353267212290	1359466353267212290	2021-02-10 06:36:50 Eastern Standard Time	2021-02-10	06:36:50	-0500	44314556	themadartist72	Hayssam DAEZLY	{'type': 'Point', 'coordinates': [48.8783, 2.39309]}	#siestafun #bleumarron #ruecompans#fucklife #bijoux #anotherday #haythamdaezly #visualart #visualcodes #themadartist #paris19 à Rue Compans  https://t.co/HWtFUFbT5u	fr	[]	['https://www.instagram.com/p/CLHDlNHLqG2/?igshid=1pzjxy7znrfc8']	[]	0	0	0	['siestafun', 'bleumarron', 'bijoux', 'anotherday', 'haythamdaezly', 'visualart', 'visualcodes', 'themadartist', 'paris19']	[]	https://twitter.com/themadartist72/status/1359466353267212290	False		0			48.880048,2.385939,1km					[]				
1359449291689975808	1359449291689975808	2021-02-10 05:29:03 Eastern Standard Time	2021-02-10	05:29:03	-0500	12191482	mopiou	Julien  ₪ ø ||| ·o.	{'type': 'Point', 'coordinates': [48.87863, 2.37817]}	Freezing time in Paris. Il fait froid à Paris 🧤 . . . #paris #visitparis #visitparis🇫🇷 à Hôpital Fondation Adolphe de Rothschild  https://t.co/QUvGP9m45T	fr	[]	['https://www.instagram.com/p/CLG70hngBXA/?igshid=19eo8b0195m07']	[]	0	0	0	['paris', 'visitparis', 'visitparis']	[]	https://twitter.com/MOPiOU/status/1359449291689975808	False		0			48.880048,2.385939,1km					[]				
1359448972771921929	1359448972771921929	2021-02-10 05:27:47 Eastern Standard Time	2021-02-10	05:27:47	-0500	12191482	mopiou	Julien  ₪ ø ||| ·o.	{'type': 'Point', 'coordinates': [48.88047704, 2.38274574]}	Closed park 🏞 Parc des Buttes Chaumonts . . . #closed #paris #parc #butteschaumont à Parc des Buttes-Chaumont  https://t.co/ATjn2QOORf	fr	[]	['https://www.instagram.com/p/CLG7rcyAkLc/?igshid=1ndejyya75qub']	[]	0	0	0	['closed', 'paris', 'parc', 'butteschaumont']	[]	https://twitter.com/MOPiOU/status/1359448972771921929	False		0			48.880048,2.385939,1km					[]				
1359448288131485697	1359448288131485697	2021-02-10 05:25:03 Eastern Standard Time	2021-02-10	05:25:03	-0500	12191482	mopiou	Julien  ₪ ø ||| ·o.	{'type': 'Point', 'coordinates': [48.87863, 2.37817]}	Fondation Rothschild Paris . . . #paris @hopital_fond_a_rothschild #hospital #hopital à Hôpital Fondation Adolphe de Rothschild  https://t.co/t9J2MYtYQZ	fr	[]	['https://www.instagram.com/p/CLG7XfaANKv/?igshid=1gz00miz7ia7f']	[]	0	0	0	['paris', 'hospital', 'hopital']	[]	https://twitter.com/MOPiOU/status/1359448288131485697	False		0			48.880048,2.385939,1km					[]				
1359407961383325697	1359407961383325697	2021-02-10 02:44:49 Eastern Standard Time	2021-02-10	02:44:49	-0500	161333995	ulyssebd	Ulysse		Bon mercredi à tous ❄️☃️  La Place des Fêtes enneigée ce matin  https://t.co/lZ8ToKD6Nh	fr	[]	[]	['https://pbs.twimg.com/media/Et2WVH_XIAALQpO.jpg', 'https://pbs.twimg.com/media/Et2WVIFWYAIExyv.jpg']	0	0	12	[]	[]	https://twitter.com/UlysseBD/status/1359407961383325697	False		1	https://pbs.twimg.com/media/Et2WVH_XIAALQpO.jpg		48.880048,2.385939,1km					[]				
1359392110760366080	1359392110760366080	2021-02-10 01:41:50 Eastern Standard Time	2021-02-10	01:41:50	-0500	72970998	bressebleu	Bresse 🦆	{'type': 'Point', 'coordinates': [48.8764, 2.39053]}	Vient de publier une photo à Cité du Palais-Royal-de-Belleville  https://t.co/nKrj8iERPU	fr	[]	['https://www.instagram.com/p/CLGh0m2hJEh/?igshid=1r84h4ogp9swg']	[]	0	0	1	[]	[]	https://twitter.com/BresseBleu/status/1359392110760366080	False		0			48.880048,2.385939,1km					[]				
