username,date,retweets,favorites,geo,mentions,hashtags,id,;permalink,,,
DaleYuzuki,4/26/2015 19:55,0,0,,,#,5.92477E+17,https://twitter.com/DaleYuzuki/status/592477020543709185,,,
Aiims1742,4/26/2015 19:43,0,1,,@ @,# #,5.92474E+17,https://twitter.com/Aiims1742/status/592474147424317440,,,
pulmonary_news,4/26/2015 19:40,0,0,,@,,5.92473E+17,https://twitter.com/pulmonary_news/status/592473279211950080,,,
AACRFoundation,4/26/2015 19:35,2,1,,@ @,#,5.92472E+17,https://twitter.com/AACRFoundation/status/592471993477242880,,,
HistoWiz,4/26/2015 19:08,0,0,,@,#,5.92465E+17,https://twitter.com/HistoWiz/status/592465270389788672,,,
WHYYNews,4/26/2015 18:30,0,1,,@,,5.92456E+17,https://twitter.com/WHYYNews/status/592455815723880448,,,
SafiaDanovi,4/26/2015 17:10,0,1,,@ @,#,5.92436E+17,https://twitter.com/SafiaDanovi/status/592435683685466112,,,
23aloha,4/26/2015 17:05,0,2," +3.32% after. No sell the conf. @ bradloncar""",,@ @,#,5.92434E+17,https://twitter.com/23aloha/status/592434464401313792,,
rosmith11,4/26/2015 15:26,1,0,,@ @ @ @,#,5.92409E+17,https://twitter.com/rosmith11/status/592409413446598657,,,
cancerassassin1,4/26/2015 15:04,0,0,,@,# #,5.92404E+17,https://twitter.com/cancerassassin1/status/592403987351138307,,,
SeekQuenceInc,4/26/2015 14:55,0,1,,,# # # #,5.92402E+17,https://twitter.com/SeekQuenceInc/status/592401594353852416,,,
Cerviva,4/26/2015 14:54,2,0,,,# # #,5.92401E+17,https://twitter.com/Cerviva/status/592401340044865536,,,
d2merino,4/26/2015 14:45,1,1,,@,#,5.92399E+17,https://twitter.com/d2merino/status/592399230624538626,,,
DaleYuzuki,4/26/2015 14:30,1,1,,@ @ @ @,#,5.92395E+17,https://twitter.com/DaleYuzuki/status/592395362268217344,,,
humanimmunenews,4/26/2015 14:15,0,0,,@,#,5.92392E+17,https://twitter.com/humanimmunenews/status/592391506998210561,,,
DaleYuzuki,4/26/2015 13:25,0,1,,@,#,5.92379E+17,https://twitter.com/DaleYuzuki/status/592378884802379777,,,
bswhealth_DFW,4/26/2015 12:51,2,3,,@,#,5.9237E+17,https://twitter.com/bswhealth_DFW/status/592370349112713216,,,
BOSBIZJess,4/26/2015 12:50,1,1,,@,,5.9237E+17,https://twitter.com/BOSBIZJess/status/592370171651694593,,,
jessmayb3,4/26/2015 12:50,1,0,,@,,5.9237E+17,https://twitter.com/jessmayb3/status/592370131579330560,,,
DaleYuzuki,4/26/2015 12:25,0,0,,@,#,5.92364E+17,https://twitter.com/DaleYuzuki/status/592363783672172544,,,
weldeiry,4/26/2015 12:23,1,3,,@,,5.92363E+17,https://twitter.com/weldeiry/status/592363466507350016,,,
JackWhelan,4/26/2015 12:18,1,2,,@ @ @ @,,5.92362E+17,https://twitter.com/JackWhelan/status/592362066347954178,,,
HemOncToday,4/26/2015 12:00,0,0,,,# # #,5.92357E+17,https://twitter.com/HemOncToday/status/592357485370953731,,,
PiescheLab,4/26/2015 10:59,0,0,,@DionCapital,# # # #,5.92342E+17,https://twitter.com/PiescheLab/status/592342201163784192,,,
humanimmunenews,4/26/2015 10:50,0,1,,@,#,5.9234E+17,https://twitter.com/humanimmunenews/status/592339936709316609,,,
ivanalvarez100,4/26/2015 8:24,0,0,,,#,5.92303E+17,https://twitter.com/ivanalvarez100/status/592303220191535104,,,
DaleYuzuki,4/26/2015 7:11,1,0,,@,#,5.92285E+17,https://twitter.com/DaleYuzuki/status/592284762028548096,,,
DJ_Litchi,4/26/2015 7:06,0,0,,,# #,5.92284E+17,https://twitter.com/DJ_Litchi/status/592283697165905920,,,
DrWipeOutCancer,4/26/2015 3:20,0,0,,,# # #,5.92227E+17,https://twitter.com/DrWipeOutCancer/status/592226667470303232,,,
Power30under30,4/26/2015 2:47,0,0,,@,,5.92219E+17,https://twitter.com/Power30under30/status/592218528557596672,,,
SamisNutBakery,4/26/2015 1:48,0,1,,@,# # # # # # # #,5.92204E+17,https://twitter.com/SamisNutBakery/status/592203685465296896,,,
humanimmunenews,4/26/2015 0:00,0,0,,@,# #,5.92176E+17,https://twitter.com/humanimmunenews/status/592176396862119936,,,
