username,date,retweets,favorites,text,geo,mentions,hashtags,id,;permalink
IvanhoeMd,2016-04-24 18:51,0,0,"MammaPrint # GeneticTest Can Reduce Use of Post-surgery Chemotherapy Among Early-stage # BreastCancer Pat.. http://www.aacr.org/Newsroom/Pages/News-Release-Detail.aspx?ItemID=867#.Vx1LqvmLTZ6 … via @ AACR",,@,# # #,"724370220438134784",https://twitter.com/IvanhoeMd/status/724370220438134784
MedscapeOnc,2016-04-24 16:29,4,5,"In case you missed it, a tweet transcript of @ VP Joe Biden's # AACR16 # CancerMoonshot speech: http://sfy.co/a0zrd pic.twitter.com/iF44vN02bE",,@,# #,"724334351631032320",https://twitter.com/MedscapeOnc/status/724334351631032320
Dr_Asdrubal,2016-04-24 16:07,0,0,"Women with high-risk breast cancer avoided adjuvant chemo with no increased risk of metastatic disease # AACR16 http://bit.ly/1SBF1Sd",,,#,"724328846233837568",https://twitter.com/Dr_Asdrubal/status/724328846233837568
medpagetoday,2016-04-24 16:00,6,0,"Women with high-risk breast cancer avoided adjuvant chemo with no increased risk of metastatic disease # AACR16 http://bit.ly/1SBF1Sd",,,#,"724327065831374848",https://twitter.com/medpagetoday/status/724327065831374848
CDMRP,2016-04-24 15:05,0,0,"FY16 Lung Cancer Research Prog. Investigator-Initiated Translational Research Award, preproposal due 6/9 # AACR16 http://1.usa.gov/1GJwtkQ",,,#,"724313221310468096",https://twitter.com/CDMRP/status/724313221310468096
bsangersbach,2016-04-24 14:59,0,2,"Initiatives to spur # cancer research from @ VP @ AACR # cancermoonshot http://www.genengnews.com/gen-news-highlights/aacr-2016-biden-calls-for-overhauling-cancer-research-incentives/81252636/ …",,@ @,# #,"724311811994996736",https://twitter.com/bsangersbach/status/724311811994996736
MedscapeStudent,2016-04-24 14:11,1,4,"# AACR16: # Immunotherapy extends life of head and neck cancer patients in trial - http://wb.md/1Svp93u pic.twitter.com/L0PkjsDoUl",,,# #,"724299623620169728",https://twitter.com/MedscapeStudent/status/724299623620169728
CancerTodayMag,2016-04-24 14:05,0,1,"At the @ AACR Annual Meeting, @ VP spoke on the importance of collaboration: http://ct.aacr.org/2nu # AACR16 pic.twitter.com/NyIyiAXKZj",,@ @,#,"724298147355193344",https://twitter.com/CancerTodayMag/status/724298147355193344
NCIEpi,2016-04-24 13:21,1,1,"RT @ AACR: A new math. model to study cancer-driver mutations as the elementary event in causing cancer. http://bit.ly/1pe76kF",,@,,"724287040855138304",https://twitter.com/NCIEpi/status/724287040855138304
CMichaelGibson,2016-04-24 11:20,16,18,"Cancer researchers push for personalized tumour vaccines http://bit.ly/1XNZAJx # AACR16 pic.twitter.com/oMKcppxKCL",,,#,"724256678661742592",https://twitter.com/CMichaelGibson/status/724256678661742592
Pathology20,2016-04-24 11:16,0,7,""The future of cancer # immunotherapy is a predictive algorithm for which combinations to use in which person" - # AACR16 panelists",,,# #,"724255668874649601",https://twitter.com/Pathology20/status/724255668874649601
HemOncToday,2016-04-24 10:15,0,1,"Jayesh Desai, from the @ TheRMH: "BGB-283 effective against tumors with BRAF, RAS mutations" http://goo.gl/pRiOhg # AACR16 # melanoma",,@,# #,"724240241746288640",https://twitter.com/HemOncToday/status/724240241746288640
MediPaper,2016-04-24 09:54,1,3,"Writing on # Ki67, # breastcancer and # CDK46 / # palbociclib ( # Ibrance). Hope to entertain you soon. # pfizer # CancerResearch # AACR2016",,,# # # # # # # #,"724234984152690689",https://twitter.com/MediPaper/status/724234984152690689
DaleYuzuki,2016-04-24 07:35,1,0,"RT @ NatureNews: Researchers push for personalized tumour vaccines http://bit.ly/1XNZAJx # AACR16 pic.twitter.com/S8V3ur9TOo",,@,#,"724199989929451523",https://twitter.com/DaleYuzuki/status/724199989929451523
Biotechomix,2016-04-24 06:59,0,0,"# AACR16 Immunoonology is living up to its promise ! miRNA as large as monoclonal antibodies ? via @ TheScientistLLC http://www.the-scientist.com/?articles.view%2FarticleNo%2F45909%2Ftitle%2Fspeaking-of-cancer-research#.Vxyk-clK8Y0.twitter …",,@,# #,"724191124890476544",https://twitter.com/Biotechomix/status/724191124890476544
KKauffman131,2016-04-24 04:36,0,2,"# AACRAMC -led Fundraising Cmte thx @ SimJeff426 for organizing # AACR16 panel abt wrk w/ @ AACRFoundationpic.twitter.com/fGFNwapOJJ",,@ @,# #,"724154952705282049",https://twitter.com/KKauffman131/status/724154952705282049
UpbmAsso,2016-04-24 01:52,0,1,"Des # vaccins "personnalisés" pour soigner les # tumeurs # mélanome @ AACR @ AACRFoundation http://www.nature.com/news/researchers-push-for-personalized-tumour-vaccines-1.19801?WT.mc_id=TWT_NatureNews …pic.twitter.com/VmgZ7tm4Ek",,@ @,# # #,"724113769576706049",https://twitter.com/UpbmAsso/status/724113769576706049
Immune_News,2016-04-24 01:45,1,1,"# AACR16: Affimed Presents Data on AFM13-Mediated Innate/Adaptive Immune Crosstalk http://ow.ly/4n070t",,,#,"724111919750193152",https://twitter.com/Immune_News/status/724111919750193152
GenMedX,2016-04-24 00:25,0,0,"Researchers push for personalized tumour vaccines http://bit.ly/1XNZAJx # AACR16 via @ NatureNewspic.twitter.com/9dfq72skuH",,@,#,"724091768866770944",https://twitter.com/GenMedX/status/724091768866770944
iOncConsortium,2016-04-23 22:33,0,0,"Palbociclib Shows Antiproliferative Activity in Early-Stage Breast Cancer http://ow.ly/4mZhqH # BCSM # oncology # AACR16",,,# # #,"724063662130995200",https://twitter.com/iOncConsortium/status/724063662130995200
SarenaSnider,2016-04-23 22:28,0,3,"# Biden Calls for Overhauling # Cancer Research Incentives # AACR16 http://www.genengnews.com/gen-news-highlights/aacr-2016-biden-calls-for-overhauling-cancer-research-incentives/81252636/ …",,,# # #,"724062459535986689",https://twitter.com/SarenaSnider/status/724062459535986689
Ludwig_Cancer,2016-04-23 22:21,2,6,". @ DrSarcoma quoted in @ washingtonpost recap of @ VP address & # AACR16: “What can we do to speed this up?" https://twitter.com/lauriemcginley2/status/722906517888901120 …",,@ @ @,#,"724060724088168448",https://twitter.com/Ludwig_Cancer/status/724060724088168448
Immune_News,2016-04-23 21:45,0,0,"# AACR16: Study Supports Evidence that Rab Disruption May Be Effective Strategy for Treating MM @ RoswellParkhttp://ow.ly/4n070s",,@,#,"724051535974547456",https://twitter.com/Immune_News/status/724051535974547456
lgarcia2,2016-04-23 21:26,0,0,"The Exciting Promise of Synthetic Biology and CAR T Cell Technologies in curing cancer https://shar.es/1jM8Fk via @ sharethis # AACR16",,@,#,"724046907035758592",https://twitter.com/lgarcia2/status/724046907035758592
ThePittNews,2016-04-23 20:00,3,2,"Pitt's vice chancellor of cancer research is named president of the @ AACR. http://ow.ly/4mWeoZ pic.twitter.com/G70FEO6ZfH",,@,,"724025197964173312",https://twitter.com/ThePittNews/status/724025197964173312
RoswellPark,2016-04-23 19:10,0,2,"ICYMI: Our researchers spent the wk sharing their promising findings w/colleagues at # AACR16 https://goo.gl/ALulby pic.twitter.com/MdQ6ypVoJc",,,#,"724012530004275201",https://twitter.com/RoswellPark/status/724012530004275201
TweetedScience,2016-04-23 18:30,0,0,"GENbio: # AACR16: Novel epigenetic drug therapeutics revealed: http://ow.ly/4mUIOW pic.twitter.com/MOaG1ir2Os Li… https://twitter.com/GENbio/status/724001202229415940 …",,,#,"724002633216872448",https://twitter.com/TweetedScience/status/724002633216872448
DanaFarber,2016-04-23 18:30,4,7,"William G. Kaelin, Jr., MD, receives Princess Takamatsu award from # AACR16 http://bit.ly/1SoSpnb pic.twitter.com/4Qvg1oy8fm",,,#,"724002430036357120",https://twitter.com/DanaFarber/status/724002430036357120
GENbio,2016-04-23 18:25,9,13,"# AACR16: Novel epigenetic drug therapeutics revealed: http://ow.ly/4mUIOW pic.twitter.com/d22xAeqoOP",,,#,"724001202229415940",https://twitter.com/GENbio/status/724001202229415940
moelzek,2016-04-23 18:20,0,0,"From # AACR16 Translational Cancer genomics https://twitter.com/AACR/status/722412347579621376 …",,,#,"724000015744663553",https://twitter.com/moelzek/status/724000015744663553
jhoben,2016-04-23 18:16,0,0,"@ EricTopol @ NatureNews @ heidiledford @ AACR how about personalized Epigenetics and diagnostics?",,@ @ @ @,,"723999117379252224",https://twitter.com/jhoben/status/723999117379252224
TweetedScience,2016-04-23 18:00,0,0,"GENbio: # AACR16: Biden calls for overhauling # cancer research incentives: http://ow.ly/4mUIX3 …https://twitter.com/GENbio/status/723993665111244801 …",,,# #,"723995040561901569",https://twitter.com/TweetedScience/status/723995040561901569
AACRFoundation,2016-04-23 18:00,5,1,". @ VP asks cancer researchers: “How do we move faster on this?” at # AACR16. @ washingtonpost http://the.aacr.org/xkA pic.twitter.com/fdAAUy03MM",,@ @,#,"723994904280494080",https://twitter.com/AACRFoundation/status/723994904280494080
GENbio,2016-04-23 17:55,5,2,"# AACR16: Biden calls for overhauling # cancer research incentives: http://ow.ly/4mUIX3 pic.twitter.com/MWmgrLaZj2",,,# #,"723993665111244801",https://twitter.com/GENbio/status/723993665111244801
PiescheLab,2016-04-23 17:42,1,2,"Targeting # cancer w engineered Tcells- strategies & upcoming # clinicaltrials http://www.eurekalert.org/pub_releases/2016-04/fhcr-atc041516.php … # AACR16 webcast:http://webcast.aacr.org/portal",,,# # #,"723990435698495488",https://twitter.com/PiescheLab/status/723990435698495488
adiazlagares,2016-04-23 17:14,0,1,"With our collaborators in # AACR2016, presenting our work: epigenetics and trastuzumab resistance in breast cancer. pic.twitter.com/d7AmBcAL2D",,,#,"723983520599777280",https://twitter.com/adiazlagares/status/723983520599777280
adiazlagares,2016-04-23 17:06,1,2,"Presenting our work in # AACR2016 about epigenetic biomarkers for the early diagnosis of lung cancer. pic.twitter.com/LryxXrbmru",,,#,"723981308427403264",https://twitter.com/adiazlagares/status/723981308427403264
MedscapeOnc,2016-04-23 16:50,2,3,"# AACR16 news: Investigational agent shows OORs over 80% across several solid tumors. http://wb.md/1U4VJIJ pic.twitter.com/DPXJ0rmBFS",,,#,"723977248944984065",https://twitter.com/MedscapeOnc/status/723977248944984065
martin_schostak,2016-04-23 16:20,2,3,"# AACR16 #Krebs#Vakzinierung mit Hochdruck auf dem Vormarsch http://www.nature.com/news/researchers-push-for-personalized-tumour-vaccines-1.19801?WT.mc_id=TWT_NatureNews … @ amerseburger",,@,# #Krebs #Vakzinierung,"723969925409320960",https://twitter.com/martin_schostak/status/723969925409320960
ASCOPost,2016-04-23 15:45,5,5,"Palbociclib Shows Antiproliferative Activity in Early-Stage Breast Cancer http://ow.ly/4mZhqH # BCSM # oncology # AACR16",,,# # #,"723960967722352642",https://twitter.com/ASCOPost/status/723960967722352642
d2merino,2016-04-23 15:26,0,6,"What a great looking bunch! I am so proud to work with such remarkable people!!! # AACRAMC @ AACR https://twitter.com/kkauffman131/status/723621905928998912 …",,@,#,"723956218641932288",https://twitter.com/d2merino/status/723956218641932288
Immune_News,2016-04-23 15:25,0,1,"# AACR16: Targeting Cancer with Engineered T Cells @ FredHutch http://ow.ly/4n070r",,@,#,"723955908968087552",https://twitter.com/Immune_News/status/723955908968087552
EKrolikiewicz,2016-04-23 14:31,0,0,"Ever wondered how our leaders became so passionate about science? # AACR16 http://bit.ly/1MPpFHF pic.twitter.com/yJlibbTkM9",,,#,"723942320945537024",https://twitter.com/EKrolikiewicz/status/723942320945537024
DrDeepal1,2016-04-23 14:21,0,0,"# AACR16 @ JoeBiden speaks about # cancer!https://twitter.com/clevelandclinic/status/723119366582099970 …",,@,# #,"723939810591657984",https://twitter.com/DrDeepal1/status/723939810591657984
TweetedScience,2016-04-23 13:50,0,0,"NatureNews: Researchers push for personalized tumour vaccines http://bit.ly/1XNZAJx # AACR16 … https://twitter.com/NatureNews/status/723930736001179649 …",,,#,"723931979285188609",https://twitter.com/TweetedScience/status/723931979285188609
NatureNews,2016-04-23 13:45,101,84,"Researchers push for personalized tumour vaccines http://bit.ly/1XNZAJx # AACR16 pic.twitter.com/YaaysaaFtg",,,#,"723930736001179649",https://twitter.com/NatureNews/status/723930736001179649
MedscapeOnc,2016-04-23 13:26,4,1,"# AACR16: Remarkable responses in rare Merkel-Cell # SkinCancer highest yet for # immunotherapy. http://wb.md/1SviS7W",,,# # #,"723925909082935297",https://twitter.com/MedscapeOnc/status/723925909082935297
TweetedScience,2016-04-23 13:00,0,0,"GENbio: Reporting from # AACR16: # CRISPR as a screening tool for drug targets: http://ow.ly/4mQYCr …https://twitter.com/GENbio/status/723918176501805056 …",,,# #,"723919603437580289",https://twitter.com/TweetedScience/status/723919603437580289
GENbio,2016-04-23 12:55,5,7,"Reporting from # AACR16: # CRISPR as a screening tool for drug targets: http://ow.ly/4mQYCr pic.twitter.com/u5BtE0hy9t",,,# #,"723918176501805056",https://twitter.com/GENbio/status/723918176501805056
FaltasLab,2016-04-23 12:38,1,1,"@ VP Biden: “ We slow down our best young minds by making them spend years in the lab before they are eligible for their own grants” # aacr16",,@,#,"723913844939186176",https://twitter.com/FaltasLab/status/723913844939186176
AACR,2016-04-23 12:25,11,13,". @ VP delivered remarks at # AACR16 vowing to support cancer research. More from @ NOLAnews: http://the.aacr.org/osF pic.twitter.com/kWIQk76AbN",,@ @,#,"723910586828902400",https://twitter.com/AACR/status/723910586828902400
StockwellSerena,2016-04-23 12:03,1,3,"Loved being able to catch up with @ jodyms & @ regrounding at their poster at the 2014 @ AACR Annual Mtg # welovejodypic.twitter.com/XyZA6k9Sv9",,@ @ @,#,"723905069717032960",https://twitter.com/StockwellSerena/status/723905069717032960
tjmartell,2016-04-23 11:50,1,1,"RT @ naturenews: Cancer patients granted right to use untested ‘miracle drug’ in Brazil http://bit.ly/20Kw496 # AACR16 @ heidiledford",,@ @,#,"723901868649357313",https://twitter.com/tjmartell/status/723901868649357313
CurrentIncurSci,2016-04-23 11:37,0,0,"Thanks @ PDRennert - fellow CRC patients loved this post, receiving Hope from @ AACR & # AACR16 scientific advances when they need it most!",,@ @,#,"723898667430608897",https://twitter.com/CurrentIncurSci/status/723898667430608897
Immune_News,2016-04-23 11:35,0,0,"# AACR16: Immune Design Presents New Preclinical Data on Advances of Two Separate Intratumoral Approaches http://ow.ly/4n070q",,,#,"723898018899046400",https://twitter.com/Immune_News/status/723898018899046400
