username,date,retweets,favorites,geo,mentions,hashtags,id,;permalink,,,,,
IvanhoeMd,4/24/2016 18:51,0,0,,@,# # #,7.2437E+17,https://twitter.com/IvanhoeMd/status/724370220438134784,,,,,
MedscapeOnc,4/24/2016 16:29,4,5,,@,# #,7.24334E+17,https://twitter.com/MedscapeOnc/status/724334351631032320,,,,,
Dr_Asdrubal,4/24/2016 16:07,0,0,,,#,7.24329E+17,https://twitter.com/Dr_Asdrubal/status/724328846233837568,,,,,
medpagetoday,4/24/2016 16:00,6,0,,,#,7.24327E+17,https://twitter.com/medpagetoday/status/724327065831374848,,,,,
CDMRP,4/24/2016 15:05,0,0,,,#,7.24313E+17,https://twitter.com/CDMRP/status/724313221310468096,,,,,
bsangersbach,4/24/2016 14:59,0,2,,@ @,# #,7.24312E+17,https://twitter.com/bsangersbach/status/724311811994996736,,,,,
MedscapeStudent,4/24/2016 14:11,1,4,,,# #,7.243E+17,https://twitter.com/MedscapeStudent/status/724299623620169728,,,,,
CancerTodayMag,4/24/2016 14:05,0,1,,@ @,#,7.24298E+17,https://twitter.com/CancerTodayMag/status/724298147355193344,,,,,
NCIEpi,4/24/2016 13:21,1,1,,@,,7.24287E+17,https://twitter.com/NCIEpi/status/724287040855138304,,,,,
CMichaelGibson,4/24/2016 11:20,16,18,,,#,7.24257E+17,https://twitter.com/CMichaelGibson/status/724256678661742592,,,,,
Pathology20,4/24/2016 11:16,0,7,,,# #,7.24256E+17,https://twitter.com/Pathology20/status/724255668874649601,,,,,
HemOncToday,4/24/2016 10:15,0,1," RAS mutations"" http://goo.gl/pRiOhg # AACR16 # melanoma""",,@,# #,7.2424E+17,https://twitter.com/HemOncToday/status/724240241746288640,,,,
MediPaper,4/24/2016 9:54,1,3,,,# # # # # # # #,7.24235E+17,https://twitter.com/MediPaper/status/724234984152690689,,,,,
DaleYuzuki,4/24/2016 7:35,1,0,,@,#,7.242E+17,https://twitter.com/DaleYuzuki/status/724199989929451523,,,,,
Biotechomix,4/24/2016 6:59,0,0,,@,# #,7.24191E+17,https://twitter.com/Biotechomix/status/724191124890476544,,,,,
KKauffman131,4/24/2016 4:36,0,2,,@ @,# #,7.24155E+17,https://twitter.com/KKauffman131/status/724154952705282049,,,,,
UpbmAsso,4/24/2016 1:52,0,1,,@ @,# # #,7.24114E+17,https://twitter.com/UpbmAsso/status/724113769576706049,,,,,
Immune_News,4/24/2016 1:45,1,1,,,#,7.24112E+17,https://twitter.com/Immune_News/status/724111919750193152,,,,,
GenMedX,4/24/2016 0:25,0,0,,@,#,7.24092E+17,https://twitter.com/GenMedX/status/724091768866770944,,,,,
iOncConsortium,4/23/2016 22:33,0,0,,,# # #,7.24064E+17,https://twitter.com/iOncConsortium/status/724063662130995200,,,,,
SarenaSnider,4/23/2016 22:28,0,3,,,# # #,7.24062E+17,https://twitter.com/SarenaSnider/status/724062459535986689,,,,,
Ludwig_Cancer,4/23/2016 22:21,2,6,,@ @ @,#,7.24061E+17,https://twitter.com/Ludwig_Cancer/status/724060724088168448,,,,,
Immune_News,4/23/2016 21:45,0,0,,@,#,7.24052E+17,https://twitter.com/Immune_News/status/724051535974547456,,,,,
lgarcia2,4/23/2016 21:26,0,0,,@,#,7.24047E+17,https://twitter.com/lgarcia2/status/724046907035758592,,,,,
