username,date,retweets,favorites,text,geo,mentions,hashtags,id,;permalink,,,,
SuzieSiegel,4/9/2017 19:59,0,1,Small study on blood samples to look for circulating-tumor-cells (CTCs) in # sarcoma patients. http://www.abstractsonline.com/pp8/#!/4292/presentation/1350 … # AACR17,,,# # #,8.51E+17,https://twitter.com/SuzieSiegel/status/851223151002488833,,,,
SuzieSiegel,4/9/2017 19:56,0,0,O2-controllable hydrogels used to study early metastasis of # sarcoma. # AACR17 http://www.abstractsonline.com/pp8/#!/4292/presentation/7340 …,,,# # #,8.51E+17,https://twitter.com/SuzieSiegel/status/851222302134075393,,,,
cancerscnews,4/9/2017 19:45,0,0,"Siamab Presents Preclinical Data for Anti-STn Antibodies, Antibody-Drug Conjugates, & Anti-STn Antibodies # AACR17 http://ow.ly/ahNH30aBpLE",,,#,8.51E+17,https://twitter.com/cancerscnews/status/851219464305741824,,,,
SuzieSiegel,4/9/2017 19:44,1,0,Genomic analysis of # carcinosarcoma: http://www.abstractsonline.com/pp8/#!/4292/presentation/6713 … # AACR17 # sarcoma # scmsm # gyncsm,,,# # # # # #,8.51E+17,https://twitter.com/SuzieSiegel/status/851219259225145345,,,,
SuzieSiegel,4/9/2017 19:38,1,0,More evidence that INCB059872 may help a subset of # Ewing # sarcoma # patients. http://www.abstractsonline.com/pp8/#!/4292/presentation/3831 … # AACR17 Also: https://clinicaltrials.gov/ct2/show/NCT02712905 …,,,# # # # #,8.51E+17,https://twitter.com/SuzieSiegel/status/851217723170410498,,,,
cancerassassin1,4/9/2017 19:35,5,3,. @ AACR Annual Meeting 2017: The Patient Perspective - nice article by @ MarciLandsmann in @ CancerTodayMag # AACRSSP17 http://www.cancertodaymag.org/EventCoverage/Pages/AACR-Annual-Meeting-2017-Science-Survivor-Program.aspx …?,,@ @ @,#,8.51E+17,https://twitter.com/cancerassassin1/status/851216926080512001,,,,
SuzieSiegel,4/9/2017 19:14,0,0,Fascinating talk on this at # AACR17. https://twitter.com/SarcomaAlliance/status/850468237376618497 …,,,#,8.51E+17,https://twitter.com/SuzieSiegel/status/851211805498191872,,,,
fredhutch,4/9/2017 19:03,2,4,5 highlights from American Association for # Cancer Research conference # AACR17 # CancerResearch @ AACR http://www.fredhutch.org/en/news/center-news/2017/04/american-association-cancer-research-highlights.html …,,@,# # #,8.51E+17,https://twitter.com/fredhutch/status/851208855761694720,,,,
MCATme,4/9/2017 17:51,0,0,The latest Pre-med Rounds! http://paper.li/MCATme/1369691519?edition_id=bac7e500-1d6e-11e7-802f-0cc47a0d1605 … # aacr17 # research,,,# #,8.51E+17,https://twitter.com/MCATme/status/851190939544694784,,,,
chemobrainfog,4/9/2017 16:06,0,2,Thrilled to be here. Note to @ AACR # SSP - this would not be happening without collaboration and introductions encouraged.pic.twitter.com/PxE9gKoaAe,,@,#,8.51E+17,https://twitter.com/chemobrainfog/status/851164422965874688,,,,
ranjitbindra,4/9/2017 14:55,0,1,"very very cool stuff, I saw the # AACR17 press conference on it and was very impressed",,,#,8.51E+17,https://twitter.com/ranjitbindra/status/851146671530668037,,,,
CancerResearch,4/9/2017 14:30,0,1,Catch up on our # AACR17 coverage including what the future of # immunology could look like: http://bit.ly/2o2mBzQ,,,# #,8.51E+17,https://twitter.com/CancerResearch/status/851140156140793856,,,,
MatthewSchabath,4/9/2017 13:43,0,0,Regular aspirin use is associated with lower cancer mortality. # AACR2017 https://www.mdlinx.com/oncology/medical-news-article/2017/04/06/aspirin-cancer-mortality/7124542/?utm_source=in-house&utm_medium=message&utm_campaign=mh-onc-april17 …,,,#,8.51E+17,https://twitter.com/MatthewSchabath/status/851128566204989441,,,,
humanimmunenews,4/9/2017 13:30,0,0,Check out the updates from # AACR2017: http://ow.ly/uFLH30azu2c,,,#,8.51E+17,https://twitter.com/humanimmunenews/status/851125170584637444,,,,
Scott_PR,4/9/2017 12:41,0,0,The latest Healthcare News Roundup! http://paper.li/Scott_PR/1450730489?edition_id=60745320-1d43-11e7-87e4-0cc47a0d1609 … # cancer # aacr17,,,# #,8.51E+17,https://twitter.com/Scott_PR/status/851112840568164352,,,,
fredhutch,4/9/2017 12:22,2,4,"Former VP Biden offers # CancerMoonshot updates, underscores need for research funding # AACR17 http://www.fredhutch.org/en/news/center-news/2017/04/biden-moonshot-aacr-research-funding.html …",,,# #,8.51E+17,https://twitter.com/fredhutch/status/851107940920700928,,,,
CancerResearch,4/9/2017 12:13,0,0,Study announced at # AACR17: Immunotherapy could boost response with pembrolizumab in patients with advanced melanoma http://bit.ly/2oFIYvS,,,#,8.51E+17,https://twitter.com/CancerResearch/status/851105848235577345,,,,
MedscapeNeuro,4/9/2017 12:06,3,0,‘Wacky’ device improves chances of survival from glioblastoma: http://wb.md/2oEVs6T # AACR17,,,#,8.51E+17,https://twitter.com/MedscapeNeuro/status/851104136477233153,,,,
chasz43,4/9/2017 11:26,0,2,Hanging out w/ Uncle Joe in Boston. @ JoeBiden thanks for the pep talk at @ aacr this year in DC. pic.twitter.com/pnuKW6yEYB,,@ @,,8.51E+17,https://twitter.com/chasz43/status/851093848944259076,,,,
semodough,4/9/2017 10:15,14,20,"Understanding Cancer Immune Profiles, and Implications for IO Therapy, Was a Key Theme at # AACR2017 $ IBB $ MRK $ BMYpic.twitter.com/g8DR501s0W",,,#,8.51E+17,https://twitter.com/semodough/status/851075983469932544,,,,
NovartisScience,4/9/2017 10:00,1,1,"Meet Diana, a researcher with a personal connection to # livercancer working toward a potential therapy http://bit.ly/2nTIP3N # AACR17 pic.twitter.com/Z9KK5nAZoV",,,# #,8.51E+17,https://twitter.com/NovartisScience/status/851072387781185536,,,,
MammaryCell,4/9/2017 7:50,2,1,@ Oncolytics REOLYSIN Doubles Overall Survival in Patients w/ Mutated p53 Metastatic # BreastCancer # AACR17 http://ow.ly/KKvw30aDRKq,,@,# #,8.51E+17,https://twitter.com/MammaryCell/status/851039524859904000,,,,
Immunopole,4/9/2017 7:15,0,1,# aacr2017 Triple-negative # breastcancer Patients Who Responded to # Immunotherapy Had Long-term Survival Benefithttps://goo.gl/ggXIyD,,,# # #,8.51E+17,https://twitter.com/Immunopole/status/851030913181941762,,,,
