username,date,retweets,favorites,geo,mentions,hashtags,id,;permalink,,,,
SuzieSiegel,4/9/2017 19:59,0,1,,,# # #,8.51E+17,https://twitter.com/SuzieSiegel/status/851223151002488833,,,,
SuzieSiegel,4/9/2017 19:56,0,0,,,# # #,8.51E+17,https://twitter.com/SuzieSiegel/status/851222302134075393,,,,
cancerscnews,4/9/2017 19:45,0,0,,,#,8.51E+17,https://twitter.com/cancerscnews/status/851219464305741824,,,,
SuzieSiegel,4/9/2017 19:44,1,0,,,# # # # # #,8.51E+17,https://twitter.com/SuzieSiegel/status/851219259225145345,,,,
SuzieSiegel,4/9/2017 19:38,1,0,,,# # # # #,8.51E+17,https://twitter.com/SuzieSiegel/status/851217723170410498,,,,
cancerassassin1,4/9/2017 19:35,5,3,,@ @ @,#,8.51E+17,https://twitter.com/cancerassassin1/status/851216926080512001,,,,
SuzieSiegel,4/9/2017 19:14,0,0,,,#,8.51E+17,https://twitter.com/SuzieSiegel/status/851211805498191872,,,,
fredhutch,4/9/2017 19:03,2,4,,@,# # #,8.51E+17,https://twitter.com/fredhutch/status/851208855761694720,,,,
MCATme,4/9/2017 17:51,0,0,,,# #,8.51E+17,https://twitter.com/MCATme/status/851190939544694784,,,,
chemobrainfog,4/9/2017 16:06,0,2,,@,#,8.51E+17,https://twitter.com/chemobrainfog/status/851164422965874688,,,,
ranjitbindra,4/9/2017 14:55,0,1,,,#,8.51E+17,https://twitter.com/ranjitbindra/status/851146671530668037,,,,
CancerResearch,4/9/2017 14:30,0,1,,,# #,8.51E+17,https://twitter.com/CancerResearch/status/851140156140793856,,,,
MatthewSchabath,4/9/2017 13:43,0,0,,,#,8.51E+17,https://twitter.com/MatthewSchabath/status/851128566204989441,,,,
humanimmunenews,4/9/2017 13:30,0,0,,,#,8.51E+17,https://twitter.com/humanimmunenews/status/851125170584637444,,,,
Scott_PR,4/9/2017 12:41,0,0,,,# #,8.51E+17,https://twitter.com/Scott_PR/status/851112840568164352,,,,
fredhutch,4/9/2017 12:22,2,4,,,# #,8.51E+17,https://twitter.com/fredhutch/status/851107940920700928,,,,
CancerResearch,4/9/2017 12:13,0,0,,,#,8.51E+17,https://twitter.com/CancerResearch/status/851105848235577345,,,,
MedscapeNeuro,4/9/2017 12:06,3,0,,,#,8.51E+17,https://twitter.com/MedscapeNeuro/status/851104136477233153,,,,
chasz43,4/9/2017 11:26,0,2,,@ @,,8.51E+17,https://twitter.com/chasz43/status/851093848944259076,,,,
semodough,4/9/2017 10:15,14,20,,,#,8.51E+17,https://twitter.com/semodough/status/851075983469932544,,,,
NovartisScience,4/9/2017 10:00,1,1,,,# #,8.51E+17,https://twitter.com/NovartisScience/status/851072387781185536,,,,
MammaryCell,4/9/2017 7:50,2,1,,@,# #,8.51E+17,https://twitter.com/MammaryCell/status/851039524859904000,,,,
Immunopole,4/9/2017 7:15,0,1,,,# # #,8.51E+17,https://twitter.com/Immunopole/status/851030913181941762,,,,
fsgfon,4/9/2017 7:01,0,0,,@,# # #,8.51E+17,https://twitter.com/fsgfon/status/851027159275589632,,,,
hepaticcellnews,4/9/2017 1:40,0,0,,,#,8.51E+17,https://twitter.com/hepaticcellnews/status/850946408769310720,,,,
mb_Oncology,4/8/2017 23:55,0,0,,,# # #,8.51E+17,https://twitter.com/mb_Oncology/status/850920107966480385,,,,
beth_kerrb1,4/8/2017 22:41,1,0,,,#,8.51E+17,https://twitter.com/beth_kerrb1/status/850901419267735557,,,,
beth_kerrb1,4/8/2017 22:40,0,0,,,# #,8.51E+17,https://twitter.com/beth_kerrb1/status/850901321762783233,,,,
Nikhilwagle,4/8/2017 19:19,2,9,,,# # #,8.51E+17,https://twitter.com/Nikhilwagle/status/850850629601853445,,,,
fredhutch,4/8/2017 18:25,0,1,,@ @,# #,8.51E+17,https://twitter.com/fredhutch/status/850836903922475008,,,,
DrMisialek,4/8/2017 16:31,5,5,,@ @ @ @ @ @,,8.51E+17,https://twitter.com/DrMisialek/status/850808445473259521,,,,
MedscapeOnc,4/8/2017 16:11,6,8,,@,# #,8.51E+17,https://twitter.com/MedscapeOnc/status/850803197350469633,,,,
deLeeuwRenee,4/8/2017 16:09,0,3,,@,# #,8.51E+17,https://twitter.com/deLeeuwRenee/status/850802707640307717,,,,
Nikhilwagle,4/8/2017 19:19,2,9,,,# # #,8.51E+17,https://twitter.com/Nikhilwagle/status/850850629601853445,,,,
fredhutch,4/8/2017 18:25,0,1,,@ @,# #,8.51E+17,https://twitter.com/fredhutch/status/850836903922475008,,,,
