username,date,retweets,favorites,text,geo,mentions,hashtags,id,;permalink,,,,,,
kevincmillerMD,4/22/2018 18:56,0,0,Had an excellent time at @ AACR and @ ACPinternists annual meetings!,,@ @,,9.8819E+17,https://twitter.com/kevincmillerMD/status/988189905250652160,,,,,,
chiyan274,4/22/2018 18:41,7,72,ふなっしーを連れてたら色んな人に話しかけてもらったり 死にそうになりながら登ってたら、ふなっしー頑張れ！ って言ってもらって嬉しかったなー( *´艸｀) 来年もエントリー頑張る # AACR2018 # ふなっしー # ロードバイク # ロードバイク女子pic.twitter.com/jGSHDuM6n4,,,# # # #,9.88186E+17,https://twitter.com/chiyan274/status/988186132172095488,,,,,,
chiyan274,4/22/2018 18:33,0,4,フォルトゥーナジャージを着てAACR参戦してきました( *´艸｀) # AACR # AACR2018 # ふなっしー # ふなっしーといっしょpic.twitter.com/106TsXtD8i,,,# # # #,9.88184E+17,https://twitter.com/chiyan274/status/988184123666657281,,,,,,
HaneenDawoud,4/22/2018 18:21,1,1,مبارك لكم دكتور هاشم .. وفقك الله ونفع بك وبعلمك ..,,,,9.88181E+17,https://twitter.com/HaneenDawoud/status/988180969269145601,,,,,,
MammaryCell,4/22/2018 17:40,0,0,From @ AACR this week: Updated Overall Survival Data for LYNPARZA (Olaparib) in gBRCA-Mutated HER2-Negative Metastatic # BreastCancer Presented @ Merck @ AstraZeneca http://ow.ly/ERVd30jAaGj pic.twitter.com/pxQfu3hErQ,,@ @ @,#,9.88171E+17,https://twitter.com/MammaryCell/status/988170609313157120,,,,,,
HartungIngo,4/22/2018 17:25,1,7,Want to sound like a tumor immunology expert? Start by talking about the important role of myeloid-derived suppressor cells (MDSC) in tumor-mediated immunosuppression. Didn't make it to Dmitry Gabrilovich's meet the expert session at # AACR18? Don't worry: https://www.nature.com/articles/s41590-017-0022-x …pic.twitter.com/2fAhbxvcgD,,,#,9.88167E+17,https://twitter.com/HartungIngo/status/988166879708696577,,,,,,
HemOncToday,4/22/2018 16:16,0,1,"Check out our Highlights from @ AACR resource center for results from the biggest studies presented at the meeting, as well as comments from key opinion leaders across the field of # CancerResearch. Click here: https://goo.gl/rhCdUR pic.twitter.com/MtZEmvLcp0",,@,#,9.88149E+17,https://twitter.com/HemOncToday/status/988149441524895745,,,,,,
yokoyamaisao203,4/22/2018 16:13,0,0,患者向けサイトのがんナビでもAACRのニュースの掲載をしています。 # がんナビ # 肺がん # ペムブロリズマブ # 抗PD-1抗体 # AACR18 # KEYNOTE-189試験 https://www.facebook.com/iyokoyama/posts/2004213796317963 …,,,# # # # # #,9.88149E+17,https://twitter.com/yokoyamaisao203/status/988148702563962880,,,,,,
yokoyamaisao203,4/22/2018 16:10,0,0,患者向けサイトのがんナビでもAACRのニュースの掲載をしています。 # がんナビ # オラパリブ # PARP阻害薬 # BRCA遺伝子変異 # AACR18 https://www.facebook.com/iyokoyama/posts/2004211546318188 …,,,# # # # #,9.88148E+17,https://twitter.com/yokoyamaisao203/status/988148060718026752,,,,,,
yokoyamaisao203,4/22/2018 16:09,0,0,患者向けサイトのがんナビでもAACRのニュースの掲載をしています。 # がんナビ # IMFT # ALK阻害薬 # AACR18 # クリゾチニブ https://www.facebook.com/iyokoyama/posts/2004210329651643 …,,,# # # # #,9.88148E+17,https://twitter.com/yokoyamaisao203/status/988147738712985601,,,,,,
TheScientistLLC,4/22/2018 15:30,1,7,. @ CharlesSwanton of @ TheCrick explained how kidney cancer tumors evolve at # AACR18. http://bit.ly/2qNfCKE pic.twitter.com/TyComWFjlY,,@ @,#,9.88138E+17,https://twitter.com/TheScientistLLC/status/988137868588716032,,,,,,
