username,date,retweets,favorites,geo,mentions,hashtags,id,;permalink,,,,,,
kevincmillerMD,4/22/2018 18:56,0,0,,@ @,,9.88E+17,https://twitter.com/kevincmillerMD/status/988189905250652160,,,,,,
chiyan274,4/22/2018 18:41,7,72,,,# # # #,9.88E+17,https://twitter.com/chiyan274/status/988186132172095488,,,,,,
chiyan274,4/22/2018 18:33,0,4,,,# # # #,9.88E+17,https://twitter.com/chiyan274/status/988184123666657281,,,,,,
HaneenDawoud,4/22/2018 18:21,1,1,,,,9.88E+17,https://twitter.com/HaneenDawoud/status/988180969269145601,,,,,,
MammaryCell,4/22/2018 17:40,0,0,,@ @ @,#,9.88E+17,https://twitter.com/MammaryCell/status/988170609313157120,,,,,,
HartungIngo,4/22/2018 17:25,1,7,,,#,9.88E+17,https://twitter.com/HartungIngo/status/988166879708696577,,,,,,
HemOncToday,4/22/2018 16:16,0,1,,@,#,9.88E+17,https://twitter.com/HemOncToday/status/988149441524895745,,,,,,
yokoyamaisao203,4/22/2018 16:13,0,0,,,# # # # # #,9.88E+17,https://twitter.com/yokoyamaisao203/status/988148702563962880,,,,,,
yokoyamaisao203,4/22/2018 16:10,0,0,,,# # # # #,9.88E+17,https://twitter.com/yokoyamaisao203/status/988148060718026752,,,,,,
yokoyamaisao203,4/22/2018 16:09,0,0,,,# # # # #,9.88E+17,https://twitter.com/yokoyamaisao203/status/988147738712985601,,,,,,
TheScientistLLC,4/22/2018 15:30,1,7,,@ @,#,9.88E+17,https://twitter.com/TheScientistLLC/status/988137868588716032,,,,,,
MedscapeOnc,4/22/2018 15:00,7,9,,,# #,9.88E+17,https://twitter.com/MedscapeOnc/status/988130493353877504,,,,,,
char1eylu,4/22/2018 14:27,0,0,,,#,9.88E+17,https://twitter.com/char1eylu/status/988122190921920513,,,,,,
jamya_mia,4/22/2018 13:14,0,3,,,# # #,9.88E+17,https://twitter.com/jamya_mia/status/988103693667987456,,,,,,
Nal4t5,4/22/2018 12:01,0,0,,,,9.88E+17,https://twitter.com/Nal4t5/status/988085468712534016,,,,,,
RareDR,4/22/2018 12:00,1,0,,@ @,,9.88E+17,https://twitter.com/RareDR/status/988085188835069953,,,,,,
BioCentury,4/22/2018 12:00,0,0,,@,# #,9.88E+17,https://twitter.com/BioCentury/status/988085071616860161,,,,,,
SelectScience,4/22/2018 11:35,1,1,,@,#,9.88E+17,https://twitter.com/SelectScience/status/988078740243664896,,,,,,
hashemalsaab,4/22/2018 10:45,0,0,,,,9.88E+17,https://twitter.com/hashemalsaab/status/988066181474082816,,,,,,
hashemalsaab,4/22/2018 10:44,0,0,,,,9.88E+17,https://twitter.com/hashemalsaab/status/988065971230396416,,,,,,
sakae243,4/22/2018 10:19,0,6,,,# # # #おねティ #おねツイpic,9.88E+17,https://twitter.com/sakae243/status/988059680516685824,,,,,,
fukumens,4/22/2018 10:16,0,1,,,#,9.88E+17,https://twitter.com/fukumens/status/988058952796549122,,,,,,
sakae243,4/22/2018 10:13,0,3,,,# # #,9.88E+17,https://twitter.com/sakae243/status/988058170189791232,,,,,,
fukumens,4/22/2018 10:10,0,1,,,#,9.88E+17,https://twitter.com/fukumens/status/988057496680976386,,,,,,
atiah1170,4/22/2018 10:08,1,1,,,,9.88E+17,https://twitter.com/atiah1170/status/988056868403732480,,,,,,
sakae243,4/22/2018 10:06,0,8,,,# # #,9.88E+17,https://twitter.com/sakae243/status/988056519160692736,,,,,,
sakae243,4/22/2018 9:57,0,8,,,# # # # #,9.88E+17,https://twitter.com/sakae243/status/988054071775916033,,,,,,
MathanSivapar,4/22/2018 9:47,0,0,,,# #,9.88E+17,https://twitter.com/MathanSivapar/status/988051732549775361,,,,,,
MathanSivapar,4/22/2018 9:32,0,0,,,# #,9.88E+17,https://twitter.com/MathanSivapar/status/988047845067501568,,,,,,
crq_szk_bot,4/22/2018 9:20,0,0,,@,,9.88E+17,https://twitter.com/crq_szk_bot/status/988044951756853249,,,,,,
yuno201_bot,4/22/2018 9:20,0,0,,@,,9.88E+17,https://twitter.com/yuno201_bot/status/988044835071279105,,,,,,
yanndere_yukimi,4/22/2018 9:18,0,0,,@,,9.88E+17,https://twitter.com/yanndere_yukimi/status/988044494095335424,,,,,,
chiyan2742,4/22/2018 9:04,0,8,,,#,9.88E+17,https://twitter.com/chiyan2742/status/988040960612352000,,,,,,
yanndere_yukimi,4/22/2018 8:25,0,0,,@,,9.88E+17,https://twitter.com/yanndere_yukimi/status/988031061874524160,,,,,,
WebMax49,4/22/2018 8:24,0,0,,@ @ @ @ @ @ @,# # # # # #,9.88E+17,https://twitter.com/WebMax49/status/988030773897973760,,,,,,
CancerRX,4/22/2018 8:06,1,0,,@ @ @ @ @ @,# # # # # #,9.88E+17,https://twitter.com/CancerRX/status/988026222096666624,,,,,,
physiciansnews,4/22/2018 7:53,2,1,,,# # # #,9.88E+17,https://twitter.com/physiciansnews/status/988023063093669888,,,,,,
eatswengineers,4/22/2018 7:42,0,4,,@,# # #,9.88E+17,https://twitter.com/eatswengineers/status/988020304357285888,,,,,,
reikucycle,4/22/2018 7:28,0,6,,,# #,9.88E+17,https://twitter.com/reikucycle/status/988016693774467072,,,,,,
Fetalgroup,4/22/2018 6:54,1,0,,@,# #,9.88E+17,https://twitter.com/Fetalgroup/status/988008041793679360,,,,,,
scion33901034,4/22/2018 6:36,0,1,,,#,9.88E+17,https://twitter.com/scion33901034/status/988003590538067968,,,,,,
jamya_mia,4/22/2018 6:35,13,17,,,# # # # #,9.88E+17,https://twitter.com/jamya_mia/status/988003373633830912,,,,,,
itmofnw,4/22/2018 6:03,7,29,,,# # # # # #,9.88E+17,https://twitter.com/itmofnw/status/987995414598115328,,,,,,
ahmad72321,4/22/2018 5:19,0,2,,,,9.88E+17,https://twitter.com/ahmad72321/status/987984291123646466,,,,,,
sabutora318,4/22/2018 5:15,0,4,,,# #,9.88E+17,https://twitter.com/sabutora318/status/987983328287453186,,,,,,
banetsu180,4/22/2018 4:19,0,64,,,# #,9.88E+17,https://twitter.com/banetsu180/status/987969091959848961,,,,,,
yanndere_yukimi,4/22/2018 4:15,0,0,,@,,9.88E+17,https://twitter.com/yanndere_yukimi/status/987968134857482240,,,,,,
ton6969be,4/22/2018 3:38,0,2,,,# #,9.88E+17,https://twitter.com/ton6969be/status/987958780032761856,,,,,,
chiyan2742,4/22/2018 3:33,0,11,,,#,9.88E+17,https://twitter.com/chiyan2742/status/987957487914565632,,,,,,
itmofnw,4/22/2018 3:04,0,1,,,# # # # #,9.88E+17,https://twitter.com/itmofnw/status/987950225246441472,,,,,,
NakajimaKazNary,4/22/2018 2:46,0,4,,,# #,9.88E+17,https://twitter.com/NakajimaKazNary/status/987945686694940674,,,,,,
itmofnw,4/22/2018 2:40,0,1,,,# # # #,9.88E+17,https://twitter.com/itmofnw/status/987944145061740545,,,,,,
HashimAljohani,4/22/2018 2:26,9,20,,@ @ @ @,# #,9.88E+17,https://twitter.com/HashimAljohani/status/987940701601083393,,,,,,
sadobomarzo,4/22/2018 2:25,0,12,,,#,9.88E+17,https://twitter.com/sadobomarzo/status/987940392770273280,,,,,,
MathanSivapar,4/22/2018 2:21,0,1,,,# # #,9.88E+17,https://twitter.com/MathanSivapar/status/987939448552816640,,,,,,
banetsu180,4/22/2018 2:05,0,19,,,# #,9.88E+17,https://twitter.com/banetsu180/status/987935305142493184,,,,,,
TargetedOnc,4/22/2018 2:00,2,0,,@,#,9.88E+17,https://twitter.com/TargetedOnc/status/987934075200655360,,,,,,
schneiderleonid,4/22/2018 1:58,0,3,,@ @ @,,9.88E+17,https://twitter.com/schneiderleonid/status/987933698715725824,,,,,,
itmofnw,4/22/2018 1:54,0,2,,,# # #,9.88E+17,https://twitter.com/itmofnw/status/987932553955885056,,,,,,
minagi_skak,4/22/2018 1:37,0,0,,,# #,9.88E+17,https://twitter.com/minagi_skak/status/987928417885601792,,,,,,
itmofnw,4/22/2018 1:03,0,4,,,# #,9.88E+17,https://twitter.com/itmofnw/status/987919865339002880,,,,,,
TargetedOnc,4/22/2018 1:00,1,1,,@,# #,9.88E+17,https://twitter.com/TargetedOnc/status/987918962171277313,,,,,,
EIPGeu,4/22/2018 0:58,1,1,,,# # # #,9.88E+17,https://twitter.com/EIPGeu/status/987918604321554432,,,,,,
itmofnw,4/22/2018 0:40,0,0,,,# #,9.88E+17,https://twitter.com/itmofnw/status/987913971385577474,,,,,,
minagi_skak,4/22/2018 0:18,0,0,,,# #,9.88E+17,https://twitter.com/minagi_skak/status/987908593855873026,,,,,,
gottisttot1107,4/22/2018 0:18,0,1,,,# #,9.88E+17,https://twitter.com/gottisttot1107/status/987908473613467648,,,,,,
taizou528,4/22/2018 0:17,0,3,,,#,9.88E+17,https://twitter.com/taizou528/status/987908235318280192,,,,,,
itmofnw,4/22/2018 0:00,0,1,,,# # #,9.88E+17,https://twitter.com/itmofnw/status/987903934197940225,,,,,,
