username,date,retweets,favorites,text,geo,mentions,hashtags,id,;permalink
OncLive,2020-06-28 18:00,0,1,"WATCH: @ jtmoyers, of @ LLUHealth, discusses real-world data and sociodemographic factors from an early analysis of the National Cancer Database associated with the treatment of adjuvant immunotherapy in stage III melanoma. @ AACR # AACR20 # melsmhttp://ow.ly/mjJy50AjHCK",,@ @ @,# #,"1277361260699496448",https://twitter.com/OncLive/status/1277361260699496448
FazilaSeker,2020-06-28 17:40,0,0,"New @ AACR session discussed racial disparities in # cancer treatment and why just being aware is not enough: https://cancerletter.com/articles/20200626_2/ …. # breastcancer # equality",,@,# # #,"1277356289228771330",https://twitter.com/FazilaSeker/status/1277356289228771330
ramajayam_kumar,2020-06-28 17:00,0,0,"@ AACR Hello, AACR, I am an associate member, just contacting with a request to extend the deadline for the aacr bayer start grant by a week, due to COVID, half of the administration is working from home and administrative signs and approvals taking more time. Emailed separately!",,@,,"1277346038374961154",https://twitter.com/ramajayam_kumar/status/1277346038374961154
elfarukpath11,2020-06-28 16:14,0,1,"Congratulations to all the NextGen Star Awardees!",,,,"1277334667142758400",https://twitter.com/elfarukpath11/status/1277334667142758400
AACR,2020-06-28 16:05,4,4,"A diverse set of studies was presented by the NextGen Stars during two sessions at # AACR20. Read on to learn more. https://bit.ly/2Aaqhrt",,,#,"1277332219581825024",https://twitter.com/AACR/status/1277332219581825024
afabbott19,2020-06-28 15:37,0,0,"Well deserved. Congratulations!",,,,"1277325180679999490",https://twitter.com/afabbott19/status/1277325180679999490
therealpanna,2020-06-28 15:24,0,2,"@ AACR - @ LanternPharma ($LTRN) had the opportunity to present machine-learning derived signatures using various methodologies - both transcriptome & systems biology driven approaches. The results are actively guiding our LP-184 studies and clinical trial initiatives!pic.twitter.com/O0ZxquVUtU",,@ @,,"1277322047396470784",https://twitter.com/therealpanna/status/1277322047396470784
JesusMBanales,2020-06-28 14:43,0,0,"Very well deserved!!! Congratulation Lewis",,,,"1277311723729494016",https://twitter.com/JesusMBanales/status/1277311723729494016
schedule1movie,2020-06-28 14:28,0,0,"Want to be bold? Study the Endocannabinoid system as a novel target for cancer. I shrank my terminal ovarian cancer on Cannabis, just like the preclinical da ya suggested. Study that!pic.twitter.com/SXRZnvBOoc",,,,"1277307797839872000",https://twitter.com/schedule1movie/status/1277307797839872000
pacylex,2020-06-28 13:50,0,0,"Pacylex CEO Michael Weickert is scheduling online meetings with investors and pharmaceutical companies and plans to update them on the progress towards the initiation of our first clinical trial with PCLX-001 https://buff.ly/2ZGvgdS # AACR2020 # AACR20 # cancer # AMLpic.twitter.com/ZkdROuJhKL",,,# # # #,"1277298222730534917",https://twitter.com/pacylex/status/1277298222730534917
NoureddinMD,2020-06-28 13:32,0,0,"Congratulations",,,,"1277293827301101570",https://twitter.com/NoureddinMD/status/1277293827301101570
mmanjili1,2020-06-28 13:13,0,2,"Molecular mechanism of natural tumor dormancy @ NCIResearchCtr @ AACR @ ImmunologyAAIhttps://twitter.com/nature/status/1277276322767745024 …",,@ @ @,,"1277289092066291716",https://twitter.com/mmanjili1/status/1277289092066291716
ArthurBrodsky,2020-06-28 12:44,6,30,"ICYMI: I recently got to speak with an absolute legend in the immunotherapy field - Dr. Steven A. Rosenberg of the @ NCIResearchCtr – after he received the 2020 @ AACR - @ CancerResearch Lloyd J. Old Award in Cancer Immunology!https://www.cancerresearch.org/blog/june-2020/steven-rosenberg-2020-lloyd-j-old-award-cancer …",,@ @ @,,"1277281624003170304",https://twitter.com/ArthurBrodsky/status/1277281624003170304
HingleySusanne,2020-06-28 12:26,0,0,"Is he also encouraging research into legal toxins in our food and household goods?",,,,"1277277230679371776",https://twitter.com/HingleySusanne/status/1277277230679371776
