username,date,retweets,favorites,geo,mentions,hashtags,id,;permalink,,,,
OncLive,6/28/2020 18:00,0,1,,@ @ @,# #,1.27736E+18,https://twitter.com/OncLive/status/1277361260699496448,,,,
FazilaSeker,6/28/2020 17:40,0,0,,@,# # #,1.27736E+18,https://twitter.com/FazilaSeker/status/1277356289228771330,,,,
ramajayam_kumar,6/28/2020 17:00,0,0,,@,,1.27735E+18,https://twitter.com/ramajayam_kumar/status/1277346038374961154,,,,
elfarukpath11,6/28/2020 16:14,0,1,,,,1.27733E+18,https://twitter.com/elfarukpath11/status/1277334667142758400,,,,
AACR,6/28/2020 16:05,4,4,,,#,1.27733E+18,https://twitter.com/AACR/status/1277332219581825024,,,,
afabbott19,6/28/2020 15:37,0,0,,,,1.27733E+18,https://twitter.com/afabbott19/status/1277325180679999490,,,,
therealpanna,6/28/2020 15:24,0,2,,@ @,,1.27732E+18,https://twitter.com/therealpanna/status/1277322047396470784,,,,
JesusMBanales,6/28/2020 14:43,0,0,,,,1.27731E+18,https://twitter.com/JesusMBanales/status/1277311723729494016,,,,
schedule1movie,6/28/2020 14:28,0,0,,,,1.27731E+18,https://twitter.com/schedule1movie/status/1277307797839872000,,,,
pacylex,6/28/2020 13:50,0,0,,,# # # #,1.2773E+18,https://twitter.com/pacylex/status/1277298222730534917,,,,
NoureddinMD,6/28/2020 13:32,0,0,,,,1.27729E+18,https://twitter.com/NoureddinMD/status/1277293827301101570,,,,
mmanjili1,6/28/2020 13:13,0,2,,@ @ @,,1.27729E+18,https://twitter.com/mmanjili1/status/1277289092066291716,,,,
ArthurBrodsky,6/28/2020 12:44,6,30,,@ @ @,,1.27728E+18,https://twitter.com/ArthurBrodsky/status/1277281624003170304,,,,
HingleySusanne,6/28/2020 12:26,0,0,,,,1.27728E+18,https://twitter.com/HingleySusanne/status/1277277230679371776,,,,
OncoZine,6/28/2020 11:42,0,0,,@ @ @ @ @ @ @ @ @ @,#,1.27727E+18,https://twitter.com/OncoZine/status/1277266003102240768,,,,
HingleySusanne,6/28/2020 11:24,0,0,,,,1.27726E+18,https://twitter.com/HingleySusanne/status/1277261488051441665,,,,
