username,date,retweets,favorites,text,geo,mentions,hashtags,id,;permalink,,,,,
SaraNataliaSosa,6/11/2011 19:59,0,0,no me explico como pudieron hacer braking dawn en dos partes # asco,,,#,7.96993E+16,https://twitter.com/SaraNataliaSosa/status/79699310387789825,,,,,
ArturoLunaL,6/11/2011 19:50,0,0,@ AzucenaOlivares que bueno que ya te vas de # naucalpan tu alternancia fue un # asco adios al trafico? si como no!,,@,# #,7.96971E+16,https://twitter.com/ArturoLunaL/status/79697116028604417,,,,,
luciagonzalez26,6/11/2011 19:42,0,0,Me voy a dormir # asco de dia!,,,#,7.96951E+16,https://twitter.com/luciagonzalez26/status/79695080616767488,,,,,
andr3asanz,6/11/2011 19:40,0,0,Y q diga groserias no?!RT @ CARLOSNEPE: Hay dos cosas que odio de una mujer: una que silve como un macho y otra que escupan # asco,,@,#,7.96946E+16,https://twitter.com/andr3asanz/status/79694577094754305,,,,,
DaarioRafael,6/11/2011 19:40,0,0,"@ chiniei Aaaaaaaaaaah yo quiero ir a GOA me dijeron que esta re bueno , no se acá por el # asco de San Martin",,@,#,7.96945E+16,https://twitter.com/DaarioRafael/status/79694472572710913,,,,,
paul_lando,6/11/2011 19:38,0,0,Todo bien con Starbucks pero el baño está más asqueroso que un copetin de mala muerte... # asco,,,#,7.96941E+16,https://twitter.com/paul_lando/status/79694120381186049,,,,,
_PaulaSanchezR,6/11/2011 19:37,0,0,Que me saliera una semilla dentro de mi yogurt no es a lo que yo me refieron CON TROCITOS DE FRUTAAA..!! # Asco,,,#,7.96937E+16,https://twitter.com/_PaulaSanchezR/status/79693721058287616,,,,,
AndreaHdzL,6/11/2011 19:33,0,0,Que # asco,,,#,7.96928E+16,https://twitter.com/AndreaHdzL/status/79692768489910273,,,,,
radioladiooo,6/11/2011 19:33,0,0,"Ya en Six Flags! Para ver a FF! Hasta las 11 pm jajajaja, malas noticias Timothy Brownie, abre gig # asco",,,#,7.96927E+16,https://twitter.com/radioladiooo/status/79692665632980992,,,,,
KarenGuambo,6/11/2011 19:31,0,0,@ XimenaSolorzano es una lady el dia de hoy. # Asco,,@,#,7.96924E+16,https://twitter.com/KarenGuambo/status/79692356097548289,,,,,
Mermaidam,6/11/2011 19:31,0,0,Las dos son patéticas... RT @ CARLOSNEPE Hay dos cosas que odio de una mujer: una que silve como un macho y otra que escupan # asco,,@,#,7.96921E+16,https://twitter.com/Mermaidam/status/79692148370456576,,,,,
smoothlanding,6/11/2011 19:30,2,0," @ Alicia_Fabiola: "" @ aguantee: Alistan protestas contra Calderón en visita a California USA//ni su madre lo kiere a ese wey! # asco""",,@ @,#,7.96921E+16,https://twitter.com/smoothlanding/status/79692127377952769,,,,,
Loore2,6/11/2011 19:26,0,0,"Qué ganas de sábado tenía... :D // Comprobado, siempre matando tontas y siempre queda alguna... # asco",,,#,7.9691E+16,https://twitter.com/Loore2/status/79691000091656192,,,,,
loquepajque,6/11/2011 19:25,0,0,El conductor del búho se permite el lujo de decir de su compañero de antes que es un puto panchito que cree que el bus es una patera # asco,,,#,7.96907E+16,https://twitter.com/loquepajque/status/79690678485004288,,,,,
VictoriaCorso,6/11/2011 19:24,0,0,@ AleSamberino iiiuuuuugh y que tal si la anciana tiene hongos?? # asco,,@,#,7.96905E+16,https://twitter.com/VictoriaCorso/status/79690482778779648,,,,,
ColtureMusic,6/11/2011 19:22,0,0,Saben q es estar en el cine sentado al lado de un gordo que apesta a palomitas... # asco,,,#,7.96901E+16,https://twitter.com/ColtureMusic/status/79690081400668161,,,,,
CARLOSNEPE,6/11/2011 19:18,0,0,Hay dos cosas que odio de una mujer: una que silve como un macho y otra que escupan # asco,,,#,7.9689E+16,https://twitter.com/CARLOSNEPE/status/79689042278617088,,,,,
hscervera,6/11/2011 19:18,0,0,Ushhhh que # ASCO,,,#,7.96889E+16,https://twitter.com/hscervera/status/79688925018456064,,,,,
migueltorrest,6/11/2011 19:13,0,0,Odio que las personas se quiten los zapatos mientras esten comiendo! :S # Asco,,,#,7.96876E+16,https://twitter.com/migueltorrest/status/79687608640352256,,,,,
covid19jag,6/11/2011 19:12,0,0,@nickyroberts27 q # ASCO de palabra... No puedo con ella!,,@nickyroberts27,#,7.96874E+16,https://twitter.com/covid19jag/status/79687423461830657,,,,,
lilyurdaneta,6/11/2011 19:11,0,0,Vergacion de pies tan re feos # asco http://lockerz.com/s/109855119,,,#,7.96872E+16,https://twitter.com/lilyurdaneta/status/79687152060989440,,,,,
