username,date,retweets,favorites,text,geo,mentions,hashtags,id,;permalink
OncLive,2013-06-08 19:25,0,0,"OncLive TV: Dr. Clifford Hudis Highlights Two Abstracts From # ASCO13 http://ow.ly/lPfFS",,,#,"343509119317184513",https://twitter.com/OncLive/status/343509119317184513
OncLive,2013-06-08 18:05,4,1,"Cetuximab Survival Results Top Bevacizumab in Metastatic Colorectal Cancer http://ow.ly/lPfFR # ASCO13",,,#,"343489039674011649",https://twitter.com/OncLive/status/343489039674011649
fischmd,2013-06-08 16:49,0,0,"Crazy idea?.. # VitalTalkWalk: to support # AdvanceDirectives, communication..w/ support from @ AAHPM @ VitalTalk @ ASCO @ NCICRCHD # hpm",,@ @ @ @,# # #,"343469802511273984",https://twitter.com/fischmd/status/343469802511273984
MelanomaMom,2013-06-08 16:43,0,0,"RT @ OncLive OncLive TV: Dr. Mario Sznol Describes Nivolumab in Advanced # Melanoma http://ow.ly/lPfFQ # ASCO13",,@,# #,"343468385398571008",https://twitter.com/MelanomaMom/status/343468385398571008
LAStory,2013-06-08 16:34,0,0,"More Bridges, More Options in Cancer Treatment - # ASCO13 Wrap Up http://www.stumbleupon.com/to/s/1q2Y1O @ Texascopywriter RT # follow",,@,# #,"343466011024031745",https://twitter.com/LAStory/status/343466011024031745
LAStory,2013-06-08 16:33,0,0,"@incrowdnow's # ASCO13 Wrap Up - detailing some interesting presentations & a brewing controversy. http://su.pr/1q2Y1O @ medtopicwriter",,@incrowdnow @,#,"343465880178548736",https://twitter.com/LAStory/status/343465880178548736
OncLive,2013-06-08 16:31,0,0,"OncLive TV: Dr. Mario Sznol Describes Nivolumab in Advanced Melanoma http://ow.ly/lPfFQ # ASCO13",,,#,"343465329281871872",https://twitter.com/OncLive/status/343465329281871872
OncNursingNews,2013-06-08 16:25,0,0,"A visual screening test using vinegar may prevent thousands of cervical cancer deaths a year http://ow.ly/lOFSS # ASCO13",,,#,"343463836541665281",https://twitter.com/OncNursingNews/status/343463836541665281
ConquerCancerFd,2013-06-08 16:20,1,0,"Video: @ CliffordHudis, @ ASCO pres, discusses # ASCO13 # melanoma news. The study @2:11 is @ iConquerCancer-funded! http://ow.ly/lQilH",,@ @ @2 @,# #,"343462644239458304",https://twitter.com/ConquerCancerFd/status/343462644239458304
JackWestMD,2013-06-08 15:19,0,1,"Talking w/friend in pharma re: how mtgs like # ASCO13 have changed d/t Sunshine Act & COI. Exhibit hall quiet, no eve extravaganzas: all OK.",,,#,"343447234777604096",https://twitter.com/JackWestMD/status/343447234777604096
LurieCancer,2013-06-08 15:14,1,0,"Explore @ ASCO interactive timeline of progress against cancer: http://www.cancerprogress.net/timeline.html @ CancerDotNet @ rschilsky",,@ @ @,,"343445998087053312",https://twitter.com/LurieCancer/status/343445998087053312
OncLive,2013-06-08 15:05,0,1,"New PI3K-delta Inhibitor Prolongs Survival in Chronic Lymphocytic Leukemia http://ow.ly/lPfFN # ASCO13",,,#,"343443723008491520",https://twitter.com/OncLive/status/343443723008491520
Wheaton_Wealth,2013-06-08 13:58,0,0,"More bridges, more options n # cancer treatment http://su.pr/1q2Y1O # ASCO13 from right here in Chicago! # immunotherapy @ crowdtalk # ChiTown",,@,# # # #,"343426723913814017",https://twitter.com/Wheaton_Wealth/status/343426723913814017
medtopicwriter,2013-06-08 13:56,0,0,"Read @incrowdnow's # ASCO13 Wrap Up - detailing some of the most interesting presentations & a brewing controversy. http://su.pr/1q2Y1O",,@incrowdnow,#,"343426379725037568",https://twitter.com/medtopicwriter/status/343426379725037568
Texascopywriter,2013-06-08 13:48,0,0,"More Bridges, More Options in Cancer Treatment - # ASCO13 Wrap Up http://www.stumbleupon.com/to/s/1q2Y1O",,,#,"343424411757592576",https://twitter.com/Texascopywriter/status/343424411757592576
