username,date,retweets,favorites,text,geo,mentions,hashtags,id,;permalink,,,,
brandonmancini,6/7/2014 19:22,0,1,“ @ ONAcom: # ASCO14: New drug effective for metastatic # prostatecancer - http://ow.ly/xEYjG # pcsm”,,@,# # #,4.75418E+17,https://twitter.com/brandonmancini/status/475417583748145152,,,,
YOGAontheSTEPS,6/7/2014 19:01,2,0,# ASCO2014 Reports on Early-Stage Breast Cancers http://ow.ly/xI0YU,,,#,4.75412E+17,https://twitter.com/YOGAontheSTEPS/status/475412142976696321,,,,
ONAcom,6/7/2014 19:00,0,0,# ASCO14: New drug effective for metastatic # prostatecancer - http://ow.ly/xEYjG # pcsm,,,# # #,4.75412E+17,https://twitter.com/ONAcom/status/475412126044266496,,,,
LivingBeyondBC,6/7/2014 19:00,3,1,# ASCO2014 Reports on Early-Stage Breast Cancers http://ow.ly/xI10B,,,#,4.75412E+17,https://twitter.com/LivingBeyondBC/status/475412115646611456,,,,
OncLive,6/7/2014 19:00,1,1,Dr. Naiyer Rizvi on Nivolumab Plus Erlotinib in Patients with EGFR MT NSCLC http://ow.ly/xJ57t # ASCO14,,,#,4.75412E+17,https://twitter.com/OncLive/status/475411963871522818,,,,
SassyCell,6/7/2014 18:48,0,0,"@ CR_UK Thank you to Nick Peel, that was a fantastic review # CIM http://bit.ly/1q0jvUI # immunotherapy # ASCO14",,@,# # #,4.75409E+17,https://twitter.com/SassyCell/status/475409002189586433,,,,
RyhMd,6/7/2014 18:40,0,0,"# asco14 post chemo thorct RT in Ext-SCLC, benefit 18-24 months pic.twitter.com/owvBmzkjCV",,,#,4.75407E+17,https://twitter.com/RyhMd/status/475406898947031042,,,,
RyhMd,6/7/2014 18:39,0,0,# asco14 Erlo+Bev in EGFR mut+ pic.twitter.com/sx3WCpZHlr,,,#,4.75407E+17,https://twitter.com/RyhMd/status/475406643035795456,,,,
RyhMd,6/7/2014 18:38,0,0,# asco14 EGFR inh in mut+ pic.twitter.com/oqzrKtLA1k,,,#,4.75406E+17,https://twitter.com/RyhMd/status/475406380044521472,,,,
BairdAM,6/7/2014 18:26,1,1,"RT @prIME_Oncology: A discussion on non-small cell lung cancer treatment from # ASCO14 # lcsm http://youtu.be/874zxhyslbY?a """"",,@prIME_Oncology,# #,4.75403E+17,https://twitter.com/BairdAM/status/475403379640778753,,,,
BairdAM,6/7/2014 18:25,1,0,"# lcsm RT @prIME_Oncology: A discussion from # ASCO14 on second-line therapies in NSCLC # lcsm http://youtu.be/Dx9qg8Camuc?a """"",,@prIME_Oncology,# # #,4.75403E+17,https://twitter.com/BairdAM/status/475403162249998336,,,,
drdonsdizon,6/7/2014 18:21,0,0,@ Quintiles And at 4K for sequencing- that's still too much. And still remains mostly unactionable. # ASCO14,,@,#,4.75402E+17,https://twitter.com/drdonsdizon/status/475402152009953280,,,,
drdonsdizon,6/7/2014 18:19,0,1,@ yzafar @ ASCO @ theIOM Right- cost and value are not debatable; they are conversational! Looking forward to outcomes of the discussion.,,@ @ @,,4.75402E+17,https://twitter.com/drdonsdizon/status/475401666309525506,,,,
drdonsdizon,6/7/2014 18:18,0,0,@ teamoncology When costs enter conversation... @ ASCO # ASCO14 http://www.kevinmd.com/blog/2014/04/treating-cancer-paved-patients-financial-despair.html …,,@ @,#,4.75401E+17,https://twitter.com/drdonsdizon/status/475401362432606208,,,,
MyelomaTeacher,6/7/2014 18:15,2,1,MT @ OncLive: Dr. Dispenzieri @ MayoMyeloma discusses # CD38-targeted monoclonal antibodies in # myeloma http://ow.ly/xJ9jq # ASCO14 # mmsm,,@ @,# # # #,4.75401E+17,https://twitter.com/MyelomaTeacher/status/475400653163212800,,,,
drdonsdizon,6/7/2014 18:11,0,0,"@ brianreid How many said value""???? # ASCO14""",,@,#,4.754E+17,https://twitter.com/drdonsdizon/status/475399764826423296,,,,
OncLive,6/7/2014 18:10,3,0,"Negative ALTTO Results Reverberate for Lapatinib, Novel Clinical Trials http://ow.ly/xJ57s # ASCO14",,,#,4.75399E+17,https://twitter.com/OncLive/status/475399386974126080,,,,
ConquerCancerFd,6/7/2014 18:04,0,1,"Great pic of Dr. Sandra Swain, past @ ASCO pres. & Campaign Chair for Women Who Conquer Cancer. http://ow.ly/i/5PBBb",,@,,4.75398E+17,https://twitter.com/ConquerCancerFd/status/475397966002683906,,,,
HelpSaveDarcy,6/7/2014 17:12,1,0,Recent # melanoma highlights from American Society of Clinical Oncology @ ASCO by Melanoma Institute Australia... http://fb.me/3k3A67uuu,,@,#,4.75385E+17,https://twitter.com/HelpSaveDarcy/status/475384772790083585,,,,
OncLive,6/7/2014 17:05,1,0,Zoledronic Acid Can Be Administered Less Frequently in Breast Cancer http://ow.ly/xJ57r # ASCO14,,,#,4.75383E+17,https://twitter.com/OncLive/status/475383000252039168,,,,
OphiraG,6/7/2014 16:57,1,3,"@ sandragionas thx 4 being a Dragon"" # CSWA2014 gr8 opp 2 pitch untold story of women's cancers -health equity issue! @ NCIGlobalHealth @ ASCO""",,@ @ @,#,4.75381E+17,https://twitter.com/OphiraG/status/475381090761199616,,,,
HelpSaveDarcy,6/7/2014 16:41,0,0,Video highlights including # melanoma # treatment news from Day 3 of American Society of Clinical Oncology @ ASCO http://fb.me/6H4IhW4Mx,,@,# #,4.75377E+17,https://twitter.com/HelpSaveDarcy/status/475376983690342400,,,,
learnhospice,6/7/2014 16:19,0,1,“ @ subatomicdoc: communication skills curriculum for oncology fellows http://bit.ly/1mxaiB6 > @ HopkinsMedicine # hcsm # ASCO14” wonderful # hpm,,@ @,# # #,4.75372E+17,https://twitter.com/learnhospice/status/475371556756271104,,,,
subatomicdoc,6/7/2014 16:17,2,0,Across the cancer continuum: A communication skills curriculum for oncology fellows http://bit.ly/1mxaiB6 > @ HopkinsMedicine # hcsm # ASCO14,,@,# #,4.75371E+17,https://twitter.com/subatomicdoc/status/475370875710353408,,,,
Beleenn25,6/7/2014 16:09,0,0,# FO # rica # piba .... # xdios .... # ASCO14,,,# # # # #,4.75369E+17,https://twitter.com/Beleenn25/status/475368916383195136,,,,
EdithPerezMD,6/7/2014 16:06,0,0,"Fantastic # ASCO14. Important data for research and practice. Enthusiasm, especially for our predictive immune gene signature @ MayoClinic",,@,#,4.75368E+17,https://twitter.com/EdithPerezMD/status/475368096970964992,,,,
OncLive,6/7/2014 16:05,3,2,Adding Chemo to ADT Confers Dramatic Survival Gains in Prostate Cancer http://ow.ly/xJ57q # ASCO14,,,#,4.75368E+17,https://twitter.com/OncLive/status/475367917815889920,,,,
darioT_,6/7/2014 16:02,1,0,# Nanotechnology # NBTXR3 from @ Nanobiotix at @ ASCO 2014 # phase1 # sarcoma trial-NCT01433068. http://meetinglibrary.asco.org/content/127447-144 …pic.twitter.com/bXfwjNQJOk,,@ @,# # # #,4.75367E+17,https://twitter.com/darioT_/status/475367144923086849,,,,
eMPR,6/7/2014 16:01,1,0,Screening for lung cancer could become as easy as breathing: http://ow.ly/xIG67 # ASCO14 # oncology,,,# #,4.75367E+17,https://twitter.com/eMPR/status/475366969823477761,,,,
ONAcom,6/7/2014 16:01,0,0,# ASCO14: Early # palliative support for family caregivers reduces # depression - read more http://ow.ly/xCkwU,,,# # #,4.75367E+17,https://twitter.com/ONAcom/status/475366901309517824,,,,
NicoleStoutPT,6/7/2014 16:00,1,0,"“ @ fischmd @ ASCO: Professional orgs role in supporting MDs to improve # healthcare value, via @ JAMA_current http://ow.ly/xJWct @ APTAtweets",,@ @ @ @,#,4.75367E+17,https://twitter.com/NicoleStoutPT/status/475366586145308672,,,,
appistry,6/7/2014 15:35,0,0,. @ Forbes reports: # ASCO14 presentations bring hope to the future of # cancer http://ow.ly/xGdTc @ ElaineSchattner # PMED # oncology,,@ @,# # # #,4.7536E+17,https://twitter.com/appistry/status/475360320681414656,,,,
OncLive,6/7/2014 15:05,3,0,Dr. Jedd Wolchok on Ipilimumab After Complete Resection of Stage III Melanoma http://ow.ly/xJ57p # ASCO14,,,#,4.75353E+17,https://twitter.com/OncLive/status/475352785404567552,,,,
Asthika,6/7/2014 15:03,0,1,Forgot I took this pic. Caption: Immuno-oncology was so hot at # ASCO14 they had to call the fire dept. pic.twitter.com/7FBsrZUJWA,,,#,4.75352E+17,https://twitter.com/Asthika/status/475352349796737024,,,,
OncLive,6/7/2014 14:10,1,1,Panobinostat Combination Improves PFS in Multiple Myeloma http://ow.ly/xJ57o # ASCO14,,,#,4.75339E+17,https://twitter.com/OncLive/status/475338949901430785,,,,
JaneyBusby,6/7/2014 14:07,5,4,THIS is the face of a FIERCE FIGHTER @ genentech who NEEDS # ExtendedUse NOW to # kickASPS PLS do an n=1 pic.twitter.com/5t2WATDJKI # ASCO14,,@,# # #,4.75338E+17,https://twitter.com/JaneyBusby/status/475338189092044801,,,,
JaneyBusby,6/7/2014 14:05,0,0,@ 4Nathalie meets all criteria 4 # PDL1 # PD1 except 4 age(15-1/2) Read her blog http://kickasps.wordpress.com/its-hard-to-fight-when-the-fight-aint-fair/ … & FIGHT pic.twitter.com/yKV5pNvvG1 # ASCO14,,@,# # #,4.75338E+17,https://twitter.com/JaneyBusby/status/475337882580692992,,,,
ventana,6/7/2014 14:01,8,2,RT @ ASCO Explore this infographic on the link between # obesity and # cancerpic.twitter.com/TmcbVV4Lb8,,@,# #,4.75337E+17,https://twitter.com/ventana/status/475336740954464256,,,,
drol007,6/7/2014 13:56,0,0,Helpful digest of @ ASCO # ASCO14 & associated media output HT@CR_UK & the blind mole rat DNA sequence too http://scienceblog.cancerresearchuk.org/2014/06/07/news-digest-asco-conference-immunotherapy-blind-mole-rat-genome-and-more/?utm_source=twitter_cr_uk&utm_medium=cruksocialmedia&utm_campaign=owntwitter_tweet …,,@ @CR_UK,#,4.75336E+17,https://twitter.com/drol007/status/475335616516067328,,,,
Salva_Rguez,6/7/2014 13:53,1,0,"@ encarnadiazg sí, pero por lo menos que se va a aclarar algo y, en su caso, los gastos de los juicios,superaran lo que se confisque # ASCO14",,@,#,4.75335E+17,https://twitter.com/Salva_Rguez/status/475334746508378112,,,,
fischmd,6/7/2014 13:15,5,1,"Screening, assessment, and management of fatigue in adult survivors of # cancer: @ ASCO http://ow.ly/xJjFL # hpm # PallOnc # supponc",,@,# # # #,4.75325E+17,https://twitter.com/fischmd/status/475325118286422016,,,,
CANcerviver,6/7/2014 13:14,0,0,"RT @ ASCO: Past, Present, & Future Challenges in Breast Cancer Treatment ... http://tmi.me/1enOe3",,@,,4.75325E+17,https://twitter.com/CANcerviver/status/475324862211571714,,,,
ndccharity,6/7/2014 13:13,0,0,‘How modern medicine can help patients achieve a # GoodDeath’ @ ONAcom http://www.oncologynurseadvisor.com/how-modern-medicine-can-help-patients-achieve-a-good-death/article/349875/ … by @ Kathybphd # ASCO14 # Oncology # hpm # HomeDeath,,@ @,# # # # #,4.75325E+17,https://twitter.com/ndccharity/status/475324610716516352,,,,
OncLive,6/7/2014 13:05,0,0,AZD9291 Shows Robust Activity in Resistant EGFR-positive NSCLC http://ow.ly/xJ57n # ASCO14,,,#,4.75323E+17,https://twitter.com/OncLive/status/475322602123452416,,,,
FightCRC,6/7/2014 13:05,0,0,"On June 18, we'll be discussing the latest research & treatment news from the @ ASCO conference during our webinar - don't miss it!",,@,,4.75323E+17,https://twitter.com/FightCRC/status/475322568577392640,,,,
medpagetoday,6/7/2014 13:00,1,1,Gilotrif improved overall survival in a single subset of advanced non-small cell lung cancers # ASCO14 http://bit.ly/1rR9NZM,,,#,4.75321E+17,https://twitter.com/medpagetoday/status/475321318808625154,,,,
OncLive,6/7/2014 12:10,1,1,Lenvatinib Likely to Become Standard in Resistant Differentiated Thyroid Cancer http://ow.ly/xJ57m # ASCO14,,,#,4.75309E+17,https://twitter.com/OncLive/status/475308762321145856,,,,
fischmd,6/7/2014 12:08,3,1,"A nice shout out to @ ASCO: Professional orgs role in supporting MDs to improve # healthcare value, via @ JAMA_current http://ow.ly/xJWct",,@ @,#,4.75308E+17,https://twitter.com/fischmd/status/475308307880898560,,,,
leonardkish,6/7/2014 12:05,0,0,@ kneepainoptions @ subatomicdoc @ ASCO How times change.,,@ @ @,,4.75308E+17,https://twitter.com/leonardkish/status/475307659772448768,,,,
ONAcom,6/7/2014 12:02,2,0,# ASCO14: Expanding # NCI Community Cancer Centers Program in a rural community can up clinical trial enrollment - http://ow.ly/xweUY,,,# #,4.75307E+17,https://twitter.com/ONAcom/status/475306763793989633,,,,
SpringerClinMed,6/7/2014 12:01,0,1,Interesting to see how # ASCO14 oncologists are using Twitter: Why I Tweet http://ow.ly/xIlRa,,,#,4.75306E+17,https://twitter.com/SpringerClinMed/status/475306440144728065,,,,
subatomicdoc,6/7/2014 11:56,0,0,@ mleis @ Boehringer Welcome to the future. # ASCO14 is an example of # edoctor emergence # hcsm,,@ @,# # #,4.75305E+17,https://twitter.com/subatomicdoc/status/475305214229368832,,,,
Boehringer,6/7/2014 11:55,1,0,In the USA, it (lung cancer) accounts for 228,"190 new cancer cases annually"" Dr Maya Gottfried http://bit.ly/1j1RTda # ASCO14""",,,#,4.75305E+17,https://twitter.com/Boehringer/status/475304994837897216,,
BiologicsMcK,6/7/2014 11:45,0,0,"At @ ASCO’s 50th annual meeting, researchers shared new advances in breast, prostate & colorectal # cancer treatment. http://vrl.ht/ECF8",,@,#,4.75303E+17,https://twitter.com/BiologicsMcK/status/475302532609101825,,,,
OncologySurgery,6/7/2014 11:39,0,1,"RT @ ASCO: Register today for the new Palliative Care in Oncology Symposium, Oct. 24-25 in Boston: http://bit.ly/1xokTWr",,@,,4.75301E+17,https://twitter.com/OncologySurgery/status/475301098387808256,,,,
jtriestm,6/7/2014 11:25,0,0,Test IDs Ovarian Cancers in Which bevacizumab Is No Good http://www.medscape.com/viewarticle/826384?src=sttwit … # asco14 # gyncsm,,,# #,4.75297E+17,https://twitter.com/jtriestm/status/475297451109134336,,,,
ASCO,6/7/2014 11:01,5,3,"Sample select presentations from our 50th Annual Meeting via Virtual Meeting on Demand"": http://bit.ly/1oKjSW0 # ASCO14""",,,#,4.75292E+17,https://twitter.com/ASCO/status/475291531138830337,,,,
OncLive,6/7/2014 11:00,0,0,Dr. Suresh Ramalingam on the Results of the Phase III REVEL Study in NSCLC http://ow.ly/xJ57l # ASCO14,,,#,4.75291E+17,https://twitter.com/OncLive/status/475291277547028480,,,,
scientre,6/7/2014 10:33,0,0,@ djsampson @ 3NT @ ASCO @ symplur Twitter app?,,@ @ @ @,,4.75284E+17,https://twitter.com/scientre/status/475284386602967042,,,,
CCO_Oncology,6/7/2014 10:30,0,3,Independent Coverage of # ASCO2014: 4 Capsule Summaries of key findings in # BreastCancer # CME modules coming soon! http://ow.ly/xIQqN,,,# # #,4.75284E+17,https://twitter.com/CCO_Oncology/status/475283783298854913,,,,
OncLive,6/7/2014 10:05,2,0,"Ibrutinib Triples PFS, Doubles OS in Phase III CLL Trial http://ow.ly/xJ57k # ASCO14",,,#,4.75277E+17,https://twitter.com/OncLive/status/475277337576353792,,,,
ONAcom,6/7/2014 10:01,1,0,# ASCO14: Fewer than 5% of adults with cancer enroll in clinical trials - read more http://ow.ly/xwdYj,,,#,4.75276E+17,https://twitter.com/ONAcom/status/475276387885285378,,,,
SHAREing,6/7/2014 10:01,0,0,"RT (plz) Dr Dizon reports # ASCO14 news vis-a-vis # metastatic # breastcancer: Th 6/12, 12:30PM ET http://ow.ly/xlSQO @ MetastaticOdds",,@,# # #,4.75276E+17,https://twitter.com/SHAREing/status/475276376799735808,,,,
Prof_ChrisMason,6/7/2014 9:54,0,0,MT @ matthewherper: 8-patient cervical ca study is more important cf all the much bigger studies @ # ASCO14 http://www.forbes.com/sites/matthewherper/2014/06/02/scientists-prime-the-immune-system-as-a-powerful-cancer-weapon/ … # CellTherapy,,@ @,# #,4.75275E+17,https://twitter.com/Prof_ChrisMason/status/475274592274350080,,,,
mleis,6/7/2014 9:43,1,1,"Holy moly MT “ @ Boehringer: nearly 40k tweets over 5 days"" Julia Knebel http://bit.ly/1mYaUjh # ASCO14”""",,@,#,4.75272E+17,https://twitter.com/mleis/status/475271737513623553,,,,
Boehringer,6/7/2014 9:25,3,0,"The coverage on social media has been impressive this year with nearly 40k tweets over 5 days"" Julia Knebel http://bit.ly/1mYaUjh # ASCO14""",,,#,4.75267E+17,https://twitter.com/Boehringer/status/475267202661502977,,,,
OncLive,6/7/2014 9:05,0,1,Practice-Changing Data Revealed for Premenopausal HR+ Breast Cancer http://ow.ly/xJ57j # ASCO14,,,#,4.75262E+17,https://twitter.com/OncLive/status/475262217240457216,,,,
medpagetoday,6/7/2014 9:00,3,1,Xtandi can markedly delay chemotherapy in men with progressive prostate cancer despite ADT # ASCO14 http://bit.ly/1rRLlYd,,,#,4.75261E+17,https://twitter.com/medpagetoday/status/475260897061920768,,,,
DrHubaEvaluator,6/7/2014 9:00,0,1,BLOG: Immunological Dreams at # ASCO14 - Two things caught my attention: 1) The 5-year survival rate of all cancers... http://ow.ly/2HHwli,,,#,4.75261E+17,https://twitter.com/DrHubaEvaluator/status/475260887499292672,,,,
nvhstewart,6/7/2014 8:17,0,0,How it should be done... @ yzafar: Ganz: palliative care does not equal end of life care # asco14 pic.twitter.com/se3y5NswjN,,@,#,4.7525E+17,https://twitter.com/nvhstewart/status/475250289679679489,,,,
OncLive,6/7/2014 8:10,0,1,"Today we're going to be spotlighting the most viewed articles/videos from # ASCO14 View more, at http://ow.ly/xJ57i",,,#,4.75248E+17,https://twitter.com/OncLive/status/475248356470824960,,,,
JediPD,6/7/2014 8:05,1,0,A Post: Immunological Dreams at # ASCO14 http://jedismedicine.blogspot.com/2014/06/immunological-dreams-at-asco14.html?spref=tw …,,,#,4.75247E+17,https://twitter.com/JediPD/status/475247100129968130,,,,
wendyselig,6/7/2014 7:58,0,0,At # asco14 with @ TJsharpe celebrating # melanoma progress. @ MelanomaReAllipic.twitter.com/h8J3v03Z0d,,@ @,# #,4.75245E+17,https://twitter.com/wendyselig/status/475245379328671744,,,,
