user,location,content,time
SalariusPharma,Houston,"RT @marklewismd: A RARE DISEASE NARRATIVE TWEETORIAL

Today, during an #ASCO20 clinical science symposium, I'm honored to comment as a pati…",2020-06-03 16:20:19
urotoday,"San Francisco, CA",RT @DrYukselUrun: @Prof_IanD @ChrisSweens1 @Uromigos @US_FDA @OncoAlert @ASCO @myESMO @apccc19 @PCFnews @EMA_News @neerajaiims @cdanicas @i…,2020-06-03 16:20:17
KatsuakiMaehara,日本 東京,RT @VivekSubbiah: In the context of #raredisease @ASCO #ASCO20 --&gt; Genomics &amp; Treatment Patterns of Patients w Alveolar Soft Part #Sarcoma…,2020-06-03 16:20:15
SalariusPharma,Houston,"RT @jacobadashek: ""Mismatch meets its match 👉 Marriage between dMMR and ICI"" in @OncJournal by @UCSDHealth @Dr_R_Kurzrock @MDAndersonNews @…",2020-06-03 16:19:24
oncologician,"Mumbai, India",@writeslkpushkin @shivendraOnco @indepso The next step to RAPIDO IS OPRA (Organ preservation in Rectal Adenoca).Pre… https://t.co/fx7ldMBO5D,2020-06-03 16:17:14
MedEdBot,,RT @TotalHealthConf: WOW! We are overwhelmed with gratitude seeing the results of our #ASCO20TotalHealth initiative to build an authoritati…,2020-06-03 16:15:16
BioHacker_,Paris,"RT @FondationAPHP: [#Recherche] Le Pr Thierry André, hôpital Saint-Antoine, AP-HP, a présenté les résultats d'une étude sur les patients po…",2020-06-03 16:14:20
IcahnMountSinai,"New York, New York","RT @TischCancer: Join Dr. Sundar Jagannath on Saturday, June 13, for @gotoPER’s ASCO Direct Highlights™ – New York. Register at https://t.c…",2020-06-03 16:13:17
FabioSchutz78,"São Paulo, Brasil",Great podcast discussions by GU oncology experts of the latest presentations in #ASCO20 https://t.co/Vt6MVmfkE2,2020-06-03 16:12:44
BladderCancerUS,"Bethesda, MD and around the world","RT @DrYukselUrun: @tompowles1 @TiansterZhang Evolving Treatments Landscape of Urothelial Cancer: Fortunately, our treatment options are gro…",2020-06-03 16:11:57
