username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
pjacock;2019-07-25 15:28;1;1;"# BOSC2019 # CoFest folk, take the big ramp up to the right of the Coop, look for 60B (we didn’t see a # DayOne sign out front), see website for address and map https://www.open-bio.org/events/bosc/collaborationfest/ …pic.twitter.com/IAy2tjtLW6";;;# # #;"1154473441036136448";https://twitter.com/pjacock/status/1154473441036136448
nf_core;2019-07-25 13:37;4;11;"Brilliant seeing so much love for @ nf_core from @ OBF_BOSC # BOSC2019 # ISMBECCB2019 - feel free to ping this account with any questions, or check out https://nf-co.re for more details.";;@ @;# #;"1154445629420113921";https://twitter.com/nf_core/status/1154445629420113921
OpenbioE;2019-07-25 13:36;3;7;"Thanks @ OBF_BOSC for organizing an amazing # BOSC2019 conference and for giving us the opportunity to present http://www.openbio.eu with a poster. The poster is available here:https://www.dropbox.com/s/byx32r9cxwf0rbb/bosc2019_openbio_eu_poster.pdf?dl=0 …";;@;#;"1154445446921633793";https://twitter.com/OpenbioE/status/1154445446921633793
tbyhdgs;2019-07-25 12:45;0;1;". @ JasonWilliamsNY and I are going for a drink at Bierrevier at Markthalle before the # BOSC2019 dinner. Come join us!";;@;#;"1154432404385345543";https://twitter.com/tbyhdgs/status/1154432404385345543
OBF_BOSC;2019-07-25 11:25;0;0;"@ raonyguimaraes You have made it off the wait list for the # BOSC2019 dinner!";;@;#;"1154412350923071490";https://twitter.com/OBF_BOSC/status/1154412350923071490
deepakunni3;2019-07-25 11:19;3;20;"So happy that I could attend both # ISMBECCB and # BOSC2019 this year in Basel. Thank you to # BOSC2019 organizing committee for giving me the opportunity to present my talk. Hope to see everyone again next year in Toronto for BOSC2020 pic.twitter.com/u0IAZhRUMA";;;# # #;"1154410916940845056";https://twitter.com/deepakunni3/status/1154410916940845056
rvmngr;2019-07-25 10:40;6;3;"@ NomiHarris announces # BCC2020 in Toronto next year # BOSC2019 pic.twitter.com/OliekxBkGa";;@;# #;"1154400974477430785";https://twitter.com/rvmngr/status/1154400974477430785
pjacock;2019-07-25 10:39;2;5;"My plan for the # BOSC2019 # CoFest is to finish a proof of principle conversion of the @ Biopython Tutorial & Cookbook from LaTeX to reStructuredText (RST), for which I am using pandochttps://twitter.com/yoyehudi/status/1154397038097981442 …";;@;# #;"1154400874988494848";https://twitter.com/pjacock/status/1154400874988494848
yoyehudi;2019-07-25 10:34;5;9;"We're wrapping up # BOSC2019 but there is still the # cofest collaborate, work on your exciting open projects (not just code!) and have fun - thursday/friday - sign up here: https://www.open-bio.org/events/bosc/collaborationfest/ … - sponsors are @ awscloud @ googlecloud and @ SoftwareSaved. Free reg & food!";;@ @ @;# #;"1154399598196269056";https://twitter.com/yoyehudi/status/1154399598196269056
yoyehudi;2019-07-25 10:29;0;1;"Wrapping up, @ pjacock asks what @ Biopython can do to help encourage community contributions, and thanks contributors and sponsor orgs for their help. # ismbeccb # ISMBECCB2019 # BOSC2019 pic.twitter.com/uv6q0vPqrC";;@ @;# # #;"1154398236263817218";https://twitter.com/yoyehudi/status/1154398236263817218
