username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MCFoell;2020-07-26 17:28;2;6;"Thanks to JJ from @ usegalaxyp for great teamwork at # BCC2020 CoFest :) https://twitter.com/bjoerngruening/status/1287447685658742787 …";;@;#;"1287500054673215489";https://twitter.com/MCFoell/status/1287500054673215489
bjoerngruening;2020-07-26 14:00;5;14;"MSstats from @ olgavitek lab is now integrated in into # usegalaxy! Thanks to @ MCFoell and Jim Johnson! Protein Significance Analysis in DDA and DIA for Label-free or Label-based Proteomics Experiments! https://usegalaxy.eu/root?tool_id=toolshed.g2.bx.psu.edu/repos/galaxyp/msstats/msstats/ … Another great outcome of the # BCC2020 CoFest";;@ @;# #;"1287447685658742787";https://twitter.com/bjoerngruening/status/1287447685658742787
OBF_BOSC;2020-07-26 12:07;6;4;"98 responses to our post- # BCC2020 survey! Can you help us get to 100? https://forms.gle/phqh7B4Q8Bc8Xuht6 …";;;#;"1287419258746466304";https://twitter.com/OBF_BOSC/status/1287419258746466304
Biopython;2020-07-25 16:05;2;5;"One outcome of the # BCC2020 CoFest - we now enforce the black # Python formatting style for all of Biopython";;;# #;"1287116841459097600";https://twitter.com/Biopython/status/1287116841459097600
OBF_BOSC;2020-07-25 12:35;5;16;"Some of the # BCC2020 presenters have already linked their videos to sched, e.g., https://bcc2020.sched.com/event/coLh/multiqc-updates-visualising-results-from-common-bioinformatics-tools … We will be adding the # BOSC2020 videos to YouTube as well: https://www.youtube.com/c/OBFBOSC/playlists …";;;# #;"1287063940741005317";https://twitter.com/OBF_BOSC/status/1287063940741005317
PaoloDiTommaso;2020-07-25 03:39;0;0;"@ OBF_BOSC Are # BCC2020 videos already available or they will be published later?";;@;#;"1286929099450200064";https://twitter.com/PaoloDiTommaso/status/1286929099450200064
Yvan2935;2020-07-24 11:51;4;10;"And working on tool & workflow generalization adding @ edamontology tags, creating @ commonwl & RO-crate from @ galaxyproject workflows through @ WorkflowHub & lot of discussions around interactive tools & their use in workflows... Too much fun! Thank you so much # BCC2020 ! pic.twitter.com/6uGFJKtX9o";;@ @ @ @;#;"1286690439379156994";https://twitter.com/Yvan2935/status/1286690439379156994
Yvan2935;2020-07-24 11:46;1;3;"The end for me of a new amazing CoFest # BCC2020 working particularly with @ AnneFouilloux & @ think_za creating new biodiversity tutorials skeleton for http://ecelogy.usegalaxy.eu with new tools to calculate community metrics on abundance data + significance of some response factorspic.twitter.com/IeJzjRjFxV";;@ @;#;"1286689208552378368";https://twitter.com/Yvan2935/status/1286689208552378368
morgantaschuk;2020-07-24 10:15;1;5;"Completely agree. We couldn't have done this crazy two hemisphere idea without all these amazing volunteers. Thank you so much! # BCC2020";;;#;"1286666315399389188";https://twitter.com/morgantaschuk/status/1286666315399389188
rushil1904;2020-07-24 09:44;0;3;"Looking forward to future conferences and hopefully contributing in major ways in times to come. # bcc2020 # OpenSource";;;# #;"1286658611532271617";https://twitter.com/rushil1904/status/1286658611532271617
rushil1904;2020-07-24 09:33;1;4;"The conference helped me broaden my horizons, be it through the keynotes, the cofest or just direct interactions with various members of the community. A great and enriching experience. Grateful to the team at @ OBF_BOSC for their aid in every possible manner. # bcc2020";;@;#;"1286655650349555713";https://twitter.com/rushil1904/status/1286655650349555713
rushil1904;2020-07-24 09:20;3;8;"As this year's Bioinformatics Community Conference comes to an end I would like to thank all the organizers and volunteers for such brilliant work. Unfazed by the pandemic, they went on to organize a great conference on a global scale. # bcc2020 @ OBF_BOSC";;@;#;"1286652372068921344";https://twitter.com/rushil1904/status/1286652372068921344
eLifeInnovation;2020-07-24 04:35;3;6;"Amazing work done by the # BCC2020 organising committee to make the conference and CoFest accessible for all. We are very inspired by their work and grateful for the opportunity to be part of this endeavour https://twitter.com/GalaxyAustralia/status/1286078807196065792 …";;;#;"1286580630617231360";https://twitter.com/eLifeInnovation/status/1286580630617231360
eLifeInnovation;2020-07-23 03:47;6;15;"Check out the recording of our Innovation Community Manager, @ emmy_ft, speaking at # BCC2020 about Executable Research Articles (ERA) and enriching research articles with code and data. https://bcc2020.sched.com/event/coL4/executable-research-article-era-enrich-a-research-paper-with-code-and-data …pic.twitter.com/RT4BCyqg01";;@;#;"1286206227966570497";https://twitter.com/eLifeInnovation/status/1286206227966570497
sports_xplore;2020-07-23 03:27;0;3;"The Supreme Court on Wednesday agreed to hear the BCCI plea after two weeks. Should SC amend BCCI’s constitution to extend Ganguly’s tenure? Join the discussions https://forum.xploresports.com/t/should-supreme-court-amend-bccis-constitution-to-extend-gangulys-tenure/3532 … # BCCI # BCC2020 # Cricket # ENGvWI # TestCricket # IPLT20 # SouravGanguly # bccipresidentpic.twitter.com/rjl34CqfYQ";;;# # # # # # # #;"1286201309834567683";https://twitter.com/sports_xplore/status/1286201309834567683
