user,location,content,time
MozOpenLeaders,,RT @OBF_BOSC: Abby's keynote will be live in the western hemisphere (and recorded and replayed in the eastern). https://t.co/gJnMxbVtvN,2020-07-17 19:36:54
abbycabs,"Toronto, Canada",RT @OBF_BOSC: Abby's keynote will be live in the western hemisphere (and recorded and replayed in the eastern). https://t.co/gJnMxbVtvN,2020-07-17 19:36:31
bjoerngruening,,RT @FelixMbuga: Great Galaxy class by Dr. Delphine Larivière @ddlariviere and Dr. Wolfgang Maier at #BCC2020!,2020-07-17 19:28:19
jmchilton,"State College, PA",RT @MaryletteRoa: Only the first day of Galaxy / bioinformatics workshops and already starstrucked (pun intended) by several people in this…,2020-07-17 19:27:14
DanielsMabadeje,,RT @Edeediong: I'm attending a Dockstore Fundamentals training session as part of BCC2020... let's rock n roll 😎😎#bcc2020,2020-07-17 19:21:06
Edeediong,"Akwa Ibom, Nigeria",I'm attending a Dockstore Fundamentals training session as part of BCC2020... let's rock n roll 😎😎#bcc2020,2020-07-17 19:09:03
stevetsa1,,"RT @galaxyproject: #BCC2020 Training West 2 is done. 10 sessions down, 50 to go.  https://t.co/PYvoOkTRsE #UseGalaxy @OBF_BOSC https://t.co…",2020-07-17 19:05:22
AleMedinaRivera,México,RT @FelixMbuga: Martin Morgan just walked us through using R/@Bioconductor on @useAnVIL with GCP. Nice examples using @humancellatlas data.…,2020-07-17 19:03:39
useAnVIL,,RT @FelixMbuga: Martin Morgan just walked us through using R/@Bioconductor on @useAnVIL with GCP. Nice examples using @humancellatlas data.…,2020-07-17 19:02:52
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,RT @FelixMbuga: Martin Morgan just walked us through using R/@Bioconductor on @useAnVIL with GCP. Nice examples using @humancellatlas data.…,2020-07-17 19:02:52
FelixMbuga,,Martin Morgan just walked us through using R/@Bioconductor on @useAnVIL with GCP. Nice examples using… https://t.co/esVpnaEhyD,2020-07-17 19:02:03
gxytraining,,"RT @galaxyproject: #BCC2020 Training West 2 is done. 10 sessions down, 50 to go.  https://t.co/PYvoOkTRsE #UseGalaxy @OBF_BOSC https://t.co…",2020-07-17 19:02:01
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,"#BCC2020 Training West 2 is done. 10 sessions down, 50 to go.  https://t.co/PYvoOkTRsE #UseGalaxy @OBF_BOSC https://t.co/eh0P3Woi05",2020-07-17 19:01:00
OBF_BOSC,,RT @MaryletteRoa: Only the first day of Galaxy / bioinformatics workshops and already starstrucked (pun intended) by several people in this…,2020-07-17 19:00:26
MalloryFreeberg,"Cambridge, England","RT @useAnVIL: We're very excited for the start of the 2020 Bioinformatics Community Conference! 
There are @useAnVIL training events happen…",2020-07-17 18:42:40
JasonWilliamsNY,"Cold Spring Harbor, NY","RT @useAnVIL: We're very excited for the start of the 2020 Bioinformatics Community Conference! 
There are @useAnVIL training events happen…",2020-07-17 18:27:38
OBF_BOSC,,RT @NCBI: NCBI staff will be presenting online at the Bioinformatics Community Conference 2020. https://t.co/xNCpQsBeAR Read this thread to…,2020-07-17 18:20:47
OBF_BOSC,,"RT @sr_stephanie: First day of #BCC2020.  
First Training day: Introduction to Galaxy platform. 
Completely fascinated by this environment…",2020-07-17 18:18:46
Ethanhu49658941,United States,RT @prashbio: Join me in attending East Keynote 1: Open minds bring open collaborations at BCC2020 https://t.co/MeKVRNtuUk #BCC2020 @sched…,2020-07-17 18:14:09
BotByAzeem,,RT @MaryletteRoa: Only the first day of Galaxy / bioinformatics workshops and already starstrucked (pun intended) by several people in this…,2020-07-17 18:07:28
MaryletteRoa,,Only the first day of Galaxy / bioinformatics workshops and already starstrucked (pun intended) by several people i… https://t.co/CGA4p95zjh,2020-07-17 18:07:23
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,"RT @useAnVIL: @DockstoreOrg  training on writing, using, and sharing workflows for reproducible analysis #BCC2020 West (https://t.co/sH9Ddc…",2020-07-17 18:05:08
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,"RT @useAnVIL: We're very excited for the start of the 2020 Bioinformatics Community Conference! 
There are @useAnVIL training events happen…",2020-07-17 18:04:39
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,RT @prashbio: Join me in attending East Keynote 1: Open minds bring open collaborations at BCC2020 https://t.co/MeKVRNtuUk #BCC2020 @sched…,2020-07-17 18:04:22
tnabtaf,"Eugene, OR","RT @AliciaMstt: I use Discord to play rol, and was wondering if it could be a useful tool for teaching online my bioinformatics course. The…",2020-07-17 18:03:55
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,RT @MaryletteRoa: Great session on Introduction to Galaxy! This virtual environment is also amazing! #BCC2020 https://t.co/UAZHNk5IgG,2020-07-17 18:01:56
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,RT @FelixMbuga: Great Galaxy class by Dr. Delphine Larivière @ddlariviere and Dr. Wolfgang Maier at #BCC2020!,2020-07-17 18:00:53
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,"RT @sr_stephanie: First day of #BCC2020.  
First Training day: Introduction to Galaxy platform. 
Completely fascinated by this environment…",2020-07-17 18:00:27
Yvan2935,Concarneau,#BCC2020 almost ready for the biodiversity data handling and analysis training with @galaxyproject ... Just some m2… https://t.co/4CKwnpaUfz,2020-07-17 18:00:20
useAnVIL,,"@DockstoreOrg  training on writing, using, and sharing workflows for reproducible analysis #BCC2020 West (… https://t.co/eWKt3zZOO9",2020-07-17 18:00:00
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,RT @OBF_BOSC: #BCC2020 presenters are encouraged to share their slides and/or poster on our BOSC F1000 collection https://t.co/0BldU255Vn -…,2020-07-17 17:58:38
MoHeydarian,,"RT @useAnVIL: We're very excited for the start of the 2020 Bioinformatics Community Conference! 
There are @useAnVIL training events happen…",2020-07-17 17:49:32
nihalbabu89,"Cochin, India",RT @prashbio: Join me in attending East Keynote 1: Open minds bring open collaborations at BCC2020 https://t.co/MeKVRNtuUk #BCC2020 @sched…,2020-07-17 16:57:03
useAnVIL,,"Happening now! #BCC2020 West training session on using ""R/@Bioconductor on the Cloud"":
https://t.co/mxEZ0kkeW6… https://t.co/4BDX6vL1Co",2020-07-17 16:40:54
biocrusoe,,I'm really excited for #BCC2020 this year! Fairly pleased with @use_remo as an online event platform so far. https://t.co/BmCZGspw0O,2020-07-17 16:39:47
useAnVIL,,"We're very excited for the start of the 2020 Bioinformatics Community Conference! 
There are @useAnVIL training eve… https://t.co/vOX4BUubpm",2020-07-17 16:27:13
DockstoreOrg,,"Today at #BCC2020 we're going train 100+ bioinformatics scientists and researchers on using Dockstore, Docker, and… https://t.co/o8do3fjVFM",2020-07-17 16:00:00
prashbio,"Jaipur, India",Join me in attending East Keynote 1: Open minds bring open collaborations at BCC2020 https://t.co/MeKVRNtuUk… https://t.co/yPH6F1Sj97,2020-07-17 15:56:01
OBF_BOSC,,"#BCC2020 open house attendees @NomiHarris @CaroleAnneGoble @rvmngr @biocrusoe enjoyed chatting at one of the ""table… https://t.co/dgKAyOXfNl",2020-07-17 15:44:34
MaryletteRoa,,Great session on Introduction to Galaxy! This virtual environment is also amazing! #BCC2020 https://t.co/UAZHNk5IgG,2020-07-17 15:44:20
FelixMbuga,,Great Galaxy class by Dr. Delphine Larivière @ddlariviere and Dr. Wolfgang Maier at #BCC2020!,2020-07-17 15:43:29
geneticatt,"Storrs, CT",#BCC2020,2020-07-17 15:30:47
xunsheng,,RT @ELIXIREurope: 🚨Registration closing #TODAY for this conference where ELIXIR is heavily involved. Co-organised by @galaxyproject and @Au…,2020-07-17 13:19:05
sr_stephanie,Rio de Janeiro,"First day of #BCC2020.  
First Training day: Introduction to Galaxy platform. 
Completely fascinated by this enviro… https://t.co/gEgECr4vM4",2020-07-17 13:01:26
geneticatt,"Storrs, CT",Joint Bioinf Open Source / Galaxy conference starts today. It's easier to tweet in real-time when the meetings are virtual. #BCC2020,2020-07-17 12:43:54
cyclismactu,Europe,Route : Deux courses belges retirées du calendrier de Remco Evenepoel #Evenepoel #BCC20 #Giro103 #AigleMartigny2020 https://t.co/24DPYQhMCs,2020-07-17 12:34:32
y2dnum,Davao City,"RT @bccdvo_official: #BCC2020
#BCCWeGatherWeScatter https://t.co/wg62AZYpeC",2020-07-17 08:31:36
vanessa_irumva,🌏,RT @NCBI: NCBI staff will be presenting online at the Bioinformatics Community Conference 2020. https://t.co/xNCpQsBeAR Read this thread to…,2020-07-17 08:17:20
rvmngr,,RT @OBF_BOSC: #BCC2020 presenters are encouraged to share their slides and/or poster on our BOSC F1000 collection https://t.co/0BldU255Vn -…,2020-07-17 06:52:37
H3ABioNet,Africa,RT @NCBI: NCBI staff will be presenting online at the Bioinformatics Community Conference 2020. https://t.co/xNCpQsBeAR Read this thread to…,2020-07-17 03:48:20
tbi_internship,Nigeria; Russia,RT @OBF_BOSC: #BCC2020 presenters are encouraged to share their slides and/or poster on our BOSC F1000 collection https://t.co/0BldU255Vn -…,2020-07-17 03:07:11
tsonika,"Melbourne,Australia",RT @OBF_BOSC: #BCC2020 presenters are encouraged to share their slides and/or poster on our BOSC F1000 collection https://t.co/0BldU255Vn -…,2020-07-17 02:58:11
rmflight,"Lexington, KY",RT @OBF_BOSC: #BCC2020 presenters are encouraged to share their slides and/or poster on our BOSC F1000 collection https://t.co/0BldU255Vn -…,2020-07-17 02:51:30
