username,date,retweets,favorites,text,geo,mentions,hashtags,id,;permalink
jaimedash,2014-08-05 19:07,0,1,"@ groundwalkergmb reminds me of CDE (linux thing http://www.pgbovine.net/cde.html ) for # rr in contexts beyond @ Bioconductor @ rOpenSci cc @ simplystats",,@ @ @ @,#,"496794729468526592",https://twitter.com/jaimedash/status/496794729468526592
LenovoLegion,2020-09-03 14:26,15,206,"Lenovo Legion x @ PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",,@,,"1301587465258577920",https://twitter.com/LenovoLegion/status/1301587465258577920
groundwalkergmb,2014-08-05 12:02,5,2,"My take on reproducing years-old # Rstats and @ Bioconductor results http://blog.revolutionanalytics.com/2014/08/gran-and-switchr-cant-send-you-back-in-time-but-they-can-send-r-sort-of.html … # ReproducibleResearch @ rOpenSci @ simplystats",,@ @ @,# #,"496687778654986241",https://twitter.com/groundwalkergmb/status/496687778654986241
MicrosoftR,2014-08-04 12:30,1,0,"MT @AEacceleration: A nice overview on the burgeoning use of R in science. @ Bioconductor too: http://ht.ly/zUNc2",,@AEacceleration @,,"496332304059756544",https://twitter.com/MicrosoftR/status/496332304059756544
epiviz,2014-08-04 08:23,4,2,"Paper describing @ epiviz published in @ naturemethods http://www.nature.com/nmeth/journal/vaop/ncurrent/full/nmeth.3038.html … Try it out: http://epiviz.cbcb.umd.edu/?ws=cDx4eNK96Ws&settings=default&seqName=chr11&start=101161609&end=106321388& … @ Bioconductor",,@ @ @,,"496270285939945472",https://twitter.com/epiviz/status/496270285939945472
AnalyticsEng,2014-08-04 06:59,0,0,"A nice overview on the burgeoning use of R in science. Name drops for @ RevolutionR and @ Bioconductor too: http://ht.ly/zUNc2",,@ @,,"496249178528686080",https://twitter.com/AnalyticsEng/status/496249178528686080
matthewnmccall,2014-08-03 13:14,0,0,"Boston conference marathon: # BioC2014 then # JSM2014",,,# #,"495980967157587969",https://twitter.com/matthewnmccall/status/495980967157587969
RangaVadlamudi,2014-08-03 10:21,0,0,"Open source software for bioinformatics http://bioconductor.org/developers/ # bioinformatics @ Bioconductor",,@,#,"495937515430629376",https://twitter.com/RangaVadlamudi/status/495937515430629376
robertclab,2014-08-02 10:31,0,0,"@ Bioconductor # BioC2014 is not that easy to improve, it was a great, inspiring and productive meeting. Thanks for organizing it!!",,@,#,"495577629345738753",https://twitter.com/robertclab/status/495577629345738753
SherlockpHolmes,2014-08-02 08:37,0,0,"Great # BioC14 meeting, worth the (early trip), putting faces to the names, thanks :)",,,#,"495548971683946496",https://twitter.com/SherlockpHolmes/status/495548971683946496
Bioconductor,2014-08-01 15:20,1,1,"Please complete this short survey to help us improve your annual @ Bioconductor conference! https://docs.google.com/forms/d/1HoYKCCX4JnDLfkY0fH4JxzeXrsrpsA-YOlwDigIJO-A/viewform … - # BioC2014",,@,#,"495288049753157633",https://twitter.com/Bioconductor/status/495288049753157633
Bioconductor,2014-08-01 15:17,2,0,"Last session of # BioC2014 Meta-analysis (Levi Waldron), Parallel Computing(Valerie Obenchain), Variant calling(Michael Lawrence)",,,#,"495287321022193664",https://twitter.com/Bioconductor/status/495287321022193664
AshallaF,2014-08-01 14:18,2,2,"Great job Patrick @ EMSEECarter at # BioC2014! pic.twitter.com/XsMc6Az6vy",,@,#,"495272400494534658",https://twitter.com/AshallaF/status/495272400494534658
AshallaF,2014-08-01 14:16,2,1,"IMSDer Patrick Mccarter @ EMSEECarter shares his work on modeling signaling pathways in yeast mating at # BioC2014 pic.twitter.com/gH3TKBo1a1",,@,#,"495271918246064129",https://twitter.com/AshallaF/status/495271918246064129
AshallaF,2014-08-01 13:29,1,2,"Duke grad student Joyell Arscott, a great IGNITE talk on HIV prevention, in 13-24 yr old AfAm homosexual men at very high risk # BioC2014",,,#,"495259940584693761",https://twitter.com/AshallaF/status/495259940584693761
GregFinak,2014-08-01 13:09,2,1,"# Bioc2014 was fantastic. Thanks to the organizers and all the great presenters.",,,#,"495254975678017536",https://twitter.com/GregFinak/status/495254975678017536
AshallaF,2014-08-01 12:59,3,1,"Duke Professor Sheila Patek gives an outstanding lunch keynote on ultrafast biological impacts at the # BioC2014 pic.twitter.com/MKBbDhDagm",,,#,"495252370235064320",https://twitter.com/AshallaF/status/495252370235064320
AshallaF,2014-08-01 12:50,1,1,"Former UNC PREPer/IMSDer & current Duke grad student Jason Sosa shares his work on engineering TM pores at # BioC2014 pic.twitter.com/FCOcbB6JOl",,,#,"495250141121875968",https://twitter.com/AshallaF/status/495250141121875968
AnalyticsEng,2014-08-01 12:05,1,1,"Our poster on bioinformatics Gap Statistic acceleration in R at # BioC2014 - http://ow.ly/i/6qc9l",,,#,"495238838722510848",https://twitter.com/AnalyticsEng/status/495238838722510848
stephaniehicks,2014-08-01 11:46,1,0,"theme for # BioC2014: shiny/interactive graphics for genomic data based on # bioconductor R packages e.g. shinyMethyl, shinyphyloseq, epivizr",,,# #,"495234186278879232",https://twitter.com/stephaniehicks/status/495234186278879232
AshallaF,2014-08-01 11:38,1,1,"IMSDer Rebecca Pollet presents her with on DNA transfer in MRSA at the # BioC2014 pic.twitter.com/LUUQO6Ns7N",,,#,"495232044633694209",https://twitter.com/AshallaF/status/495232044633694209
rmflight,2014-08-01 11:34,1,0,"# Bioc2014 practicals materials http://bioconductor.org/help/course-materials/2014/BioC2014/ …",,,#,"495231156640817152",https://twitter.com/rmflight/status/495231156640817152
LenovoLegion,2020-09-03 14:26,15,206,"Lenovo Legion x @ PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",,@,,"1301587465258577920",https://twitter.com/LenovoLegion/status/1301587465258577920
rmflight,2014-08-01 11:34,0,0,"@ Bioconductor never mind, just found them.",,@,,"495231023190671360",https://twitter.com/rmflight/status/495231023190671360
Bioconductor,2014-08-01 11:33,2,2,"# BioC2014 Alyssa presents her recently accepted package Ballgown- check it out at http://bioconductor/packages/devel/bioc/html/ballgown.html",,,#,"495230959470780417",https://twitter.com/Bioconductor/status/495230959470780417
rmflight,2014-08-01 11:32,0,0,"@ Bioconductor will the materials from the afternoon practicals of # BioC2014 be made available after conference?",,@,#,"495230613168078848",https://twitter.com/rmflight/status/495230613168078848
bioinfomagician,2014-08-01 11:29,0,1,"Alyssa Frazee: Ballgown module implements stattest, "replacement for cuffdiff where we've some strange statistical results there" # BioC2014",,,#,"495229847976017920",https://twitter.com/bioinfomagician/status/495229847976017920
AshallaF,2014-08-01 11:07,1,1,"IMSDer Kim Stratford presents her work on the effects of NO2 & O3 on cardiac and ventilatory function at # BioC2014 pic.twitter.com/amegKcz7IJ",,,#,"495224188815564800",https://twitter.com/AshallaF/status/495224188815564800
Bioconductor,2014-08-01 10:35,2,0,"# BioC2014 Soumya Raychauduri: From genetics to altered molecular function: understanding the pathogenesis of rheumatoid arthritis.",,,#,"495216201254338560",https://twitter.com/Bioconductor/status/495216201254338560
raphg,2014-08-01 10:19,0,0,". @ bioinfomagician I wonder if it's because he still codes in Mathematica? Can someone ask him? @ wejlab # BioC2014 @ Bioconductor",,@ @ @,#,"495212205218869248",https://twitter.com/raphg/status/495212205218869248
fellgernon,2014-08-01 09:50,0,0,"Ben Raphael on TGCA Pan-Cancer results "Hot genes implicate their neighbors" # BioC2014",,,#,"495205049262698496",https://twitter.com/fellgernon/status/495205049262698496
fellgernon,2014-08-01 09:43,1,0,"Can we define a type/sub-type of cancer as a disease? Can we characterize it? Does it have a structure? Debate at # BioC2014",,,#,"495203251856633856",https://twitter.com/fellgernon/status/495203251856633856
fellgernon,2014-08-01 09:40,2,0,"Ben Raphael "Mutations target sets of genes instead of individual genes. So we should analyze sets of genes" # BioC2014",,,#,"495202526166540289",https://twitter.com/fellgernon/status/495202526166540289
