user,location,content,time
AriokLord,puebla,RT @CDSBMexico: Terminamos #CDSB2020 con Leonardo Collado Torres @fellgernon quien nos describe el proyecto de #spatialLIBD de transcripció…,2020-08-07 21:30:33
LIBDrstats,"Baltimore, MD",RT @CDSBMexico: Terminamos #CDSB2020 con Leonardo Collado Torres @fellgernon quien nos describe el proyecto de #spatialLIBD de transcripció…,2020-08-07 19:47:48
fellgernon,Baltimore,RT @CDSBMexico: Terminamos #CDSB2020 con Leonardo Collado Torres @fellgernon quien nos describe el proyecto de #spatialLIBD de transcripció…,2020-08-07 19:47:20
yinaniy,Mexico,RT @CDSBMexico: Terminamos #CDSB2020 con Leonardo Collado Torres @fellgernon quien nos describe el proyecto de #spatialLIBD de transcripció…,2020-08-07 18:51:22
ErickCuevasF,Cuernavaca Morelos,RT @CDSBMexico: Terminamos #CDSB2020 con Leonardo Collado Torres @fellgernon quien nos describe el proyecto de #spatialLIBD de transcripció…,2020-08-07 18:41:21
CDSBMexico,,Terminamos #CDSB2020 con Leonardo Collado Torres @fellgernon quien nos describe el proyecto de #spatialLIBD de tran… https://t.co/iYxAHs1jsh,2020-08-07 18:30:00
ErickCuevasF,Cuernavaca Morelos,RT @CDSBMexico: Ahora Leonardo Collado Torres @fellgernon nos enseña sobre análisis de datos de célula única y transcriptómica espacial (Vi…,2020-08-07 18:24:12
JoelSM27,,RT @CDSBMexico: Ahora Leonardo Collado Torres @fellgernon nos enseña sobre análisis de datos de célula única y transcriptómica espacial (Vi…,2020-08-07 18:03:44
giovenko,"Basel, Switzerland","RT @mikelove: Great talk from @CSoneson in the last contributed talk session at #BioC2020, covering her preprocessing choices for RNA veloc…",2020-08-07 17:51:16
LIBDrstats,"Baltimore, MD",RT @CDSBMexico: Ahora Leonardo Collado Torres @fellgernon nos enseña sobre análisis de datos de célula única y transcriptómica espacial (Vi…,2020-08-07 17:44:52
martinowk,"Baltimore, MD","RT @drighelli: Finally, our SpatialExperiment package is officially on 
@Bioconductor
Check it out at  https://t.co/ufjJ35IHfX
@drisso1893…",2020-08-07 12:39:59
ricardo_ik_ahau,Benito Juárez,"RT @icymi_r: ✍️ ""BioC 2020 | Where Software and Biology Connect. July 27 • 31, Boston, USA.""

👤 Bioconductor @bioconductor  

https://t.co/…",2020-08-07 10:09:37
dkoppstein,"Berlin, Germany","RT @drighelli: Finally, our SpatialExperiment package is officially on 
@Bioconductor
Check it out at  https://t.co/ufjJ35IHfX
@drisso1893…",2020-08-07 09:23:14
rstatstweet,,"RT @icymi_r: ✍️ ""BioC 2020 | Where Software and Biology Connect. July 27 • 31, Boston, USA.""

👤 Bioconductor @bioconductor  

https://t.co/…",2020-08-07 02:55:51
icymi_r,,"✍️ ""BioC 2020 | Where Software and Biology Connect. July 27 • 31, Boston, USA.""

👤 Bioconductor @bioconductor… https://t.co/k5XoQGYlTE",2020-08-07 02:44:08
fellgernon,Baltimore,RT @CDSBMexico: Ahora Leonardo Collado Torres @fellgernon nos enseña sobre análisis de datos de célula única y transcriptómica espacial (Vi…,2020-08-06 19:16:39
AleMedinaRivera,México,RT @CDSBMexico: Ahora Leonardo Collado Torres @fellgernon nos enseña sobre análisis de datos de célula única y transcriptómica espacial (Vi…,2020-08-06 17:18:50
MirnaVRL,CDMX,RT @CDSBMexico: Ahora Leonardo Collado Torres @fellgernon nos enseña sobre análisis de datos de célula única y transcriptómica espacial (Vi…,2020-08-06 17:18:06
mguindani,"Irvine, CA",@SherlockpHolmes @siminaboca @michaelhoffman @Bioconductor I recall seeing an email where they were saying they had… https://t.co/e5wpScZ7MY,2020-08-06 16:30:29
