username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BioinfoRajput;2020-07-20 14:31;0;1;"Congrats Prash";;;;"1285281074545700864";https://twitter.com/BioinfoRajput/status/1285281074545700864
angifeldmann;2020-07-20 11:52;0;1;"Congrats, Robert!";;;;"1285241268436705282";https://twitter.com/angifeldmann/status/1285241268436705282
JinhCho10;2020-07-20 11:50;0;1;"Congrats Robert and the team!";;;;"1285240785307422720";https://twitter.com/JinhCho10/status/1285240785307422720
EdwardLBraun1;2020-07-20 11:35;0;3;"Congratulations to the award winners (and all presenters!) at the very successful virtual # ISMB2020 meeting https://twitter.com/janani137/status/1284645356693848064 …";;;#;"1285236943295590402";https://twitter.com/EdwardLBraun1/status/1285236943295590402
prashbio;2020-07-20 11:34;1;18;"Just delivered a keynote on Open minds bring open # collaborations. Thank you @ DrGPrice @ tnabtaf @ OBF_BOSC @ galaxyproject @ GalaxyAustralia @ bioclues @ APBioNetorg @ iscb A great conferencing experience - # BCC2020 @ bioinformatics # systemsgenomics # biology # events # convergencepic.twitter.com/8VLT9ukybb";;@ @ @ @ @ @ @ @ @;# # # # # #;"1285236626436702208";https://twitter.com/prashbio/status/1285236626436702208
iRnaCosi;2020-07-20 10:50;0;2;"Tomorrow 11am EDT: a platform that expands the scope of phenotypes used in # CRISPRscreens (think subcell localization/density/morphology). Recently out in @ naturemethods the paper also finds modifiers of # StressGranules. Registration: https://iscb.swoogo.com/iscbacademy-10-wheeler … @ RNASociety @ iscb";;@ @ @;# #;"1285225610223276041";https://twitter.com/iRnaCosi/status/1285225610223276041
PfeiferLab;2020-07-20 10:45;1;8;"While reflecting on the many interesting ideas from # ICML2020 and # ISMB2020, this week we # cantwait to enjoy our @ ml4science's Virtual Cluster Conference "Machine Learning in Science" # ml4science2020! # MedicalInformatics # MachineLearning https://uni-tuebingen.de/en/research/core-research/cluster-of-excellence-machine-learning/events/events/#c1124370 …";;@;# # # # # # #c1124370;"1285224378268028929";https://twitter.com/PfeiferLab/status/1285224378268028929
robertietswaart;2020-07-20 10:20;4;23;"Thank you @ ISCB for selecting GeneWalk for the Student Software Prospective Future Impact Award! https://www.iscb.org/iscb-news-items/4456-2020-july13-ismb2020-day01-highlights-recap … I feel grateful for this recognition and encouragement. Wouldn’t be here without co-developers @ benjamingyori @ johnabachman, Peter Sorger and mentor @ fiddle!pic.twitter.com/aOGKhx6xNF";;@ @ @ @;;"1285217951080165379";https://twitter.com/robertietswaart/status/1285217951080165379
ycuestaastroz;2020-07-20 10:15;0;5;"Great talk and poster presentations. Congrats!!";;;;"1285216743066079234";https://twitter.com/ycuestaastroz/status/1285216743066079234
stevetsa1;2020-07-20 10:15;0;0;"@ bioclues is a non-profit organization Of, By, and For the # Bioinformaticians in India. An affiliate of @ ISCB http://bioclues.org/ # mentoring # outreach # research # entrepreneurship";;@ @;# # # # #;"1285216684937285633";https://twitter.com/stevetsa1/status/1285216684937285633
F1000Research;2020-07-20 10:03;0;3;"It was a great to meet so many # bioinformatics researchers at # ISMB2020! But don't worry if you didn’t get a chance to talk to us – you can find out more about publishing your # softwaretool article in the @ ISCB Community Journal here: https://buff.ly/3gZWH7I pic.twitter.com/gX4nFmikVq";;@;# # #;"1285213637255352325";https://twitter.com/F1000Research/status/1285213637255352325
Gabo_NPs;2020-07-20 09:59;0;3;"Don't miss it!";;;;"1285212730249666560";https://twitter.com/Gabo_NPs/status/1285212730249666560
pouryany;2020-07-20 08:17;0;4;"# ISMB2020 was an interesting experience being my first online conference and kudos to the organizer for doing a great job, especially # NetBio. Many have correctly pointed out improvements for online venues, but there are positive aspects that should not go unmentioned (1/5)";;;# #;"1285187195687632896";https://twitter.com/pouryany/status/1285187195687632896
propicee;2020-07-20 05:53;4;9;"A nice write-up from # SCS2020 co-chair @ melikedonertas regarding organising virtual symposium. # ISMB2020 # bioinformatics # computationalbiology # virtual # virtualconference # symposiahttps://twitter.com/melikedonertas/status/1284394524522024960 …";;@;# # # # # # #;"1285150709051199490";https://twitter.com/propicee/status/1285150709051199490
escs2020;2020-07-20 05:36;9;10;">> Deadline TODAY (23.59 CET) !!! Dear Students/ECRs, Do not miss this excellent opportunity to submit your latest research ( # Bioinformatics # ComputationalBiology) to # ESCS2020 Submission: https://escs2020.iscbsc.org/abstract-submission … @ iscbsc @ eccb2020 @ iscb # eccb2020pic.twitter.com/Wo0UJq5wJZ";;@ @ @;# # # #;"1285146433872711680";https://twitter.com/escs2020/status/1285146433872711680
CIMethods;2020-07-20 05:02;2;3;"CIM academic @ cagatay_turkay co-chaired this year’s # BioVis conference at # ISMB2020. The programme (http://biovis.net/2020/program_ismb/ …) featured great examples of # datavisualization for biology and the talks will soon be published on ISMB’s channel here:https://www.youtube.com/channel/UCN9kqT7pfOzZddPJHqWSuyA …";;@;# # #;"1285138017213198336";https://twitter.com/CIMethods/status/1285138017213198336
olgavitek;2020-07-20 00:53;2;12;"Clinical # MSImaging of tissues often has imprecise pathology annotations. The new method Dan Guo and @ MCFoell develops pixel-level classifiers from such imprecisely annotated tissues. The # ismb2020 manuscript is now open access at https://academic.oup.com/bioinformatics/article/36/Supplement_1/i300/5870486 …";;@;# #;"1285075266985959425";https://twitter.com/olgavitek/status/1285075266985959425
threadreaderapp;2020-07-19 19:37;0;0;"Hello, you can read it here: @ larsjuhljensen: Having survived # ISMB2020, and having experienced a bit of # ASMS2020 and # RECOMB2020 too, it's time… https://threadreaderapp.com/thread/1284433492445667329.html … See you soon.";;@;# # #;"1284995741656780800";https://twitter.com/threadreaderapp/status/1284995741656780800
escs2020;2020-07-19 06:47;5;5;">> Deadline TOMORROW i.e., 20th July! # ESCS2020 Submission: https://escs2020.iscbsc.org/abstract-submission … # Bioinformatics # ComputationalBiology @ iscbsc @ eccb2020 @ iscb # eccb2020https://twitter.com/escs2020/status/1283686998184779776 …";;@ @ @;# # # #;"1284802113890127873";https://twitter.com/escs2020/status/1284802113890127873
ANarunsky;2020-07-18 21:57;0;1;"Congratulations! It was a great talk indeed!";;;;"1284668730782486531";https://twitter.com/ANarunsky/status/1284668730782486531
janani137;2020-07-18 20:24;6;7;"Thoroughly enjoyed the # EvolCompGen COSI & # ISMB2020 Hearty Congratulations to the Talk & Poster awardees @ EvolComp Talk Winner - @ AvitalSharir Poster Winner - Linda Sundermann @ lsunderm Poster Special Mentions - Xuecong Fu - @ KJongnarangsin - @ GurmeetKaur86 - Samuel Chenpic.twitter.com/lHbltUUVLo";;@ @ @ @ @;# #;"1284645356693848064";https://twitter.com/janani137/status/1284645356693848064
AvitalSharir;2020-07-18 19:31;0;1;"Congratulations!";;;;"1284632000515788803";https://twitter.com/AvitalSharir/status/1284632000515788803
AvitalSharir;2020-07-18 19:29;1;6;"Had a wonderful time attending the virtual # ISMB2020 of @ iscb and very honored to receive the @ EvolComp best talk award! https://www.iscb.org/ismb2020-general/ismb2020-award-winners …pic.twitter.com/1XUfoSfIJB";;@ @;#;"1284631388130619392";https://twitter.com/AvitalSharir/status/1284631388130619392
