user,location,content,time
GTCSE,"Atlanta, GA","Identifying differences in cancer mutations or disease-causing genomes used to take days. Now, it can now be done i… https://t.co/iMOP6SDNLW",2019-05-17 15:37:15
ComputationMDPI,"Basel, Switzerland","Congrats @chirgjain @haowen_zhang @AlexDilthey, Srinivas Aluru and Sanchit Misra for winning this year’s… https://t.co/iWUELhOmtI",2019-05-13 01:30:59
AndreMMMachado,,"RT @nomad421: Highlight talk on ""Minerva: An Alignment and Reference Free Approach to Deconvolve Linked-Reads for Metagenomics"" by @dcdanko…",2019-05-12 20:28:22
ucsd_cse,"La Jolla, CA",RT @recomb2019: Congratulations to Pavel Pevzner from UCSD for the ACM Paris Kanellakis Theory and Practice Award! https://t.co/dF5GHhCDLB,2019-05-12 05:18:21
recomb2019,Washing,RT @gibsonkeylie: I have a whole new level of respect and admiration for those who host and organize scientific conferences. @recomb2019 wa…,2019-05-11 00:02:50
BeccasBugs,"Washington, DC",@gibsonkeylie @recomb2019 I loved volunteering with you!!!,2019-05-10 23:52:51
BeccasBugs,"Washington, DC",RT @gibsonkeylie: I have a whole new level of respect and admiration for those who host and organize scientific conferences. @recomb2019 wa…,2019-05-10 23:52:30
gibsonkeylie,,I have a whole new level of respect and admiration for those who host and organize scientific conferences.… https://t.co/B9wSU5nhIk,2019-05-10 23:10:01
CBI_at_GWU,"Ashburn, VA","RT @recomb2019: Hope everyone enjoyed #recomb2019! Thank you for traveling to Washington, DC. We look forward to seeing you all again at #r…",2019-05-10 22:23:52
CBI_at_GWU,"Ashburn, VA","RT @recomb2019: Huge thanks to all the volunteers for the main #recomb2019 conference! Your assistance, enthusiasm, and humor helped to mak…",2019-05-10 22:23:49
giuliaguidi,"Berkeley, CA",@recomb2019 @LorenzoDiTucci,2019-05-10 19:01:33
pavel_avdeyev,,"RT @recomb2019: Huge thanks to all the volunteers for the main #recomb2019 conference! Your assistance, enthusiasm, and humor helped to mak…",2019-05-10 18:02:43
KiranJavkar,,"RT @recomb2019: Huge thanks to all the volunteers for the main #recomb2019 conference! Your assistance, enthusiasm, and humor helped to mak…",2019-05-10 18:01:57
BeccasBugs,"Washington, DC","RT @recomb2019: Huge thanks to all the volunteers for the main #recomb2019 conference! Your assistance, enthusiasm, and humor helped to mak…",2019-05-10 17:54:15
ubic_ucsd,uc san diego,RT @recomb2019: Congratulations to Pavel Pevzner from UCSD for the ACM Paris Kanellakis Theory and Practice Award! https://t.co/dF5GHhCDLB,2019-05-10 17:45:11
gibsonkeylie,,"RT @recomb2019: Hope everyone enjoyed #recomb2019! Thank you for traveling to Washington, DC. We look forward to seeing you all again at #r…",2019-05-10 17:44:38
gibsonkeylie,,"RT @recomb2019: Huge thanks to all the volunteers for the main #recomb2019 conference! Your assistance, enthusiasm, and humor helped to mak…",2019-05-10 17:43:21
recomb2019,Washing,"Hope everyone enjoyed #recomb2019! Thank you for traveling to Washington, DC. We look forward to seeing you all aga… https://t.co/TmWAICIo18",2019-05-10 17:42:46
recomb2019,Washing,"Huge thanks to all the volunteers for the main #recomb2019 conference! Your assistance, enthusiasm, and humor helpe… https://t.co/mjao2dsYoJ",2019-05-10 17:41:01
recomb2019,Washing,Slides from the @NSF and @NIH panels at #recomb2019 are available online under the Materials page. https://t.co/YkPtHIDpp9,2019-05-10 17:31:28
recomb2019,Washing,"Big thanks to all the chairs for #recomb2019: Mona Sighn, @nomad421, Lenore Cowen, and all the PC committee members!",2019-05-10 17:29:59
recomb2019,Washing,RT @marko028: @recomb2019 thanks for the wonderful learning experience. Here are some beautiful shots from the cruise! https://t.co/G0DFjEU…,2019-05-10 16:18:39
marko028,,@recomb2019 thanks for the wonderful learning experience. Here are some beautiful shots from the cruise! https://t.co/G0DFjEUQhO,2019-05-10 14:43:47
joshuawkho,Hong Kong,"RT @recomb2019: Congratulations to these @iscb distinguished fellows: Vineet Bafna, Eleazar Eskin, @XShirleyLiu, and Marie-France Sagot! ht…",2019-05-10 07:06:26
martinjzhang,"Boston, MA",@gbphd @recomb2019 @xf1280 Thanks Gurkan!,2019-05-09 20:32:16
VarshneyAmitabh,"College Park, MD","RT @nomad421: Mihai Pop is kicking off the last day of #recomb2019 with his keynote on ""Uncovering heterogeneity in microbial communities"".…",2019-05-09 16:56:06
gbphd,U.S.A.,@martinjzhang @recomb2019 @xf1280 Well deserved. I thought the presentation and work was great.,2019-05-09 16:00:35
chirgjain,"Washington, DC",Thanks @recomb2019  (cc @sanchit_misra ) https://t.co/9vChEJdDhU,2019-05-09 15:11:35
RongxinFang,Cambridge,RT @recomb2019: Congratulations to Pavel Pevzner from UCSD for the ACM Paris Kanellakis Theory and Practice Award! https://t.co/dF5GHhCDLB,2019-05-09 14:36:22
jasonnfan,,"RT @martinjzhang: Excited to share that our AdaFDR paper on covariate-adaptive multiple testing (https://t.co/WwbcBIKZkj), joint work with…",2019-05-09 14:17:38
gibsonkeylie,,"RT @johannhawe: Shout-out to the organizers and speakers of @recomb2019 ! Great conference, interesting talks, fantastic people! Looking fo…",2019-05-09 14:04:42
recomb2019,Washing,RT @jmuiuc: I was so happy to see @EmilyEAckerman at #recomb2019. She was in my computational genomics class last year at CMU and she alway…,2019-05-09 11:30:18
pierre_marijon,,"RT @nomad421: Highlight talk on ""Minerva: An Alignment and Reference Free Approach to Deconvolve Linked-Reads for Metagenomics"" by @dcdanko…",2019-05-09 06:51:14
ZaminIqbal,"Cambridge, England","RT @recomb2019: A big congratulations to this year’s #recomb2019 best poster award winners @chirgjain @haowen_zhang @AlexDilthey, Srinivas…",2019-05-09 06:08:30
freevini2,"Bern, Schweiz",RT @recomb2019: Congratulations to Pavel Pevzner from UCSD for the ACM Paris Kanellakis Theory and Practice Award! https://t.co/dF5GHhCDLB,2019-05-09 05:04:38
lenghan_bioinfo,"Houston, TX","RT @recomb2019: Congratulations to these @iscb distinguished fellows: Vineet Bafna, Eleazar Eskin, @XShirleyLiu, and Marie-France Sagot! ht…",2019-05-09 04:38:23
zhizhid,"Houston, TX","RT @recomb2019: Congratulations to these @iscb distinguished fellows: Vineet Bafna, Eleazar Eskin, @XShirleyLiu, and Marie-France Sagot! ht…",2019-05-09 04:27:58
jmuiuc,"Pittsburgh, PA",I was so happy to see @EmilyEAckerman at #recomb2019. She was in my computational genomics class last year at CMU a… https://t.co/w82HZyzDS2,2019-05-09 03:56:15
artofbiology,,"RT @recomb2019: Congratulations to these @iscb distinguished fellows: Vineet Bafna, Eleazar Eskin, @XShirleyLiu, and Marie-France Sagot! ht…",2019-05-09 03:44:40
zangcz,"Charlottesville, VA","RT @recomb2019: Congratulations to these @iscb distinguished fellows: Vineet Bafna, Eleazar Eskin, @XShirleyLiu, and Marie-France Sagot! ht…",2019-05-09 03:33:55
razoralign,,"RT @anthonygitter: I uploaded the slides for my #RECOMB2019 highlights talk this afternoon about our paper ""Synthesizing Signaling Pathways…",2019-05-09 02:29:16
KiranJavkar,,RT @recomb2019: Congratulations to Pavel Pevzner from UCSD for the ACM Paris Kanellakis Theory and Practice Award! https://t.co/dF5GHhCDLB,2019-05-09 02:27:33
hajirasouliha,"New York, USA",RT @recomb2019: Congratulations to Pavel Pevzner from UCSD for the ACM Paris Kanellakis Theory and Practice Award! https://t.co/dF5GHhCDLB,2019-05-09 02:03:53
aphillippy,"Maryland, USA","RT @recomb2019: A big congratulations to this year’s #recomb2019 best poster award winners @chirgjain @haowen_zhang @AlexDilthey, Srinivas…",2019-05-09 01:47:22
gibsonkeylie,,RT @hajirasouliha: MP: you need to know where your data came from before starting the analysis. #16s #wgs #recomb2019 https://t.co/6dX0qwAF…,2019-05-09 01:25:55
yana_safonova_,"San Diego, CA",RT @recomb2019: Congratulations to Pavel Pevzner from UCSD for the ACM Paris Kanellakis Theory and Practice Award! https://t.co/dF5GHhCDLB,2019-05-09 00:51:59
vandinfa,,RT @recomb2019: Congratulations to Pavel Pevzner from UCSD for the ACM Paris Kanellakis Theory and Practice Award! https://t.co/dF5GHhCDLB,2019-05-09 00:44:56
recomb2019,Washing,"Congratulations to Rohit Singh, Jinbo Xu and Bonnie Berger for being the #recomb2019 test of time award winners! Th… https://t.co/8eRR9eyD7G",2019-05-08 23:10:16
martinjzhang,"Boston, MA","RT @recomb2019: The #recomb2019 best paper award goes to Martin Zhang, Fei Xia and James Zou! Thanks @SpringerNature for your support! http…",2019-05-08 23:09:56
recomb2019,Washing,"The #recomb2019 best paper award goes to Martin Zhang, Fei Xia and James Zou! Thanks @SpringerNature for your suppo… https://t.co/EQjIkon0tB",2019-05-08 23:06:30
recomb2019,Washing,"A big congratulations to this year’s #recomb2019 best poster award winners @chirgjain @haowen_zhang @AlexDilthey, S… https://t.co/xshGkD8RiC",2019-05-08 23:02:38
nextgenseek,NGSland,RT @recomb2019: Congratulations to Pavel Pevzner from UCSD for the ACM Paris Kanellakis Theory and Practice Award! https://t.co/dF5GHhCDLB,2019-05-08 22:59:35
xf1280,,"RT @martinjzhang: Excited to share that our AdaFDR paper on covariate-adaptive multiple testing (https://t.co/WwbcBIKZkj), joint work with…",2019-05-08 22:53:04
recomb2019,Washing,RT @madhayhansen: “Picking the correct distance metric for your problem is important” Lodewijk Brand @LodewijkBrand on drug resistance in H…,2019-05-08 22:31:40
brlindsay88,"Philadelphia, PA","RT @nomad421: Mihai Pop is kicking off the last day of #recomb2019 with his keynote on ""Uncovering heterogeneity in microbial communities"".…",2019-05-08 22:25:53
recomb2019,Washing,"RT @martinjzhang: Excited to share that our AdaFDR paper on covariate-adaptive multiple testing (https://t.co/WwbcBIKZkj), joint work with…",2019-05-08 22:21:52
recomb2019,Washing,"RT @johannhawe: Shout-out to the organizers and speakers of @recomb2019 ! Great conference, interesting talks, fantastic people! Looking fo…",2019-05-08 22:21:35
johannhawe,,"Shout-out to the organizers and speakers of @recomb2019 ! Great conference, interesting talks, fantastic people! Lo… https://t.co/WHcryiCGEd",2019-05-08 22:21:03
martinjzhang,"Boston, MA","Excited to share that our AdaFDR paper on covariate-adaptive multiple testing (https://t.co/WwbcBIKZkj), joint work… https://t.co/aFXJfk3zbm",2019-05-08 22:14:40
nextgenseek,NGSland,"RT @anthonygitter: I uploaded the slides for my #RECOMB2019 highlights talk this afternoon about our paper ""Synthesizing Signaling Pathways…",2019-05-08 22:00:45
ldoroud,"San Francisco, CA",RT @maxal6: The receipt from the bar at #RECOMB2019 cruise proves it was  real fun. https://t.co/dWdpiHa25A,2019-05-08 21:49:32
maxal6,George Washington University,"RT @recomb2019: Congratulations to these @iscb distinguished fellows: Vineet Bafna, Eleazar Eskin, @XShirleyLiu, and Marie-France Sagot! ht…",2019-05-08 21:32:48
nomad421,,RT @recomb2019: Congratulations to Pavel Pevzner from UCSD for the ACM Paris Kanellakis Theory and Practice Award! https://t.co/dF5GHhCDLB,2019-05-08 21:27:22
nomad421,,RT @giuliaguidi: Flying back to @UCBerkeley after #recomb2019. Thanks all for the interesting talks and for being such a great community! @…,2019-05-08 21:26:31
maxal6,George Washington University,RT @recomb2019: Congratulations to Pavel Pevzner from UCSD for the ACM Paris Kanellakis Theory and Practice Award! https://t.co/dF5GHhCDLB,2019-05-08 21:07:34
giuliaguidi,"Berkeley, CA",RT @hajirasouliha: Great photo. Great community. Thanks #RebeccaSartoBasso for the photo and leading the walk! #recomb2019 https://t.co/PXV…,2019-05-08 20:52:23
recomb2019,Washing,RT @giuliaguidi: Flying back to @UCBerkeley after #recomb2019. Thanks all for the interesting talks and for being such a great community! @…,2019-05-08 20:49:10
giuliaguidi,"Berkeley, CA",Flying back to @UCBerkeley after #recomb2019. Thanks all for the interesting talks and for being such a great commu… https://t.co/9jM4XH4Zd0,2019-05-08 20:48:40
KiranJavkar,,RT @hajirasouliha: MP: you need to know where your data came from before starting the analysis. #16s #wgs #recomb2019 https://t.co/6dX0qwAF…,2019-05-08 20:18:14
recomb2019,Washing,RT @IndianaSam69: Really enjoying my first Recomb conference!  Lots of wonderful speakers and algorithms. #recomb2019,2019-05-08 20:05:21
recomb2019,Washing,RT @hajirasouliha: FM hints her presentation can turn into a dance party. #LastDance #recomb2019 #keynote https://t.co/SYq1xUhQrU,2019-05-08 20:05:18
IndianaSam69,Probably where you are...,Really enjoying my first Recomb conference!  Lots of wonderful speakers and algorithms. #recomb2019,2019-05-08 20:02:33
