user,location,content,time
ronniemalhotra,"Boston, MA",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-07-03 17:27:01
ronniemalhotra,"Boston, MA",RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-07-03 17:26:35
recomb2020,"Padova, Italy","Dear member of the RECOMB community,
we hope you enjoyed this year's #RECOMB2020 edition as much as we did.
We are… https://t.co/ELLrU08p4f",2020-06-30 16:10:00
arcane_mahesh,"Uppsala, Sverige",RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-29 07:29:59
hendrick0403,"Taipei City, Taiwan","What a great last week of mid 2020~
Attending virtual #RECOMB2020  and connect with great peoples there, recording… https://t.co/UDH0JOfM2x",2020-06-28 10:16:59
BQPMalfoy,"Lille, France",RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-28 09:27:24
recomb2020,"Padova, Italy","RT @2YasmineMANSOUR: Indeed! 
And the shared insights on the centromere enigmas were very inspiring! Exactly what I need right now 🤔

Thank…",2020-06-28 08:55:08
recomb2020,"Padova, Italy",RT @IliaMinkin: Giving a talk at a virtual conference while being quarantined in a hotel is a quite surreal experience #RECOMB2020,2020-06-28 08:54:49
recomb2020,"Padova, Italy",RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-28 08:54:41
recomb2020,"Padova, Italy",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-28 08:54:20
alienzj,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-28 07:04:18
alienzj,,RT @hajirasouliha: Great keynote talk @recomb2020 by Pavel Pevzner. Describing SPAdes and Flye assembly tools for short and long reads. Als…,2020-06-28 07:02:58
alienzj,,RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-28 06:43:21
pashadag,Penn State University,"RT @ashissaha123: Proud to see someone (@amatur_r ) from my undergrad university (BUET, Bangladesh) getting the best paper award at @recomb…",2020-06-27 21:08:00
3D_Genome,,RT @mackayka: Had a great time (virtually) presenting the results from our most recent pre-print today 👩‍💻 more details on how we used #tSN…,2020-06-27 15:23:34
SapovalNicolae,"Houston, TX",RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-27 14:39:55
ashissaha123,,"Proud to see someone (@amatur_r ) from my undergrad university (BUET, Bangladesh) getting the best paper award at… https://t.co/SvWJLx92Oh",2020-06-27 14:10:54
pashadag,Penn State University,RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-27 13:03:06
razoralign,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-27 12:40:16
vallenet,"Evry, Ile-de-France",RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-27 09:13:09
CamilleMrcht,,RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-27 08:25:03
bricoletc,,RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-27 08:15:53
RayanChikhi,,RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-27 08:14:46
krsahlin,Stockholm,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-27 07:27:30
claczny,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-27 05:33:14
TheMarcelSchulz,"Frankfurt am Main, Deutschland",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-27 05:03:01
KarelBrinda,"Boston, MA",RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-27 02:31:33
jasmijnbaaijens,,Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested i… https://t.co/cFNKjEQPlL,2020-06-27 02:00:39
dreycey,"Boulder, CO",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 23:33:37
soumitrakp,"Bethesda, MD","@pashadag @RayanChikhi @amatur_r @recomb2020 Congratulations to both of you @pashadag, @amatur_r!",2020-06-26 21:46:30
CarlosS29116341,"Sevilla, España",RT @EvolutionQuant: tomorrow I am giving a talk on our latest advancements on popgen estimates from NGS data at the ongoing #RECOMB2020 as…,2020-06-26 21:38:34
KiranJavkar,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 20:55:51
vanhoan310,Munich,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 20:02:05
IliaMinkin,,@pashadag @RayanChikhi @amatur_r @recomb2020 Congratulations @amatur_r !,2020-06-26 19:59:03
CamilleMrcht,,RT @IliaMinkin: Giving a talk at a virtual conference while being quarantined in a hotel is a quite surreal experience #RECOMB2020,2020-06-26 19:48:14
nomad421,,RT @IliaMinkin: Giving a talk at a virtual conference while being quarantined in a hotel is a quite surreal experience #RECOMB2020,2020-06-26 19:46:30
IliaMinkin,,Giving a talk at a virtual conference while being quarantined in a hotel is a quite surreal experience #RECOMB2020,2020-06-26 19:46:04
KellerCaponePhD,"State College, PA",@pashadag @RayanChikhi @amatur_r @recomb2020 Congratulations! Well deserved! 🍾🎈,2020-06-26 19:36:07
mahonylab,Penn State University,@pashadag @RayanChikhi @amatur_r @recomb2020 Awesome - congrats @amatur_r !,2020-06-26 19:25:40
KarelBrinda,"Boston, MA",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 19:03:51
bioinfochat,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 18:58:51
niemasd,"San Diego, CA",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 18:50:12
